PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(31)	(expected)	(over/under)	(fold Enrichment)	P-value
cell-matrix adhesion (GO:0007160)	30	0	.08	-	 < 0.01	1.00E00
response to peptide hormone (GO:0043434)	30	0	.08	-	 < 0.01	1.00E00
negative regulation of DNA-binding transcription factor activity (GO:0043433)	8	0	.02	-	 < 0.01	1.00E00
meiotic cell cycle (GO:0051321)	51	0	.13	-	 < 0.01	1.00E00
glycerol-3-phosphate metabolic process (GO:0006072)	5	0	.01	-	 < 0.01	1.00E00
RNA methylation (GO:0001510)	39	0	.10	-	 < 0.01	1.00E00
protein localization to organelle (GO:0033365)	179	0	.47	-	 < 0.01	1.00E00
secretory granule organization (GO:0033363)	2	0	.01	-	 < 0.01	1.00E00
leukocyte cell-cell adhesion (GO:0007159)	1	0	.00	-	 < 0.01	1.00E00
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	15	0	.04	-	 < 0.01	1.00E00
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	25	0	.07	-	 < 0.01	1.00E00
cell adhesion (GO:0007155)	221	0	.58	-	 < 0.01	1.00E00
positive regulation of protein polymerization (GO:0032273)	13	0	.03	-	 < 0.01	1.00E00
protein transmembrane transport (GO:0071806)	27	0	.07	-	 < 0.01	1.00E00
negative regulation of protein polymerization (GO:0032272)	22	0	.06	-	 < 0.01	1.00E00
potassium ion transmembrane transport (GO:0071805)	92	0	.24	-	 < 0.01	1.00E00
regulation of protein polymerization (GO:0032271)	48	0	.13	-	 < 0.01	1.00E00
action potential (GO:0001508)	33	0	.09	-	 < 0.01	1.00E00
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	0	.01	-	 < 0.01	1.00E00
alcohol metabolic process (GO:0006066)	56	0	.15	-	 < 0.01	1.00E00
substrate adhesion-dependent cell spreading (GO:0034446)	13	0	.03	-	 < 0.01	1.00E00
ossification (GO:0001503)	13	0	.03	-	 < 0.01	1.00E00
metaphase chromosome alignment (GO:0051310)	9	0	.02	-	 < 0.01	1.00E00
skeletal system development (GO:0001501)	39	0	.10	-	 < 0.01	1.00E00
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3	0	.01	-	 < 0.01	1.00E00
lipid oxidation (GO:0034440)	23	0	.06	-	 < 0.01	1.00E00
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	2	0	.01	-	 < 0.01	1.00E00
taxis (GO:0042330)	35	0	.09	-	 < 0.01	1.00E00
muscle cell differentiation (GO:0042692)	40	0	.10	-	 < 0.01	1.00E00
phytosteroid metabolic process (GO:0016128)	1	0	.00	-	 < 0.01	1.00E00
secondary metabolic process (GO:0019748)	5	0	.01	-	 < 0.01	1.00E00
lymphocyte differentiation (GO:0030098)	10	0	.03	-	 < 0.01	1.00E00
protein peptidyl-prolyl isomerization (GO:0000413)	14	0	.04	-	 < 0.01	1.00E00
sterol biosynthetic process (GO:0016126)	12	0	.03	-	 < 0.01	1.00E00
regulation of Notch signaling pathway (GO:0008593)	12	0	.03	-	 < 0.01	1.00E00
sterol metabolic process (GO:0016125)	21	0	.05	-	 < 0.01	1.00E00
protein processing (GO:0016485)	53	0	.14	-	 < 0.01	1.00E00
cytosolic transport (GO:0016482)	35	0	.09	-	 < 0.01	1.00E00
male meiotic nuclear division (GO:0007140)	4	0	.01	-	 < 0.01	1.00E00
macromolecule methylation (GO:0043414)	53	0	.14	-	 < 0.01	1.00E00
macromolecule glycosylation (GO:0043413)	88	0	.23	-	 < 0.01	1.00E00
telomere maintenance via telomere lengthening (GO:0010833)	8	0	.02	-	 < 0.01	1.00E00
mitotic sister chromatid separation (GO:0051306)	1	0	.00	-	 < 0.01	1.00E00
chromosome separation (GO:0051304)	3	0	.01	-	 < 0.01	1.00E00
response to radiation (GO:0009314)	30	0	.08	-	 < 0.01	1.00E00
establishment of chromosome localization (GO:0051303)	13	0	.03	-	 < 0.01	1.00E00
regulation of cell division (GO:0051302)	7	0	.02	-	 < 0.01	1.00E00
oligosaccharide biosynthetic process (GO:0009312)	2	0	.01	-	 < 0.01	1.00E00
cell division (GO:0051301)	37	0	.10	-	 < 0.01	1.00E00
neuron projection development (GO:0031175)	189	0	.49	-	 < 0.01	1.00E00
positive regulation of phosphorylation (GO:0042327)	112	0	.29	-	 < 0.01	1.00E00
negative regulation of phosphorylation (GO:0042326)	33	0	.09	-	 < 0.01	1.00E00
regulation of phosphorylation (GO:0042325)	167	0	.44	-	 < 0.01	1.00E00
positive regulation of transcription by RNA polymerase I (GO:0045943)	3	0	.01	-	 < 0.01	1.00E00
syncytium formation by plasma membrane fusion (GO:0000768)	3	0	.01	-	 < 0.01	1.00E00
carotenoid biosynthetic process (GO:0016117)	1	0	.00	-	 < 0.01	1.00E00
male gonad development (GO:0008584)	1	0	.00	-	 < 0.01	1.00E00
cholesterol efflux (GO:0033344)	8	0	.02	-	 < 0.01	1.00E00
cell migration (GO:0016477)	169	0	.44	-	 < 0.01	1.00E00
terpenoid biosynthetic process (GO:0016114)	4	0	.01	-	 < 0.01	1.00E00
antimicrobial humoral response (GO:0019730)	1	0	.00	-	 < 0.01	1.00E00
methylation (GO:0032259)	53	0	.14	-	 < 0.01	1.00E00
mesoderm development (GO:0007498)	7	0	.02	-	 < 0.01	1.00E00
negative regulation of MAPK cascade (GO:0043409)	24	0	.06	-	 < 0.01	1.00E00
reciprocal meiotic recombination (GO:0007131)	20	0	.05	-	 < 0.01	1.00E00
regulation of MAP kinase activity (GO:0043405)	20	0	.05	-	 < 0.01	1.00E00
endoderm development (GO:0007492)	7	0	.02	-	 < 0.01	1.00E00
amine metabolic process (GO:0009308)	18	0	.05	-	 < 0.01	1.00E00
regulation of centrosome duplication (GO:0010824)	6	0	.02	-	 < 0.01	1.00E00
protein secretion (GO:0009306)	19	0	.05	-	 < 0.01	1.00E00
steroid hormone mediated signaling pathway (GO:0043401)	3	0	.01	-	 < 0.01	1.00E00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	5	0	.01	-	 < 0.01	1.00E00
regulation of mitochondrion organization (GO:0010821)	10	0	.03	-	 < 0.01	1.00E00
establishment of organelle localization (GO:0051656)	85	0	.22	-	 < 0.01	1.00E00
rRNA transcription (GO:0009303)	6	0	.02	-	 < 0.01	1.00E00
rRNA methylation (GO:0031167)	10	0	.03	-	 < 0.01	1.00E00
phagolysosome assembly (GO:0001845)	9	0	.02	-	 < 0.01	1.00E00
spindle localization (GO:0051653)	17	0	.04	-	 < 0.01	1.00E00
positive regulation of phosphate metabolic process (GO:0045937)	116	0	.30	-	 < 0.01	1.00E00
negative regulation of phosphate metabolic process (GO:0045936)	37	0	.10	-	 < 0.01	1.00E00
maintenance of location in cell (GO:0051651)	18	0	.05	-	 < 0.01	1.00E00
establishment of vesicle localization (GO:0051650)	34	0	.09	-	 < 0.01	1.00E00
amino sugar metabolic process (GO:0006040)	14	0	.04	-	 < 0.01	1.00E00
cell death (GO:0008219)	60	0	.16	-	 < 0.01	1.00E00
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	185	0	.48	-	 < 0.01	1.00E00
regulation of blood pressure (GO:0008217)	13	0	.03	-	 < 0.01	1.00E00
positive regulation of mitotic cell cycle (GO:0045931)	15	0	.04	-	 < 0.01	1.00E00
negative regulation of mitotic cell cycle (GO:0045930)	37	0	.10	-	 < 0.01	1.00E00
negative regulation of mitotic sister chromatid separation (GO:2000816)	9	0	.02	-	 < 0.01	1.00E00
cellular homeostasis (GO:0019725)	140	0	.37	-	 < 0.01	1.00E00
insulin secretion (GO:0030073)	2	0	.01	-	 < 0.01	1.00E00
homologous chromosome pairing at meiosis (GO:0007129)	6	0	.02	-	 < 0.01	1.00E00
calcium-mediated signaling (GO:0019722)	30	0	.08	-	 < 0.01	1.00E00
peptide hormone secretion (GO:0030072)	3	0	.01	-	 < 0.01	1.00E00
diterpenoid metabolic process (GO:0016101)	5	0	.01	-	 < 0.01	1.00E00
regulation of mitotic metaphase/anaphase transition (GO:0030071)	16	0	.04	-	 < 0.01	1.00E00
cell cycle G1/S phase transition (GO:0044843)	18	0	.05	-	 < 0.01	1.00E00
meiosis I (GO:0007127)	25	0	.07	-	 < 0.01	1.00E00
regulation of vesicle-mediated transport (GO:0060627)	59	0	.15	-	 < 0.01	1.00E00
regulation of hormone levels (GO:0010817)	24	0	.06	-	 < 0.01	1.00E00
vesicle localization (GO:0051648)	35	0	.09	-	 < 0.01	1.00E00
tRNA metabolic process (GO:0006399)	85	0	.22	-	 < 0.01	1.00E00
positive regulation of cell-substrate adhesion (GO:0010811)	11	0	.03	-	 < 0.01	1.00E00
regulation of cell-substrate adhesion (GO:0010810)	13	0	.03	-	 < 0.01	1.00E00
release of cytochrome c from mitochondria (GO:0001836)	5	0	.01	-	 < 0.01	1.00E00
mRNA processing (GO:0006397)	113	0	.29	-	 < 0.01	1.00E00
RNA processing (GO:0006396)	300	0	.78	-	 < 0.01	1.00E00
anatomical structure morphogenesis (GO:0009653)	359	0	.94	-	 < 0.01	1.00E00
positive regulation of growth (GO:0045927)	4	0	.01	-	 < 0.01	1.00E00
centrosome localization (GO:0051642)	8	0	.02	-	 < 0.01	1.00E00
organelle localization (GO:0051640)	116	0	.30	-	 < 0.01	1.00E00
mitochondrial transcription (GO:0006390)	6	0	.02	-	 < 0.01	1.00E00
reticulophagy (GO:0061709)	8	0	.02	-	 < 0.01	1.00E00
cholesterol metabolic process (GO:0008203)	15	0	.04	-	 < 0.01	1.00E00
cell cycle G2/M phase transition (GO:0044839)	3	0	.01	-	 < 0.01	1.00E00
steroid metabolic process (GO:0008202)	27	0	.07	-	 < 0.01	1.00E00
positive regulation of actin filament bundle assembly (GO:0032233)	7	0	.02	-	 < 0.01	1.00E00
regulation of actin filament bundle assembly (GO:0032231)	10	0	.03	-	 < 0.01	1.00E00
proteoglycan metabolic process (GO:0006029)	29	0	.08	-	 < 0.01	1.00E00
left/right pattern formation (GO:0060972)	2	0	.01	-	 < 0.01	1.00E00
glucose transmembrane transport (GO:1904659)	7	0	.02	-	 < 0.01	1.00E00
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	4	0	.01	-	 < 0.01	1.00E00
glycosaminoglycan biosynthetic process (GO:0006024)	14	0	.04	-	 < 0.01	1.00E00
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	14	0	.04	-	 < 0.01	1.00E00
aminoglycan biosynthetic process (GO:0006023)	18	0	.05	-	 < 0.01	1.00E00
anaphase-promoting complex-dependent catabolic process (GO:0031145)	8	0	.02	-	 < 0.01	1.00E00
regulation of monoatomic ion transmembrane transport (GO:0034765)	59	0	.15	-	 < 0.01	1.00E00
aminoglycan metabolic process (GO:0006022)	25	0	.07	-	 < 0.01	1.00E00
kidney development (GO:0001822)	8	0	.02	-	 < 0.01	1.00E00
transcription by RNA polymerase III (GO:0006383)	14	0	.04	-	 < 0.01	1.00E00
adenosine to inosine editing (GO:0006382)	4	0	.01	-	 < 0.01	1.00E00
regulation of transmembrane transport (GO:0034762)	69	0	.18	-	 < 0.01	1.00E00
negative regulation of DNA recombination (GO:0045910)	5	0	.01	-	 < 0.01	1.00E00
mitotic DNA replication checkpoint signaling (GO:0033314)	3	0	.01	-	 < 0.01	1.00E00
positive regulation of kinase activity (GO:0033674)	71	0	.19	-	 < 0.01	1.00E00
DNA synthesis involved in DNA repair (GO:0000731)	13	0	.03	-	 < 0.01	1.00E00
somatic cell DNA recombination (GO:0016444)	2	0	.01	-	 < 0.01	1.00E00
regulation of organelle assembly (GO:1902115)	21	0	.05	-	 < 0.01	1.00E00
chloride transmembrane transport (GO:1902476)	33	0	.09	-	 < 0.01	1.00E00
L-alpha-amino acid transmembrane transport (GO:1902475)	13	0	.03	-	 < 0.01	1.00E00
regulation of cellular response to growth factor stimulus (GO:0090287)	44	0	.11	-	 < 0.01	1.00E00
positive regulation of cytokine production (GO:0001819)	9	0	.02	-	 < 0.01	1.00E00
regulation of cytokine production (GO:0001817)	23	0	.06	-	 < 0.01	1.00E00
mRNA polyadenylation (GO:0006378)	5	0	.01	-	 < 0.01	1.00E00
response to toxic substance (GO:0009636)	8	0	.02	-	 < 0.01	1.00E00
cytokine production (GO:0001816)	5	0	.01	-	 < 0.01	1.00E00
mRNA splice site recognition (GO:0006376)	12	0	.03	-	 < 0.01	1.00E00
negative regulation of chromosome segregation (GO:0051985)	9	0	.02	-	 < 0.01	1.00E00
iron ion transmembrane transport (GO:0034755)	5	0	.01	-	 < 0.01	1.00E00
regulation of chromosome segregation (GO:0051983)	21	0	.05	-	 < 0.01	1.00E00
response to extracellular stimulus (GO:0009991)	35	0	.09	-	 < 0.01	1.00E00
DNA double-strand break processing (GO:0000729)	4	0	.01	-	 < 0.01	1.00E00
double-strand break repair via break-induced replication (GO:0000727)	9	0	.02	-	 < 0.01	1.00E00
actin filament-based movement (GO:0030048)	16	0	.04	-	 < 0.01	1.00E00
recombinational repair (GO:0000725)	54	0	.14	-	 < 0.01	1.00E00
epidermis development (GO:0008544)	4	0	.01	-	 < 0.01	1.00E00
mitotic G2/M transition checkpoint (GO:0044818)	12	0	.03	-	 < 0.01	1.00E00
double-strand break repair via homologous recombination (GO:0000724)	54	0	.14	-	 < 0.01	1.00E00
fibroblast growth factor receptor signaling pathway (GO:0008543)	24	0	.06	-	 < 0.01	1.00E00
telomere maintenance (GO:0000723)	26	0	.07	-	 < 0.01	1.00E00
actin filament depolymerization (GO:0030042)	8	0	.02	-	 < 0.01	1.00E00
actin filament polymerization (GO:0030041)	10	0	.03	-	 < 0.01	1.00E00
regulation of peptide hormone secretion (GO:0090276)	5	0	.01	-	 < 0.01	1.00E00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	9	0	.02	-	 < 0.01	1.00E00
organelle fission (GO:0048285)	81	0	.21	-	 < 0.01	1.00E00
response to abiotic stimulus (GO:0009628)	72	0	.19	-	 < 0.01	1.00E00
organelle fusion (GO:0048284)	55	0	.14	-	 < 0.01	1.00E00
glucose metabolic process (GO:0006006)	17	0	.04	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase II (GO:0006368)	9	0	.02	-	 < 0.01	1.00E00
cell-cell recognition (GO:0009988)	1	0	.00	-	 < 0.01	1.00E00
transcription initiation at RNA polymerase II promoter (GO:0006367)	22	0	.06	-	 < 0.01	1.00E00
regulation of potassium ion transmembrane transport (GO:1901379)	14	0	.04	-	 < 0.01	1.00E00
transcription by RNA polymerase II (GO:0006366)	49	0	.13	-	 < 0.01	1.00E00
rRNA processing (GO:0006364)	81	0	.21	-	 < 0.01	1.00E00
mRNA 3'-end processing (GO:0031124)	16	0	.04	-	 < 0.01	1.00E00
RNA 3'-end processing (GO:0031123)	40	0	.10	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase I (GO:0006362)	2	0	.01	-	 < 0.01	1.00E00
cytoplasmic microtubule organization (GO:0031122)	21	0	.05	-	 < 0.01	1.00E00
transcription by RNA polymerase I (GO:0006360)	10	0	.03	-	 < 0.01	1.00E00
lipid homeostasis (GO:0055088)	25	0	.07	-	 < 0.01	1.00E00
cholesterol homeostasis (GO:0042632)	8	0	.02	-	 < 0.01	1.00E00
contractile actin filament bundle assembly (GO:0030038)	5	0	.01	-	 < 0.01	1.00E00
nucleobase-containing small molecule metabolic process (GO:0055086)	141	0	.37	-	 < 0.01	1.00E00
respiratory chain complex IV assembly (GO:0008535)	1	0	.00	-	 < 0.01	1.00E00
actin cytoskeleton organization (GO:0030036)	212	0	.55	-	 < 0.01	1.00E00
regulation of trans-synaptic signaling (GO:0099177)	78	0	.20	-	 < 0.01	1.00E00
resolution of meiotic recombination intermediates (GO:0000712)	11	0	.03	-	 < 0.01	1.00E00
intracellular chemical homeostasis (GO:0055082)	117	0	.31	-	 < 0.01	1.00E00
regulation of postsynapse organization (GO:0099175)	9	0	.02	-	 < 0.01	1.00E00
monoatomic cation homeostasis (GO:0055080)	125	0	.33	-	 < 0.01	1.00E00
cell projection assembly (GO:0030031)	128	0	.33	-	 < 0.01	1.00E00
postsynapse organization (GO:0099173)	6	0	.02	-	 < 0.01	1.00E00
cell projection organization (GO:0030030)	327	0	.85	-	 < 0.01	1.00E00
homologous recombination (GO:0035825)	20	0	.05	-	 < 0.01	1.00E00
regulation of telomere maintenance (GO:0032204)	6	0	.02	-	 < 0.01	1.00E00
inorganic anion transport (GO:0015698)	49	0	.13	-	 < 0.01	1.00E00
quaternary ammonium group transport (GO:0015697)	5	0	.01	-	 < 0.01	1.00E00
telomere organization (GO:0032200)	26	0	.07	-	 < 0.01	1.00E00
organic cation transport (GO:0015695)	6	0	.02	-	 < 0.01	1.00E00
defense response to virus (GO:0051607)	4	0	.01	-	 < 0.01	1.00E00
response to bacterium (GO:0009617)	16	0	.04	-	 < 0.01	1.00E00
positive regulation of canonical Wnt signaling pathway (GO:0090263)	20	0	.05	-	 < 0.01	1.00E00
detection of stimulus (GO:0051606)	24	0	.06	-	 < 0.01	1.00E00
response to virus (GO:0009615)	4	0	.01	-	 < 0.01	1.00E00
protein maturation (GO:0051604)	167	0	.44	-	 < 0.01	1.00E00
regulation of synaptic transmission, glutamatergic (GO:0051966)	13	0	.03	-	 < 0.01	1.00E00
regulation of transcription by RNA polymerase I (GO:0006356)	4	0	.01	-	 < 0.01	1.00E00
proteolysis involved in protein catabolic process (GO:0051603)	246	0	.64	-	 < 0.01	1.00E00
positive regulation of synapse assembly (GO:0051965)	9	0	.02	-	 < 0.01	1.00E00
DNA-templated transcription elongation (GO:0006354)	11	0	.03	-	 < 0.01	1.00E00
response to mechanical stimulus (GO:0009612)	9	0	.02	-	 < 0.01	1.00E00
response to wounding (GO:0009611)	24	0	.06	-	 < 0.01	1.00E00
positive regulation of nervous system development (GO:0051962)	30	0	.08	-	 < 0.01	1.00E00
DNA-templated transcription initiation (GO:0006352)	33	0	.09	-	 < 0.01	1.00E00
regulation of actin filament organization (GO:0110053)	60	0	.16	-	 < 0.01	1.00E00
DNA-templated transcription (GO:0006351)	80	0	.21	-	 < 0.01	1.00E00
regulation of nervous system development (GO:0051960)	48	0	.13	-	 < 0.01	1.00E00
organic cyclic compound biosynthetic process (GO:1901362)	211	0	.55	-	 < 0.01	1.00E00
regulation of microtubule polymerization or depolymerization (GO:0031110)	20	0	.05	-	 < 0.01	1.00E00
organic cyclic compound catabolic process (GO:1901361)	117	0	.31	-	 < 0.01	1.00E00
sodium ion homeostasis (GO:0055078)	11	0	.03	-	 < 0.01	1.00E00
actin filament-based process (GO:0030029)	219	0	.57	-	 < 0.01	1.00E00
regulation of body fluid levels (GO:0050878)	14	0	.04	-	 < 0.01	1.00E00
nervous system process (GO:0050877)	61	0	.16	-	 < 0.01	1.00E00
regulation of apoptotic process (GO:0042981)	93	0	.24	-	 < 0.01	1.00E00
calcium ion homeostasis (GO:0055074)	61	0	.16	-	 < 0.01	1.00E00
positive regulation of secretion by cell (GO:1903532)	7	0	.02	-	 < 0.01	1.00E00
positive regulation of T cell activation (GO:0050870)	3	0	.01	-	 < 0.01	1.00E00
regulation of secretion by cell (GO:1903530)	42	0	.11	-	 < 0.01	1.00E00
regulation of muscle system process (GO:0090257)	11	0	.03	-	 < 0.01	1.00E00
response to biotic stimulus (GO:0009607)	44	0	.11	-	 < 0.01	1.00E00
microtubule polymerization or depolymerization (GO:0031109)	29	0	.08	-	 < 0.01	1.00E00
negative regulation of signal transduction (GO:0009968)	151	0	.39	-	 < 0.01	1.00E00
nucleosome organization (GO:0034728)	11	0	.03	-	 < 0.01	1.00E00
response to external stimulus (GO:0009605)	139	0	.36	-	 < 0.01	1.00E00
piecemeal microautophagy of the nucleus (GO:0034727)	16	0	.04	-	 < 0.01	1.00E00
DNA methylation-dependent heterochromatin formation (GO:0006346)	2	0	.01	-	 < 0.01	1.00E00
negative regulation of T cell activation (GO:0050868)	4	0	.01	-	 < 0.01	1.00E00
positive regulation of cell activation (GO:0050867)	5	0	.01	-	 < 0.01	1.00E00
negative regulation of cell activation (GO:0050866)	6	0	.02	-	 < 0.01	1.00E00
regulation of cell activation (GO:0050865)	13	0	.03	-	 < 0.01	1.00E00
regulation of T cell activation (GO:0050863)	6	0	.02	-	 < 0.01	1.00E00
response to lipid (GO:0033993)	34	0	.09	-	 < 0.01	1.00E00
adenosine metabolic process (GO:0046085)	4	0	.01	-	 < 0.01	1.00E00
establishment of cell polarity (GO:0030010)	22	0	.06	-	 < 0.01	1.00E00
regulation of receptor-mediated endocytosis (GO:0048259)	6	0	.02	-	 < 0.01	1.00E00
sensory organ development (GO:0007423)	46	0	.12	-	 < 0.01	1.00E00
peripheral nervous system development (GO:0007422)	2	0	.01	-	 < 0.01	1.00E00
brain development (GO:0007420)	44	0	.11	-	 < 0.01	1.00E00
mitochondrial translation (GO:0032543)	12	0	.03	-	 < 0.01	1.00E00
mRNA stabilization (GO:0048255)	13	0	.03	-	 < 0.01	1.00E00
chromatin remodeling (GO:0006338)	93	0	.24	-	 < 0.01	1.00E00
nucleosome assembly (GO:0006334)	9	0	.02	-	 < 0.01	1.00E00
cholesterol biosynthetic process (GO:0006695)	7	0	.02	-	 < 0.01	1.00E00
dorsal/ventral pattern formation (GO:0009953)	7	0	.02	-	 < 0.01	1.00E00
steroid biosynthetic process (GO:0006694)	15	0	.04	-	 < 0.01	1.00E00
anterior/posterior pattern specification (GO:0009952)	38	0	.10	-	 < 0.01	1.00E00
regulation of systemic arterial blood pressure (GO:0003073)	9	0	.02	-	 < 0.01	1.00E00
prostaglandin metabolic process (GO:0006693)	5	0	.01	-	 < 0.01	1.00E00
regulation of vasculature development (GO:1901342)	21	0	.05	-	 < 0.01	1.00E00
icosanoid metabolic process (GO:0006690)	10	0	.03	-	 < 0.01	1.00E00
regulation of cell adhesion mediated by integrin (GO:0033628)	5	0	.01	-	 < 0.01	1.00E00
cell adhesion mediated by integrin (GO:0033627)	21	0	.05	-	 < 0.01	1.00E00
B cell receptor signaling pathway (GO:0050853)	9	0	.02	-	 < 0.01	1.00E00
T cell receptor signaling pathway (GO:0050852)	17	0	.04	-	 < 0.01	1.00E00
intracellular monoatomic cation homeostasis (GO:0030003)	106	0	.28	-	 < 0.01	1.00E00
antigen receptor-mediated signaling pathway (GO:0050851)	22	0	.06	-	 < 0.01	1.00E00
metal ion transport (GO:0030001)	237	0	.62	-	 < 0.01	1.00E00
lytic vacuole organization (GO:0080171)	14	0	.04	-	 < 0.01	1.00E00
central nervous system development (GO:0007417)	76	0	.20	-	 < 0.01	1.00E00
synapse assembly (GO:0007416)	23	0	.06	-	 < 0.01	1.00E00
regulation of cellular component size (GO:0032535)	56	0	.15	-	 < 0.01	1.00E00
axon guidance (GO:0007411)	101	0	.26	-	 < 0.01	1.00E00
macrophage chemotaxis (GO:0048246)	1	0	.00	-	 < 0.01	1.00E00
sensory organ morphogenesis (GO:0090596)	8	0	.02	-	 < 0.01	1.00E00
glycosphingolipid biosynthetic process (GO:0006688)	11	0	.03	-	 < 0.01	1.00E00
chromatin organization (GO:0006325)	100	0	.26	-	 < 0.01	1.00E00
sperm capacitation (GO:0048240)	1	0	.00	-	 < 0.01	1.00E00
positive regulation of establishment of protein localization (GO:1904951)	6	0	.02	-	 < 0.01	1.00E00
membrane protein proteolysis (GO:0033619)	14	0	.04	-	 < 0.01	1.00E00
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1	0	.00	-	 < 0.01	1.00E00
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	3	0	.01	-	 < 0.01	1.00E00
axonogenesis (GO:0007409)	120	0	.31	-	 < 0.01	1.00E00
regulation of microtubule-based process (GO:0032886)	47	0	.12	-	 < 0.01	1.00E00
embryonic morphogenesis (GO:0048598)	40	0	.10	-	 < 0.01	1.00E00
mitotic cytokinetic process (GO:1902410)	2	0	.01	-	 < 0.01	1.00E00
male gamete generation (GO:0048232)	18	0	.05	-	 < 0.01	1.00E00
regulation of protein localization (GO:0032880)	37	0	.10	-	 < 0.01	1.00E00
camera-type eye morphogenesis (GO:0048593)	4	0	.01	-	 < 0.01	1.00E00
eye morphogenesis (GO:0048592)	6	0	.02	-	 < 0.01	1.00E00
regulation of calcium ion transport (GO:0051924)	20	0	.05	-	 < 0.01	1.00E00
mitotic recombination (GO:0006312)	6	0	.02	-	 < 0.01	1.00E00
ceramide metabolic process (GO:0006672)	37	0	.10	-	 < 0.01	1.00E00
DNA recombination (GO:0006310)	77	0	.20	-	 < 0.01	1.00E00
P-body assembly (GO:0033962)	9	0	.02	-	 < 0.01	1.00E00
regulation of localization (GO:0032879)	204	0	.53	-	 < 0.01	1.00E00
developmental growth (GO:0048589)	7	0	.02	-	 < 0.01	1.00E00
developmental cell growth (GO:0048588)	5	0	.01	-	 < 0.01	1.00E00
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	19	0	.05	-	 < 0.01	1.00E00
negative regulation of response to stimulus (GO:0048585)	172	0	.45	-	 < 0.01	1.00E00
DNA catabolic process (GO:0006308)	4	0	.01	-	 < 0.01	1.00E00
cellular response to hormone stimulus (GO:0032870)	63	0	.16	-	 < 0.01	1.00E00
DNA methylation (GO:0006306)	5	0	.01	-	 < 0.01	1.00E00
glycosylation (GO:0070085)	100	0	.26	-	 < 0.01	1.00E00
DNA alkylation (GO:0006305)	5	0	.01	-	 < 0.01	1.00E00
sphingolipid metabolic process (GO:0006665)	53	0	.14	-	 < 0.01	1.00E00
double-strand break repair via nonhomologous end joining (GO:0006303)	16	0	.04	-	 < 0.01	1.00E00
double-strand break repair (GO:0006302)	93	0	.24	-	 < 0.01	1.00E00
postreplication repair (GO:0006301)	14	0	.04	-	 < 0.01	1.00E00
dipeptide transport (GO:0042938)	2	0	.01	-	 < 0.01	1.00E00
vesicle transport along microtubule (GO:0047496)	16	0	.04	-	 < 0.01	1.00E00
defense response to Gram-negative bacterium (GO:0050829)	1	0	.00	-	 < 0.01	1.00E00
negative regulation of cell migration (GO:0030336)	10	0	.03	-	 < 0.01	1.00E00
positive regulation of cell migration (GO:0030335)	48	0	.13	-	 < 0.01	1.00E00
regulation of cell migration (GO:0030334)	91	0	.24	-	 < 0.01	1.00E00
protein stabilization (GO:0050821)	12	0	.03	-	 < 0.01	1.00E00
microtubule-based transport (GO:0099111)	53	0	.14	-	 < 0.01	1.00E00
endosome transport via multivesicular body sorting pathway (GO:0032509)	24	0	.06	-	 < 0.01	1.00E00
DNA duplex unwinding (GO:0032508)	12	0	.03	-	 < 0.01	1.00E00
cellular response to insulin stimulus (GO:0032869)	16	0	.04	-	 < 0.01	1.00E00
cytokinetic process (GO:0032506)	10	0	.03	-	 < 0.01	1.00E00
response to insulin (GO:0032868)	18	0	.05	-	 < 0.01	1.00E00
IMP metabolic process (GO:0046040)	9	0	.02	-	 < 0.01	1.00E00
multicellular organism reproduction (GO:0032504)	29	0	.08	-	 < 0.01	1.00E00
negative regulation of cell cycle G2/M phase transition (GO:1902750)	16	0	.04	-	 < 0.01	1.00E00
hormone transport (GO:0009914)	3	0	.01	-	 < 0.01	1.00E00
phosphatidylcholine biosynthetic process (GO:0006656)	2	0	.01	-	 < 0.01	1.00E00
epidermal cell differentiation (GO:0009913)	2	0	.01	-	 < 0.01	1.00E00
negative regulation of coagulation (GO:0050819)	5	0	.01	-	 < 0.01	1.00E00
regulation of coagulation (GO:0050818)	7	0	.02	-	 < 0.01	1.00E00
coagulation (GO:0050817)	9	0	.02	-	 < 0.01	1.00E00
regulation of cellular response to stress (GO:0080135)	30	0	.08	-	 < 0.01	1.00E00
regulation of response to stress (GO:0080134)	69	0	.18	-	 < 0.01	1.00E00
ATP metabolic process (GO:0046034)	18	0	.05	-	 < 0.01	1.00E00
