PANTHER GO-Slim Biological Process	background_genes.thetas.txt - REFLIST (11894)	(417)	(expected)	(over/under)	(fold Enrichment)	P-value
membrane lipid biosynthetic process (GO:0046467)	57	1	2.00	-	.50	7.24E-01
cytoskeleton-dependent intracellular transport (GO:0030705)	57	1	2.00	-	.50	7.24E-01
defense response (GO:0006952)	57	1	2.00	-	.50	7.24E-01
cell junction assembly (GO:0034329)	58	1	2.03	-	.49	7.24E-01
regulation of cellular component biogenesis (GO:0044087)	116	2	4.07	-	.49	4.44E-01
response to organic substance (GO:0010033)	235	4	8.24	-	.49	1.51E-01
regulation of vesicle-mediated transport (GO:0060627)	59	1	2.07	-	.48	7.24E-01
regulation of monoatomic ion transmembrane transport (GO:0034765)	59	1	2.07	-	.48	7.24E-01
response to endoplasmic reticulum stress (GO:0034976)	59	1	2.07	-	.48	7.24E-01
response to endogenous stimulus (GO:0009719)	178	3	6.24	-	.48	2.21E-01
regulation of actin filament organization (GO:0110053)	60	1	2.10	-	.48	7.25E-01
RNA processing (GO:0006396)	301	5	10.55	-	.47	8.05E-02
cellular lipid catabolic process (GO:0044242)	61	1	2.14	-	.47	7.25E-01
regulation of kinase activity (GO:0043549)	123	2	4.31	-	.46	4.52E-01
regulation of transferase activity (GO:0051338)	126	2	4.42	-	.45	3.30E-01
cellular response to hormone stimulus (GO:0032870)	63	1	2.21	-	.45	7.27E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	190	3	6.66	-	.45	2.27E-01
purine ribonucleotide metabolic process (GO:0009150)	66	1	2.31	-	.43	7.31E-01
import across plasma membrane (GO:0098739)	66	1	2.31	-	.43	7.31E-01
lipid catabolic process (GO:0016042)	67	1	2.35	-	.43	7.32E-01
protein-RNA complex assembly (GO:0022618)	67	1	2.35	-	.43	7.32E-01
regulation of monoatomic ion transport (GO:0043269)	68	1	2.38	-	.42	7.34E-01
cellular response to nitrogen compound (GO:1901699)	68	1	2.38	-	.42	7.34E-01
regulation of supramolecular fiber organization (GO:1902903)	71	1	2.49	-	.40	5.21E-01
protein-RNA complex organization (GO:0071826)	71	1	2.49	-	.40	5.21E-01
positive regulation of kinase activity (GO:0033674)	71	1	2.49	-	.40	5.21E-01
positive regulation of transferase activity (GO:0051347)	72	1	2.52	-	.40	5.21E-01
negative regulation of macromolecule metabolic process (GO:0010605)	364	5	12.76	-	.39	1.98E-02
protein polyubiquitination (GO:0000209)	73	1	2.56	-	.39	5.22E-01
membrane lipid metabolic process (GO:0006643)	73	1	2.56	-	.39	5.22E-01
sexual reproduction (GO:0019953)	74	1	2.59	-	.39	5.23E-01
negative regulation of metabolic process (GO:0009892)	376	5	13.18	-	.38	1.48E-02
regulation of proteolysis (GO:0030162)	76	1	2.66	-	.38	5.25E-01
central nervous system development (GO:0007417)	76	1	2.66	-	.38	5.25E-01
reproductive process (GO:0022414)	77	1	2.70	-	.37	5.27E-01
reproduction (GO:0000003)	77	1	2.70	-	.37	5.27E-01
response to hormone (GO:0009725)	78	1	2.73	-	.37	5.28E-01
regulation of protein kinase activity (GO:0045859)	79	1	2.77	-	.36	5.30E-01
protein maturation (GO:0051604)	167	2	5.85	-	.34	1.33E-01
negative regulation of cellular metabolic process (GO:0031324)	348	4	12.20	-	.33	1.10E-02
negative regulation of protein metabolic process (GO:0051248)	88	1	3.09	-	.32	3.76E-01
purine nucleotide metabolic process (GO:0006163)	89	1	3.12	-	.32	3.78E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	273	3	9.57	-	.31	2.81E-02
negative regulation of biosynthetic process (GO:0009890)	275	3	9.64	-	.31	1.99E-02
negative regulation of cellular biosynthetic process (GO:0031327)	275	3	9.64	-	.31	1.99E-02
mRNA splicing, via spliceosome (GO:0000398)	92	1	3.23	-	.31	3.83E-01
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	92	1	3.23	-	.31	3.83E-01
RNA splicing, via transesterification reactions (GO:0000375)	92	1	3.23	-	.31	3.83E-01
protein-containing complex assembly (GO:0065003)	184	2	6.45	-	.31	6.96E-02
chromatin remodeling (GO:0006338)	93	1	3.26	-	.31	3.85E-01
import into cell (GO:0098657)	186	2	6.52	-	.31	6.97E-02
endosomal transport (GO:0016197)	98	1	3.44	-	.29	2.67E-01
purine-containing compound metabolic process (GO:0072521)	99	1	3.47	-	.29	2.67E-01
chromatin organization (GO:0006325)	100	1	3.51	-	.29	2.68E-01
RNA splicing (GO:0008380)	102	1	3.58	-	.28	2.71E-01
mRNA processing (GO:0006397)	113	1	3.96	-	.25	1.91E-01
endocytosis (GO:0006897)	117	1	4.10	-	.24	1.96E-01
protein-DNA complex organization (GO:0071824)	118	1	4.14	-	.24	1.33E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	272	2	9.54	-	.21	6.74E-03
negative regulation of RNA metabolic process (GO:0051253)	171	1	6.00	-	.17	3.29E-02
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	185	1	6.49	-	.15	2.35E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	0	.07	-	 < 0.01	1.00E00
ribonucleoside triphosphate metabolic process (GO:0009199)	23	0	.81	-	 < 0.01	1.00E00
mononuclear cell migration (GO:0071674)	4	0	.14	-	 < 0.01	1.00E00
tissue morphogenesis (GO:0048729)	23	0	.81	-	 < 0.01	1.00E00
negative regulation of supramolecular fiber organization (GO:1902904)	32	0	1.12	-	 < 0.01	6.28E-01
centriole assembly (GO:0098534)	9	0	.32	-	 < 0.01	1.00E00
vitamin transport (GO:0051180)	12	0	.42	-	 < 0.01	1.00E00
TOR signaling (GO:0031929)	9	0	.32	-	 < 0.01	1.00E00
negative regulation of actin filament polymerization (GO:0030837)	22	0	.77	-	 < 0.01	1.00E00
sperm-egg recognition (GO:0035036)	1	0	.04	-	 < 0.01	1.00E00
negative regulation of actin filament depolymerization (GO:0030835)	18	0	.63	-	 < 0.01	1.00E00
regulation of actin filament depolymerization (GO:0030834)	20	0	.70	-	 < 0.01	1.00E00
regulation of actin filament polymerization (GO:0030833)	42	0	1.47	-	 < 0.01	4.04E-01
meiotic sister chromatid cohesion (GO:0051177)	2	0	.07	-	 < 0.01	1.00E00
cyclic nucleotide metabolic process (GO:0009187)	8	0	.28	-	 < 0.01	1.00E00
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	17	0	.60	-	 < 0.01	1.00E00
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	15	0	.53	-	 < 0.01	1.00E00
lymphocyte mediated immunity (GO:0002449)	2	0	.07	-	 < 0.01	1.00E00
leukocyte mediated immunity (GO:0002443)	2	0	.07	-	 < 0.01	1.00E00
apoptotic cell clearance (GO:0043277)	4	0	.14	-	 < 0.01	1.00E00
oligodendrocyte differentiation (GO:0048709)	5	0	.18	-	 < 0.01	1.00E00
negative regulation of monoatomic ion transport (GO:0043271)	17	0	.60	-	 < 0.01	1.00E00
regulation of lipid biosynthetic process (GO:0046890)	7	0	.25	-	 < 0.01	1.00E00
endothelial cell differentiation (GO:0045446)	4	0	.14	-	 < 0.01	1.00E00
neutrophil migration (GO:1990266)	3	0	.11	-	 < 0.01	1.00E00
fat cell differentiation (GO:0045444)	2	0	.07	-	 < 0.01	1.00E00
programmed cell death (GO:0012501)	60	0	2.10	-	 < 0.01	2.75E-01
axo-dendritic transport (GO:0008088)	16	0	.56	-	 < 0.01	1.00E00
regulation of establishment of protein localization (GO:0070201)	15	0	.53	-	 < 0.01	1.00E00
mitochondrial fission (GO:0000266)	8	0	.28	-	 < 0.01	1.00E00
synaptic vesicle recycling (GO:0036465)	28	0	.98	-	 < 0.01	6.25E-01
positive regulation of hormone secretion (GO:0046887)	2	0	.07	-	 < 0.01	1.00E00
regulation of potassium ion transport (GO:0043266)	16	0	.56	-	 < 0.01	1.00E00
membrane invagination (GO:0010324)	11	0	.39	-	 < 0.01	1.00E00
regulation of peptide secretion (GO:0002791)	5	0	.18	-	 < 0.01	1.00E00
regulation of hormone secretion (GO:0046883)	7	0	.25	-	 < 0.01	1.00E00
glucose 6-phosphate metabolic process (GO:0051156)	10	0	.35	-	 < 0.01	1.00E00
nucleotide catabolic process (GO:0009166)	25	0	.88	-	 < 0.01	1.00E00
ceramide biosynthetic process (GO:0046513)	24	0	.84	-	 < 0.01	1.00E00
regulation of protein-containing complex assembly (GO:0043254)	54	0	1.89	-	 < 0.01	2.65E-01
purine ribonucleotide catabolic process (GO:0009154)	18	0	.63	-	 < 0.01	1.00E00
heme metabolic process (GO:0042168)	8	0	.28	-	 < 0.01	1.00E00
response to fatty acid (GO:0070542)	1	0	.04	-	 < 0.01	1.00E00
regulation of actin polymerization or depolymerization (GO:0008064)	43	0	1.51	-	 < 0.01	4.05E-01
regulation of lipid metabolic process (GO:0019216)	12	0	.42	-	 < 0.01	1.00E00
respiratory electron transport chain (GO:0022904)	13	0	.46	-	 < 0.01	1.00E00
protein hydroxylation (GO:0018126)	14	0	.49	-	 < 0.01	1.00E00
electron transport chain (GO:0022900)	16	0	.56	-	 < 0.01	1.00E00
glycerolipid catabolic process (GO:0046503)	14	0	.49	-	 < 0.01	1.00E00
regulation of protein-containing complex disassembly (GO:0043244)	36	0	1.26	-	 < 0.01	6.38E-01
negative regulation of protein-containing complex disassembly (GO:0043242)	26	0	.91	-	 < 0.01	1.00E00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	1	0	.04	-	 < 0.01	1.00E00
purine nucleoside triphosphate metabolic process (GO:0009144)	20	0	.70	-	 < 0.01	1.00E00
nucleoside triphosphate catabolic process (GO:0009143)	5	0	.18	-	 < 0.01	1.00E00
negative regulation of cytoskeleton organization (GO:0051494)	33	0	1.16	-	 < 0.01	6.30E-01
nucleoside triphosphate biosynthetic process (GO:0009142)	6	0	.21	-	 < 0.01	1.00E00
chaperone-mediated protein complex assembly (GO:0051131)	4	0	.14	-	 < 0.01	1.00E00
nucleoside triphosphate metabolic process (GO:0009141)	30	0	1.05	-	 < 0.01	6.26E-01
regulation of stress fiber assembly (GO:0051492)	5	0	.18	-	 < 0.01	1.00E00
negative regulation of blood pressure (GO:0045776)	6	0	.21	-	 < 0.01	1.00E00
protein K63-linked ubiquitination (GO:0070534)	5	0	.18	-	 < 0.01	1.00E00
mitochondrial fusion (GO:0008053)	9	0	.32	-	 < 0.01	1.00E00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	6	0	.21	-	 < 0.01	1.00E00
negative regulation of cellular component organization (GO:0051129)	63	0	2.21	-	 < 0.01	1.74E-01
regulation of bone remodeling (GO:0046850)	3	0	.11	-	 < 0.01	1.00E00
nucleoside diphosphate catabolic process (GO:0009134)	22	0	.77	-	 < 0.01	1.00E00
RNA polymerase II preinitiation complex assembly (GO:0051123)	6	0	.21	-	 < 0.01	1.00E00
long-chain fatty acid metabolic process (GO:0001676)	10	0	.35	-	 < 0.01	1.00E00
retrograde transport, endosome to Golgi (GO:0042147)	31	0	1.09	-	 < 0.01	6.27E-01
platelet aggregation (GO:0070527)	5	0	.18	-	 < 0.01	1.00E00
vacuole fusion, non-autophagic (GO:0042144)	1	0	.04	-	 < 0.01	1.00E00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of adenylate cyclase activity (GO:0045762)	5	0	.18	-	 < 0.01	1.00E00
regulation of adenylate cyclase activity (GO:0045761)	7	0	.25	-	 < 0.01	1.00E00
regulation of sodium ion transmembrane transporter activity (GO:2000649)	13	0	.46	-	 < 0.01	1.00E00
motor neuron axon guidance (GO:0008045)	6	0	.21	-	 < 0.01	1.00E00
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	5	0	.18	-	 < 0.01	1.00E00
peptidyl-tyrosine phosphorylation (GO:0018108)	6	0	.21	-	 < 0.01	1.00E00
peptidyl-threonine phosphorylation (GO:0018107)	17	0	.60	-	 < 0.01	1.00E00
peptidyl-tyrosine dephosphorylation (GO:0035335)	15	0	.53	-	 < 0.01	1.00E00
filopodium assembly (GO:0046847)	3	0	.11	-	 < 0.01	1.00E00
skin development (GO:0043588)	3	0	.11	-	 < 0.01	1.00E00
ear development (GO:0043583)	2	0	.07	-	 < 0.01	1.00E00
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	8	0	.28	-	 < 0.01	1.00E00
regulation of transcription elongation by RNA polymerase II (GO:0034243)	9	0	.32	-	 < 0.01	1.00E00
cell recognition (GO:0008037)	14	0	.49	-	 < 0.01	1.00E00
potassium ion import across plasma membrane (GO:1990573)	29	0	1.02	-	 < 0.01	6.25E-01
negative regulation of T cell proliferation (GO:0042130)	2	0	.07	-	 < 0.01	1.00E00
V(D)J recombination (GO:0033151)	2	0	.07	-	 < 0.01	1.00E00
negative regulation of organelle organization (GO:0010639)	52	0	1.82	-	 < 0.01	2.64E-01
carbohydrate phosphorylation (GO:0046835)	6	0	.21	-	 < 0.01	1.00E00
regulation of T cell proliferation (GO:0042129)	3	0	.11	-	 < 0.01	1.00E00
eye development (GO:0001654)	31	0	1.09	-	 < 0.01	6.27E-01
calcium ion import (GO:0070509)	11	0	.39	-	 < 0.01	1.00E00
cytochrome complex assembly (GO:0017004)	2	0	.07	-	 < 0.01	1.00E00
negative regulation of Notch signaling pathway (GO:0045746)	3	0	.11	-	 < 0.01	1.00E00
regulation of microtubule cytoskeleton organization (GO:0070507)	32	0	1.12	-	 < 0.01	6.28E-01
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	3	0	.11	-	 < 0.01	1.00E00
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	4	0	.14	-	 < 0.01	1.00E00
regulation of leukocyte cell-cell adhesion (GO:1903037)	6	0	.21	-	 < 0.01	1.00E00
regulation of response to wounding (GO:1903034)	6	0	.21	-	 < 0.01	1.00E00
sperm motility (GO:0097722)	1	0	.04	-	 < 0.01	1.00E00
regulation of endopeptidase activity (GO:0052548)	41	0	1.44	-	 < 0.01	4.04E-01
regulation of peptidase activity (GO:0052547)	42	0	1.47	-	 < 0.01	4.04E-01
oligopeptide transmembrane transport (GO:0035672)	2	0	.07	-	 < 0.01	1.00E00
osteoblast differentiation (GO:0001649)	5	0	.18	-	 < 0.01	1.00E00
neutrophil activation (GO:0042119)	1	0	.04	-	 < 0.01	1.00E00
piRNA processing (GO:0034587)	6	0	.21	-	 < 0.01	1.00E00
negative regulation of DNA repair (GO:0045738)	5	0	.18	-	 < 0.01	1.00E00
macrophage activation (GO:0042116)	1	0	.04	-	 < 0.01	1.00E00
odontogenesis (GO:0042476)	2	0	.07	-	 < 0.01	1.00E00
odontogenesis of dentin-containing tooth (GO:0042475)	2	0	.07	-	 < 0.01	1.00E00
regulation of heart contraction (GO:0008016)	20	0	.70	-	 < 0.01	1.00E00
T cell activation (GO:0042110)	7	0	.25	-	 < 0.01	1.00E00
inner ear morphogenesis (GO:0042472)	2	0	.07	-	 < 0.01	1.00E00
vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)	1	0	.04	-	 < 0.01	1.00E00
centriole elongation (GO:0061511)	1	0	.04	-	 < 0.01	1.00E00
antigen processing and presentation (GO:0019882)	3	0	.11	-	 < 0.01	1.00E00
sperm axoneme assembly (GO:0007288)	1	0	.04	-	 < 0.01	1.00E00
cardiolipin biosynthetic process (GO:0032049)	2	0	.07	-	 < 0.01	1.00E00
epithelium development (GO:0060429)	35	0	1.23	-	 < 0.01	6.35E-01
spermatid development (GO:0007286)	4	0	.14	-	 < 0.01	1.00E00
regulation of dephosphorylation (GO:0035303)	9	0	.32	-	 < 0.01	1.00E00
mitochondrial DNA metabolic process (GO:0032042)	4	0	.14	-	 < 0.01	1.00E00
carbohydrate transmembrane transport (GO:0034219)	9	0	.32	-	 < 0.01	1.00E00
regulation of meiotic cell cycle (GO:0051445)	10	0	.35	-	 < 0.01	1.00E00
purine nucleotide catabolic process (GO:0006195)	19	0	.67	-	 < 0.01	1.00E00
positive regulation of T cell proliferation (GO:0042102)	2	0	.07	-	 < 0.01	1.00E00
eye photoreceptor cell development (GO:0042462)	1	0	.04	-	 < 0.01	1.00E00
regulation of cell size (GO:0008361)	13	0	.46	-	 < 0.01	1.00E00
regulation of natural killer cell mediated immunity (GO:0002715)	2	0	.07	-	 < 0.01	1.00E00
neuromuscular synaptic transmission (GO:0007274)	10	0	.35	-	 < 0.01	1.00E00
IMP biosynthetic process (GO:0006188)	6	0	.21	-	 < 0.01	1.00E00
negative regulation of canonical Wnt signaling pathway (GO:0090090)	16	0	.56	-	 < 0.01	1.00E00
cGMP biosynthetic process (GO:0006182)	4	0	.14	-	 < 0.01	1.00E00
response to organic cyclic compound (GO:0014070)	27	0	.95	-	 < 0.01	1.00E00
neurotransmitter secretion (GO:0007269)	33	0	1.16	-	 < 0.01	6.30E-01
negative regulation of macroautophagy (GO:0016242)	4	0	.14	-	 < 0.01	1.00E00
regulation of macroautophagy (GO:0016241)	15	0	.53	-	 < 0.01	1.00E00
regulation of lymphocyte mediated immunity (GO:0002706)	4	0	.14	-	 < 0.01	1.00E00
Rho protein signal transduction (GO:0007266)	25	0	.88	-	 < 0.01	1.00E00
Ras protein signal transduction (GO:0007265)	27	0	.95	-	 < 0.01	1.00E00
regulation of response to endoplasmic reticulum stress (GO:1905897)	6	0	.21	-	 < 0.01	1.00E00
regulation of leukocyte mediated immunity (GO:0002703)	4	0	.14	-	 < 0.01	1.00E00
small GTPase-mediated signal transduction (GO:0007264)	65	0	2.28	-	 < 0.01	1.75E-01
regulation of chromatin organization (GO:1902275)	4	0	.14	-	 < 0.01	1.00E00
positive regulation of insulin secretion (GO:0032024)	1	0	.04	-	 < 0.01	1.00E00
regulation of peptide transport (GO:0090087)	5	0	.18	-	 < 0.01	1.00E00
tyrosine phosphorylation of STAT protein (GO:0007260)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of peptidase activity (GO:0010952)	20	0	.70	-	 < 0.01	1.00E00
negative regulation of endopeptidase activity (GO:0010951)	22	0	.77	-	 < 0.01	1.00E00
positive regulation of endopeptidase activity (GO:0010950)	19	0	.67	-	 < 0.01	1.00E00
negative regulation of nuclear division (GO:0051784)	13	0	.46	-	 < 0.01	1.00E00
replication fork processing (GO:0031297)	14	0	.49	-	 < 0.01	1.00E00
heterochromatin organization (GO:0070828)	24	0	.84	-	 < 0.01	1.00E00
regulation of ERBB signaling pathway (GO:1901184)	12	0	.42	-	 < 0.01	1.00E00
hormone biosynthetic process (GO:0042446)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of cell division (GO:0051781)	2	0	.07	-	 < 0.01	1.00E00
hormone metabolic process (GO:0042445)	14	0	.49	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex III assembly (GO:0034551)	1	0	.04	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex assembly (GO:0033108)	10	0	.35	-	 < 0.01	1.00E00
positive regulation of macroautophagy (GO:0016239)	10	0	.35	-	 < 0.01	1.00E00
pigment metabolic process (GO:0042440)	13	0	.46	-	 < 0.01	1.00E00
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1	0	.04	-	 < 0.01	1.00E00
telomere capping (GO:0016233)	3	0	.11	-	 < 0.01	1.00E00
receptor signaling pathway via JAK-STAT (GO:0007259)	8	0	.28	-	 < 0.01	1.00E00
JNK cascade (GO:0007254)	6	0	.21	-	 < 0.01	1.00E00
positive regulation of protein serine/threonine kinase activity (GO:0071902)	12	0	.42	-	 < 0.01	1.00E00
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	3	0	.11	-	 < 0.01	1.00E00
positive regulation of cyclase activity (GO:0031281)	9	0	.32	-	 < 0.01	1.00E00
acetylcholine receptor signaling pathway (GO:0095500)	21	0	.74	-	 < 0.01	1.00E00
negative regulation of cyclase activity (GO:0031280)	2	0	.07	-	 < 0.01	1.00E00
collagen fibril organization (GO:0030199)	9	0	.32	-	 < 0.01	1.00E00
endosome to lysosome transport (GO:0008333)	14	0	.49	-	 < 0.01	1.00E00
regulation of mRNA processing (GO:0050684)	37	0	1.30	-	 < 0.01	6.41E-01
iron-sulfur cluster assembly (GO:0016226)	9	0	.32	-	 < 0.01	1.00E00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	5	0	.18	-	 < 0.01	1.00E00
negative regulation of blood coagulation (GO:0030195)	4	0	.14	-	 < 0.01	1.00E00
canonical NF-kappaB signal transduction (GO:0007249)	3	0	.11	-	 < 0.01	1.00E00
positive regulation of TOR signaling (GO:0032008)	15	0	.53	-	 < 0.01	1.00E00
negative regulation of TOR signaling (GO:0032007)	10	0	.35	-	 < 0.01	1.00E00
regulation of TOR signaling (GO:0032006)	28	0	.98	-	 < 0.01	6.25E-01
intracellular sterol transport (GO:0032366)	3	0	.11	-	 < 0.01	1.00E00
intracellular lipid transport (GO:0032365)	5	0	.18	-	 < 0.01	1.00E00
response to light stimulus (GO:0009416)	24	0	.84	-	 < 0.01	1.00E00
regulation of cyclase activity (GO:0031279)	12	0	.42	-	 < 0.01	1.00E00
neuron apoptotic process (GO:0051402)	4	0	.14	-	 < 0.01	1.00E00
response to UV (GO:0009411)	7	0	.25	-	 < 0.01	1.00E00
purine nucleoside catabolic process (GO:0006152)	3	0	.11	-	 < 0.01	1.00E00
regulation of cell-matrix adhesion (GO:0001952)	4	0	.14	-	 < 0.01	1.00E00
tRNA 3'-end processing (GO:0042780)	1	0	.04	-	 < 0.01	1.00E00
epithelial cell proliferation (GO:0050673)	1	0	.04	-	 < 0.01	1.00E00
regulation of lymphocyte proliferation (GO:0050670)	5	0	.18	-	 < 0.01	1.00E00
B cell differentiation (GO:0030183)	4	0	.14	-	 < 0.01	1.00E00
hemostasis (GO:0007599)	9	0	.32	-	 < 0.01	1.00E00
blood coagulation (GO:0007596)	9	0	.32	-	 < 0.01	1.00E00
response to cold (GO:0009409)	1	0	.04	-	 < 0.01	1.00E00
response to heat (GO:0009408)	11	0	.39	-	 < 0.01	1.00E00
regulation of phosphatase activity (GO:0010921)	6	0	.21	-	 < 0.01	1.00E00
purine nucleobase metabolic process (GO:0006144)	10	0	.35	-	 < 0.01	1.00E00
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6	0	.21	-	 < 0.01	1.00E00
ATP synthesis coupled electron transport (GO:0042773)	6	0	.21	-	 < 0.01	1.00E00
negative regulation of Wnt signaling pathway (GO:0030178)	29	0	1.02	-	 < 0.01	6.25E-01
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	3	0	.11	-	 < 0.01	1.00E00
smoothened signaling pathway (GO:0007224)	18	0	.63	-	 < 0.01	1.00E00
digestion (GO:0007586)	2	0	.07	-	 < 0.01	1.00E00
cellular response to topologically incorrect protein (GO:0035967)	26	0	.91	-	 < 0.01	1.00E00
response to topologically incorrect protein (GO:0035966)	26	0	.91	-	 < 0.01	1.00E00
hormone-mediated signaling pathway (GO:0009755)	24	0	.84	-	 < 0.01	1.00E00
endothelial cell proliferation (GO:0001935)	1	0	.04	-	 < 0.01	1.00E00
negative regulation of protein phosphorylation (GO:0001933)	33	0	1.16	-	 < 0.01	6.30E-01
platelet activation (GO:0030168)	6	0	.21	-	 < 0.01	1.00E00
protein import into peroxisome matrix (GO:0016558)	11	0	.39	-	 < 0.01	1.00E00
isoprenoid catabolic process (GO:0008300)	4	0	.14	-	 < 0.01	1.00E00
mRNA modification (GO:0016556)	8	0	.28	-	 < 0.01	1.00E00
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	11	0	.39	-	 < 0.01	1.00E00
neuropeptide signaling pathway (GO:0007218)	31	0	1.09	-	 < 0.01	6.27E-01
dopamine receptor signaling pathway (GO:0007212)	6	0	.21	-	 < 0.01	1.00E00
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	1	0	.04	-	 < 0.01	1.00E00
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	3	0	.11	-	 < 0.01	1.00E00
protein localization to kinetochore (GO:0034501)	5	0	.18	-	 < 0.01	1.00E00
regulation of circadian rhythm (GO:0042752)	8	0	.28	-	 < 0.01	1.00E00
amino acid biosynthetic process (GO:0008652)	22	0	.77	-	 < 0.01	1.00E00
alanine transport (GO:0032328)	3	0	.11	-	 < 0.01	1.00E00
positive regulation of cytosolic calcium ion concentration (GO:0007204)	18	0	.63	-	 < 0.01	1.00E00
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	25	0	.88	-	 < 0.01	1.00E00
oxidative phosphorylation (GO:0006119)	6	0	.21	-	 < 0.01	1.00E00
energy reserve metabolic process (GO:0006112)	6	0	.21	-	 < 0.01	1.00E00
protein acetylation (GO:0006473)	6	0	.21	-	 < 0.01	1.00E00
regulation of leukocyte mediated cytotoxicity (GO:0001910)	2	0	.07	-	 < 0.01	1.00E00
sphingolipid catabolic process (GO:0030149)	11	0	.39	-	 < 0.01	1.00E00
defense response to bacterium (GO:0042742)	5	0	.18	-	 < 0.01	1.00E00
sphingolipid biosynthetic process (GO:0030148)	39	0	1.37	-	 < 0.01	6.47E-01
carbohydrate transport (GO:0008643)	9	0	.32	-	 < 0.01	1.00E00
regulation of mRNA splicing, via spliceosome (GO:0048024)	32	0	1.12	-	 < 0.01	6.28E-01
negative regulation of protein kinase activity (GO:0006469)	31	0	1.09	-	 < 0.01	6.27E-01
apoptotic mitochondrial changes (GO:0008637)	10	0	.35	-	 < 0.01	1.00E00
proteinogenic amino acid biosynthetic process (GO:0170038)	20	0	.70	-	 < 0.01	1.00E00
negative regulation of angiogenesis (GO:0016525)	8	0	.28	-	 < 0.01	1.00E00
detection of mechanical stimulus (GO:0050982)	8	0	.28	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	12	0	.42	-	 < 0.01	1.00E00
L-amino acid biosynthetic process (GO:0170034)	20	0	.70	-	 < 0.01	1.00E00
negative regulation of chromosome separation (GO:1905819)	9	0	.32	-	 < 0.01	1.00E00
sex differentiation (GO:0007548)	4	0	.14	-	 < 0.01	1.00E00
'de novo' protein folding (GO:0006458)	8	0	.28	-	 < 0.01	1.00E00
protein folding (GO:0006457)	92	0	3.23	-	 < 0.01	7.95E-02
biological process involved in interaction with host (GO:0051701)	1	0	.04	-	 < 0.01	1.00E00
RNA decapping (GO:0110154)	8	0	.28	-	 < 0.01	1.00E00
biomineral tissue development (GO:0031214)	4	0	.14	-	 < 0.01	1.00E00
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	4	0	.14	-	 < 0.01	1.00E00
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	3	0	.11	-	 < 0.01	1.00E00
tRNA methylation (GO:0030488)	19	0	.67	-	 < 0.01	1.00E00
insulin-like growth factor receptor signaling pathway (GO:0048009)	5	0	.18	-	 < 0.01	1.00E00
regulation of translational initiation (GO:0006446)	10	0	.35	-	 < 0.01	1.00E00
post-translational protein targeting to membrane, translocation (GO:0031204)	5	0	.18	-	 < 0.01	1.00E00
tRNA wobble uridine modification (GO:0002098)	7	0	.25	-	 < 0.01	1.00E00
lens development in camera-type eye (GO:0002088)	16	0	.56	-	 < 0.01	1.00E00
organelle transport along microtubule (GO:0072384)	25	0	.88	-	 < 0.01	1.00E00
skeletal muscle tissue development (GO:0007519)	14	0	.49	-	 < 0.01	1.00E00
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	17	0	.60	-	 < 0.01	1.00E00
negative regulation of proteasomal protein catabolic process (GO:1901799)	5	0	.18	-	 < 0.01	1.00E00
heme biosynthetic process (GO:0006783)	5	0	.18	-	 < 0.01	1.00E00
protein activation cascade (GO:0072376)	5	0	.18	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex I assembly (GO:0032981)	6	0	.21	-	 < 0.01	1.00E00
