PANTHER GO-Slim Biological Process	background_genes.cra_all.raisd.txt - REFLIST (11273)	(136)	(expected)	(over/under)	(fold Enrichment)	P-value
cellular response to lipopolysaccharide (GO:0071222)	8	0	.10	-	 < 0.01	1.00E00
neutral lipid catabolic process (GO:0046461)	9	0	.11	-	 < 0.01	1.00E00
activin receptor signaling pathway (GO:0032924)	3	0	.04	-	 < 0.01	1.00E00
positive regulation of developmental process (GO:0051094)	70	0	.84	-	 < 0.01	1.00E00
circadian regulation of gene expression (GO:0032922)	19	0	.23	-	 < 0.01	1.00E00
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	11	0	.13	-	 < 0.01	1.00E00
positive regulation of DNA-binding transcription factor activity (GO:0051091)	16	0	.19	-	 < 0.01	1.00E00
regulation of DNA-binding transcription factor activity (GO:0051090)	24	0	.29	-	 < 0.01	1.00E00
morphogenesis of an epithelium (GO:0002009)	12	0	.14	-	 < 0.01	1.00E00
small molecule biosynthetic process (GO:0044283)	102	0	1.23	-	 < 0.01	6.38E-01
small molecule catabolic process (GO:0044282)	81	0	.98	-	 < 0.01	1.00E00
leukocyte activation involved in immune response (GO:0002366)	3	0	.04	-	 < 0.01	1.00E00
TORC2 signaling (GO:0038203)	4	0	.05	-	 < 0.01	1.00E00
cellular response to molecule of bacterial origin (GO:0071219)	8	0	.10	-	 < 0.01	1.00E00
TORC1 signaling (GO:0038202)	1	0	.01	-	 < 0.01	1.00E00
endomembrane system organization (GO:0010256)	105	0	1.27	-	 < 0.01	6.40E-01
icosanoid biosynthetic process (GO:0046456)	5	0	.06	-	 < 0.01	1.00E00
cellular response to biotic stimulus (GO:0071216)	8	0	.10	-	 < 0.01	1.00E00
positive regulation of cell cycle G1/S phase transition (GO:1902808)	8	0	.10	-	 < 0.01	1.00E00
leucine biosynthetic process (GO:0009098)	1	0	.01	-	 < 0.01	1.00E00
regulation of cell cycle G1/S phase transition (GO:1902806)	18	0	.22	-	 < 0.01	1.00E00
chaperone cofactor-dependent protein refolding (GO:0051085)	6	0	.07	-	 < 0.01	1.00E00
response to oxygen levels (GO:0070482)	17	0	.21	-	 < 0.01	1.00E00
protein localization to plasma membrane (GO:0072659)	43	0	.52	-	 < 0.01	1.00E00
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	11	0	.13	-	 < 0.01	1.00E00
establishment of protein localization to mitochondrion (GO:0072655)	20	0	.24	-	 < 0.01	1.00E00
sulfur compound catabolic process (GO:0044273)	7	0	.08	-	 < 0.01	1.00E00
vesicle cytoskeletal trafficking (GO:0099518)	16	0	.19	-	 < 0.01	1.00E00
tube development (GO:0035295)	38	0	.46	-	 < 0.01	1.00E00
response to organonitrogen compound (GO:0010243)	79	0	.95	-	 < 0.01	1.00E00
lysine biosynthetic process (GO:0009085)	1	0	.01	-	 < 0.01	1.00E00
cellular response to transforming growth factor beta stimulus (GO:0071560)	19	0	.23	-	 < 0.01	1.00E00
branched-chain amino acid biosynthetic process (GO:0009082)	2	0	.02	-	 < 0.01	1.00E00
branched-chain amino acid metabolic process (GO:0009081)	9	0	.11	-	 < 0.01	1.00E00
rRNA base methylation (GO:0070475)	5	0	.06	-	 < 0.01	1.00E00
ncRNA transcription (GO:0098781)	12	0	.14	-	 < 0.01	1.00E00
regulation of proteasomal protein catabolic process (GO:0061136)	28	0	.34	-	 < 0.01	1.00E00
cellular response to oxygen-containing compound (GO:1901701)	80	0	.97	-	 < 0.01	1.00E00
receptor signaling pathway via STAT (GO:0097696)	5	0	.06	-	 < 0.01	1.00E00
response to oxygen-containing compound (GO:1901700)	99	0	1.19	-	 < 0.01	6.35E-01
cardiac muscle contraction (GO:0060048)	13	0	.16	-	 < 0.01	1.00E00
heart contraction (GO:0060047)	17	0	.21	-	 < 0.01	1.00E00
response to transforming growth factor beta (GO:0071559)	19	0	.23	-	 < 0.01	1.00E00
organophosphate catabolic process (GO:0046434)	42	0	.51	-	 < 0.01	1.00E00
vesicle fusion to plasma membrane (GO:0099500)	6	0	.07	-	 < 0.01	1.00E00
retina development in camera-type eye (GO:0060041)	1	0	.01	-	 < 0.01	1.00E00
multicellular organismal reproductive process (GO:0048609)	28	0	.34	-	 < 0.01	1.00E00
cellular response to amino acid starvation (GO:0034198)	9	0	.11	-	 < 0.01	1.00E00
peptide catabolic process (GO:0043171)	9	0	.11	-	 < 0.01	1.00E00
reproductive structure development (GO:0048608)	2	0	.02	-	 < 0.01	1.00E00
aromatic amino acid family catabolic process (GO:0009074)	9	0	.11	-	 < 0.01	1.00E00
aromatic amino acid metabolic process (GO:0009072)	12	0	.14	-	 < 0.01	1.00E00
inorganic ion homeostasis (GO:0098771)	89	0	1.07	-	 < 0.01	6.30E-01
MAPK cascade (GO:0000165)	18	0	.22	-	 < 0.01	1.00E00
regulation of immune effector process (GO:0002697)	5	0	.06	-	 < 0.01	1.00E00
positive regulation of leukocyte activation (GO:0002696)	5	0	.06	-	 < 0.01	1.00E00
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	2	0	.02	-	 < 0.01	1.00E00
negative regulation of leukocyte activation (GO:0002695)	6	0	.07	-	 < 0.01	1.00E00
regulation of leukocyte activation (GO:0002694)	11	0	.13	-	 < 0.01	1.00E00
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	6	0	.07	-	 < 0.01	1.00E00
microtubule polymerization (GO:0046785)	19	0	.23	-	 < 0.01	1.00E00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	10	0	.12	-	 < 0.01	1.00E00
positive regulation of leukocyte chemotaxis (GO:0002690)	7	0	.08	-	 < 0.01	1.00E00
aspartate family amino acid biosynthetic process (GO:0009067)	8	0	.10	-	 < 0.01	1.00E00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	8	0	.10	-	 < 0.01	1.00E00
regulation of small GTPase mediated signal transduction (GO:0051056)	42	0	.51	-	 < 0.01	1.00E00
aspartate family amino acid metabolic process (GO:0009066)	12	0	.14	-	 < 0.01	1.00E00
negative regulation of DNA metabolic process (GO:0051053)	12	0	.14	-	 < 0.01	1.00E00
amino acid catabolic process (GO:0009063)	31	0	.37	-	 < 0.01	1.00E00
regulation of DNA metabolic process (GO:0051052)	32	0	.39	-	 < 0.01	1.00E00
fatty acid catabolic process (GO:0009062)	30	0	.36	-	 < 0.01	1.00E00
negative regulation of transport (GO:0051051)	29	0	.35	-	 < 0.01	1.00E00
positive regulation of transport (GO:0051050)	34	0	.41	-	 < 0.01	1.00E00
aerobic respiration (GO:0009060)	21	0	.25	-	 < 0.01	1.00E00
cellular respiration (GO:0045333)	26	0	.31	-	 < 0.01	1.00E00
phospholipid translocation (GO:0045332)	21	0	.25	-	 < 0.01	1.00E00
intraciliary transport (GO:0042073)	17	0	.21	-	 < 0.01	1.00E00
rRNA modification (GO:0000154)	17	0	.21	-	 < 0.01	1.00E00
mitochondrial gene expression (GO:0140053)	23	0	.28	-	 < 0.01	1.00E00
protein O-linked mannosylation (GO:0035269)	5	0	.06	-	 < 0.01	1.00E00
cellular lipid catabolic process (GO:0044242)	60	0	.72	-	 < 0.01	1.00E00
protein mannosylation (GO:0035268)	8	0	.10	-	 < 0.01	1.00E00
positive regulation of leukocyte migration (GO:0002687)	10	0	.12	-	 < 0.01	1.00E00
cytoskeleton-dependent intracellular transport (GO:0030705)	56	0	.68	-	 < 0.01	1.00E00
regulation of leukocyte migration (GO:0002685)	13	0	.16	-	 < 0.01	1.00E00
positive regulation of immune system process (GO:0002684)	66	0	.80	-	 < 0.01	1.00E00
negative regulation of immune system process (GO:0002683)	16	0	.19	-	 < 0.01	1.00E00
regulation of immune system process (GO:0002682)	95	0	1.15	-	 < 0.01	6.32E-01
DNA biosynthetic process (GO:0071897)	17	0	.21	-	 < 0.01	1.00E00
positive regulation of secretion (GO:0051047)	6	0	.07	-	 < 0.01	1.00E00
regulation of monoatomic cation transmembrane transport (GO:1904062)	43	0	.52	-	 < 0.01	1.00E00
detoxification (GO:0098754)	6	0	.07	-	 < 0.01	1.00E00
late endosome to vacuole transport (GO:0045324)	24	0	.29	-	 < 0.01	1.00E00
gliogenesis (GO:0042063)	12	0	.14	-	 < 0.01	1.00E00
protein localization to lysosome (GO:0061462)	6	0	.07	-	 < 0.01	1.00E00
stress fiber assembly (GO:0043149)	5	0	.06	-	 < 0.01	1.00E00
regulation of double-strand break repair via homologous recombination (GO:0010569)	6	0	.07	-	 < 0.01	1.00E00
regulation of cell cycle process (GO:0010564)	99	0	1.19	-	 < 0.01	6.35E-01
negative regulation of phosphorus metabolic process (GO:0010563)	36	0	.43	-	 < 0.01	1.00E00
neuron projection extension (GO:1990138)	5	0	.06	-	 < 0.01	1.00E00
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	10	0	.12	-	 < 0.01	1.00E00
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	63	0	.76	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1	0	.01	-	 < 0.01	1.00E00
reproductive system development (GO:0061458)	2	0	.02	-	 < 0.01	1.00E00
establishment of mitotic spindle orientation (GO:0000132)	9	0	.11	-	 < 0.01	1.00E00
synaptic transmission, glutamatergic (GO:0035249)	17	0	.21	-	 < 0.01	1.00E00
mRNA transport (GO:0051028)	26	0	.31	-	 < 0.01	1.00E00
import across plasma membrane (GO:0098739)	65	0	.78	-	 < 0.01	1.00E00
microtubule bundle formation (GO:0001578)	18	0	.22	-	 < 0.01	1.00E00
phospholipid catabolic process (GO:0009395)	12	0	.14	-	 < 0.01	1.00E00
kinetochore organization (GO:0051383)	8	0	.10	-	 < 0.01	1.00E00
kinetochore assembly (GO:0051382)	6	0	.07	-	 < 0.01	1.00E00
fluid transport (GO:0042044)	6	0	.07	-	 < 0.01	1.00E00
regulation of neuron differentiation (GO:0045664)	9	0	.11	-	 < 0.01	1.00E00
vasculogenesis (GO:0001570)	3	0	.04	-	 < 0.01	1.00E00
exocytic process (GO:0140029)	13	0	.16	-	 < 0.01	1.00E00
endosomal transport (GO:0016197)	93	0	1.12	-	 < 0.01	6.31E-01
tube morphogenesis (GO:0035239)	36	0	.43	-	 < 0.01	1.00E00
RNA stabilization (GO:0043489)	11	0	.13	-	 < 0.01	1.00E00
establishment of protein localization to extracellular region (GO:0035592)	17	0	.21	-	 < 0.01	1.00E00
negative regulation of canonical NF-kappaB signal transduction (GO:0043124)	5	0	.06	-	 < 0.01	1.00E00
positive regulation of canonical NF-kappaB signal transduction (GO:0043123)	21	0	.25	-	 < 0.01	1.00E00
actin filament bundle assembly (GO:0051017)	18	0	.22	-	 < 0.01	1.00E00
regulation of canonical NF-kappaB signal transduction (GO:0043122)	30	0	.36	-	 < 0.01	1.00E00
barbed-end actin filament capping (GO:0051016)	17	0	.21	-	 < 0.01	1.00E00
blood vessel development (GO:0001568)	35	0	.42	-	 < 0.01	1.00E00
toll-like receptor 4 signaling pathway (GO:0034142)	4	0	.05	-	 < 0.01	1.00E00
isoprenoid biosynthetic process (GO:0008299)	9	0	.11	-	 < 0.01	1.00E00
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	4	0	.05	-	 < 0.01	1.00E00
regulation of membrane potential (GO:0042391)	86	0	1.04	-	 < 0.01	6.29E-01
mitotic nuclear division (GO:0140014)	38	0	.46	-	 < 0.01	1.00E00
meiotic nuclear division (GO:0140013)	32	0	.39	-	 < 0.01	1.00E00
maturation of LSU-rRNA (GO:0000470)	17	0	.21	-	 < 0.01	1.00E00
snRNA processing (GO:0016180)	19	0	.23	-	 < 0.01	1.00E00
bone development (GO:0060348)	6	0	.07	-	 < 0.01	1.00E00
regulation of protein localization to membrane (GO:1905475)	10	0	.12	-	 < 0.01	1.00E00
pigmentation (GO:0043473)	11	0	.13	-	 < 0.01	1.00E00
regulation of cell growth (GO:0001558)	10	0	.12	-	 < 0.01	1.00E00
negative regulation of mitotic sister chromatid segregation (GO:0033048)	9	0	.11	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid segregation (GO:0033047)	10	0	.12	-	 < 0.01	1.00E00
insulin receptor signaling pathway (GO:0008286)	7	0	.08	-	 < 0.01	1.00E00
negative regulation of sister chromatid segregation (GO:0033046)	9	0	.11	-	 < 0.01	1.00E00
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	7	0	.08	-	 < 0.01	1.00E00
negative regulation of cell population proliferation (GO:0008285)	14	0	.17	-	 < 0.01	1.00E00
regulation of sister chromatid segregation (GO:0033045)	18	0	.22	-	 < 0.01	1.00E00
positive regulation of cell population proliferation (GO:0008284)	55	0	.66	-	 < 0.01	1.00E00
regulation of chromosome organization (GO:0033044)	29	0	.35	-	 < 0.01	1.00E00
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	11	0	.13	-	 < 0.01	1.00E00
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	16	0	.19	-	 < 0.01	1.00E00
triglyceride catabolic process (GO:0019433)	3	0	.04	-	 < 0.01	1.00E00
triglyceride biosynthetic process (GO:0019432)	9	0	.11	-	 < 0.01	1.00E00
maturation of 5.8S rRNA (GO:0000460)	15	0	.18	-	 < 0.01	1.00E00
secondary metabolite biosynthetic process (GO:0044550)	4	0	.05	-	 < 0.01	1.00E00
type I interferon-mediated signaling pathway (GO:0060337)	1	0	.01	-	 < 0.01	1.00E00
negative regulation of adenylate cyclase activity (GO:0007194)	2	0	.02	-	 < 0.01	1.00E00
protein palmitoylation (GO:0018345)	20	0	.24	-	 < 0.01	1.00E00
positive regulation of myeloid cell differentiation (GO:0045639)	4	0	.05	-	 < 0.01	1.00E00
regulation of myeloid cell differentiation (GO:0045637)	6	0	.07	-	 < 0.01	1.00E00
negative regulation of lyase activity (GO:0051350)	2	0	.02	-	 < 0.01	1.00E00
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	16	0	.19	-	 < 0.01	1.00E00
non-canonical Wnt signaling pathway (GO:0035567)	25	0	.30	-	 < 0.01	1.00E00
cell chemotaxis (GO:0060326)	15	0	.18	-	 < 0.01	1.00E00
regulation of phospholipase activity (GO:0010517)	1	0	.01	-	 < 0.01	1.00E00
lipid localization (GO:0010876)	80	0	.97	-	 < 0.01	1.00E00
positive regulation of lyase activity (GO:0051349)	9	0	.11	-	 < 0.01	1.00E00
head development (GO:0060322)	45	0	.54	-	 < 0.01	1.00E00
cilium or flagellum-dependent cell motility (GO:0001539)	12	0	.14	-	 < 0.01	1.00E00
tricarboxylic acid cycle (GO:0006099)	12	0	.14	-	 < 0.01	1.00E00
negative regulation of hydrolase activity (GO:0051346)	24	0	.29	-	 < 0.01	1.00E00
positive regulation of hydrolase activity (GO:0051345)	66	0	.80	-	 < 0.01	1.00E00
glycolytic process (GO:0006096)	14	0	.17	-	 < 0.01	1.00E00
retina homeostasis (GO:0001895)	2	0	.02	-	 < 0.01	1.00E00
tissue homeostasis (GO:0001894)	4	0	.05	-	 < 0.01	1.00E00
snRNA 3'-end processing (GO:0034472)	17	0	.21	-	 < 0.01	1.00E00
amino acid import across plasma membrane (GO:0089718)	9	0	.11	-	 < 0.01	1.00E00
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	2	0	.02	-	 < 0.01	1.00E00
transforming growth factor beta receptor signaling pathway (GO:0007179)	19	0	.23	-	 < 0.01	1.00E00
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	30	0	.36	-	 < 0.01	1.00E00
positive regulation of autophagy (GO:0010508)	16	0	.19	-	 < 0.01	1.00E00
negative regulation of autophagy (GO:0010507)	9	0	.11	-	 < 0.01	1.00E00
epidermal growth factor receptor signaling pathway (GO:0007173)	11	0	.13	-	 < 0.01	1.00E00
regulation of autophagy (GO:0010506)	35	0	.42	-	 < 0.01	1.00E00
protein-RNA complex organization (GO:0071826)	67	0	.81	-	 < 0.01	1.00E00
regulation of lyase activity (GO:0051339)	12	0	.14	-	 < 0.01	1.00E00
regulation of hydrolase activity (GO:0051336)	114	0	1.38	-	 < 0.01	6.50E-01
liver development (GO:0001889)	2	0	.02	-	 < 0.01	1.00E00
angiogenesis (GO:0001525)	31	0	.37	-	 < 0.01	1.00E00
regulation of tissue remodeling (GO:0034103)	3	0	.04	-	 < 0.01	1.00E00
regulation of autophagosome maturation (GO:1901096)	5	0	.06	-	 < 0.01	1.00E00
pseudouridine synthesis (GO:0001522)	11	0	.13	-	 < 0.01	1.00E00
tetrapyrrole metabolic process (GO:0033013)	12	0	.14	-	 < 0.01	1.00E00
non-membrane-bounded organelle assembly (GO:0140694)	89	0	1.07	-	 < 0.01	6.30E-01
negative regulation of cell adhesion (GO:0007162)	10	0	.12	-	 < 0.01	1.00E00
response to peptide hormone (GO:0043434)	24	0	.29	-	 < 0.01	1.00E00
negative regulation of DNA-binding transcription factor activity (GO:0043433)	8	0	.10	-	 < 0.01	1.00E00
meiotic cell cycle (GO:0051321)	49	0	.59	-	 < 0.01	1.00E00
glycerol-3-phosphate metabolic process (GO:0006072)	3	0	.04	-	 < 0.01	1.00E00
RNA methylation (GO:0001510)	38	0	.46	-	 < 0.01	1.00E00
mitophagy (GO:0000423)	11	0	.13	-	 < 0.01	1.00E00
secretory granule organization (GO:0033363)	2	0	.02	-	 < 0.01	1.00E00
leukocyte cell-cell adhesion (GO:0007159)	1	0	.01	-	 < 0.01	1.00E00
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	15	0	.18	-	 < 0.01	1.00E00
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	23	0	.28	-	 < 0.01	1.00E00
positive regulation of protein polymerization (GO:0032273)	12	0	.14	-	 < 0.01	1.00E00
negative regulation of protein polymerization (GO:0032272)	22	0	.27	-	 < 0.01	1.00E00
potassium ion transmembrane transport (GO:0071805)	86	0	1.04	-	 < 0.01	6.29E-01
regulation of protein polymerization (GO:0032271)	46	0	.55	-	 < 0.01	1.00E00
action potential (GO:0001508)	30	0	.36	-	 < 0.01	1.00E00
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	0	.06	-	 < 0.01	1.00E00
ossification (GO:0001503)	12	0	.14	-	 < 0.01	1.00E00
metaphase chromosome alignment (GO:0051310)	9	0	.11	-	 < 0.01	1.00E00
skeletal system development (GO:0001501)	28	0	.34	-	 < 0.01	1.00E00
protein localization to cell periphery (GO:1990778)	50	0	.60	-	 < 0.01	1.00E00
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3	0	.04	-	 < 0.01	1.00E00
lipid oxidation (GO:0034440)	23	0	.28	-	 < 0.01	1.00E00
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	2	0	.02	-	 < 0.01	1.00E00
myeloid cell differentiation (GO:0030099)	9	0	.11	-	 < 0.01	1.00E00
taxis (GO:0042330)	33	0	.40	-	 < 0.01	1.00E00
muscle cell differentiation (GO:0042692)	37	0	.45	-	 < 0.01	1.00E00
phytosteroid metabolic process (GO:0016128)	1	0	.01	-	 < 0.01	1.00E00
secondary metabolic process (GO:0019748)	5	0	.06	-	 < 0.01	1.00E00
protein peptidyl-prolyl isomerization (GO:0000413)	12	0	.14	-	 < 0.01	1.00E00
sterol biosynthetic process (GO:0016126)	12	0	.14	-	 < 0.01	1.00E00
regulation of Notch signaling pathway (GO:0008593)	12	0	.14	-	 < 0.01	1.00E00
sterol metabolic process (GO:0016125)	20	0	.24	-	 < 0.01	1.00E00
cytosolic transport (GO:0016482)	35	0	.42	-	 < 0.01	1.00E00
male meiotic nuclear division (GO:0007140)	4	0	.05	-	 < 0.01	1.00E00
macromolecule glycosylation (GO:0043413)	86	0	1.04	-	 < 0.01	6.29E-01
positive regulation of MAPK cascade (GO:0043410)	67	0	.81	-	 < 0.01	1.00E00
chromosome separation (GO:0051304)	1	0	.01	-	 < 0.01	1.00E00
response to radiation (GO:0009314)	29	0	.35	-	 < 0.01	1.00E00
establishment of chromosome localization (GO:0051303)	13	0	.16	-	 < 0.01	1.00E00
regulation of cell division (GO:0051302)	7	0	.08	-	 < 0.01	1.00E00
oligosaccharide biosynthetic process (GO:0009312)	2	0	.02	-	 < 0.01	1.00E00
cell division (GO:0051301)	34	0	.41	-	 < 0.01	1.00E00
negative regulation of phosphorylation (GO:0042326)	32	0	.39	-	 < 0.01	1.00E00
positive regulation of transcription by RNA polymerase I (GO:0045943)	3	0	.04	-	 < 0.01	1.00E00
syncytium formation by plasma membrane fusion (GO:0000768)	3	0	.04	-	 < 0.01	1.00E00
carotenoid biosynthetic process (GO:0016117)	1	0	.01	-	 < 0.01	1.00E00
male gonad development (GO:0008584)	1	0	.01	-	 < 0.01	1.00E00
cholesterol efflux (GO:0033344)	8	0	.10	-	 < 0.01	1.00E00
terpenoid biosynthetic process (GO:0016114)	2	0	.02	-	 < 0.01	1.00E00
antimicrobial humoral response (GO:0019730)	1	0	.01	-	 < 0.01	1.00E00
mesoderm development (GO:0007498)	7	0	.08	-	 < 0.01	1.00E00
negative regulation of MAPK cascade (GO:0043409)	24	0	.29	-	 < 0.01	1.00E00
regulation of MAPK cascade (GO:0043408)	113	0	1.36	-	 < 0.01	6.49E-01
reciprocal meiotic recombination (GO:0007131)	20	0	.24	-	 < 0.01	1.00E00
regulation of MAP kinase activity (GO:0043405)	20	0	.24	-	 < 0.01	1.00E00
endoderm development (GO:0007492)	7	0	.08	-	 < 0.01	1.00E00
amine metabolic process (GO:0009308)	17	0	.21	-	 < 0.01	1.00E00
regulation of centrosome duplication (GO:0010824)	6	0	.07	-	 < 0.01	1.00E00
protein secretion (GO:0009306)	17	0	.21	-	 < 0.01	1.00E00
steroid hormone mediated signaling pathway (GO:0043401)	3	0	.04	-	 < 0.01	1.00E00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	5	0	.06	-	 < 0.01	1.00E00
regulation of mitochondrion organization (GO:0010821)	9	0	.11	-	 < 0.01	1.00E00
rRNA transcription (GO:0009303)	6	0	.07	-	 < 0.01	1.00E00
rRNA methylation (GO:0031167)	10	0	.12	-	 < 0.01	1.00E00
phagolysosome assembly (GO:0001845)	9	0	.11	-	 < 0.01	1.00E00
spindle localization (GO:0051653)	17	0	.21	-	 < 0.01	1.00E00
negative regulation of phosphate metabolic process (GO:0045936)	36	0	.43	-	 < 0.01	1.00E00
maintenance of location in cell (GO:0051651)	18	0	.22	-	 < 0.01	1.00E00
amino sugar metabolic process (GO:0006040)	14	0	.17	-	 < 0.01	1.00E00
cell death (GO:0008219)	58	0	.70	-	 < 0.01	1.00E00
regulation of blood pressure (GO:0008217)	12	0	.14	-	 < 0.01	1.00E00
positive regulation of mitotic cell cycle (GO:0045931)	14	0	.17	-	 < 0.01	1.00E00
negative regulation of mitotic cell cycle (GO:0045930)	36	0	.43	-	 < 0.01	1.00E00
negative regulation of mitotic sister chromatid separation (GO:2000816)	9	0	.11	-	 < 0.01	1.00E00
insulin secretion (GO:0030073)	2	0	.02	-	 < 0.01	1.00E00
homologous chromosome pairing at meiosis (GO:0007129)	6	0	.07	-	 < 0.01	1.00E00
peptide hormone secretion (GO:0030072)	3	0	.04	-	 < 0.01	1.00E00
regulation of mitotic metaphase/anaphase transition (GO:0030071)	15	0	.18	-	 < 0.01	1.00E00
cell cycle G1/S phase transition (GO:0044843)	17	0	.21	-	 < 0.01	1.00E00
meiosis I (GO:0007127)	25	0	.30	-	 < 0.01	1.00E00
positive regulation of cell-substrate adhesion (GO:0010811)	11	0	.13	-	 < 0.01	1.00E00
regulation of cell-substrate adhesion (GO:0010810)	13	0	.16	-	 < 0.01	1.00E00
release of cytochrome c from mitochondria (GO:0001836)	5	0	.06	-	 < 0.01	1.00E00
positive regulation of growth (GO:0045927)	3	0	.04	-	 < 0.01	1.00E00
mitochondrial transcription (GO:0006390)	6	0	.07	-	 < 0.01	1.00E00
reticulophagy (GO:0061709)	8	0	.10	-	 < 0.01	1.00E00
cholesterol metabolic process (GO:0008203)	14	0	.17	-	 < 0.01	1.00E00
cell cycle G2/M phase transition (GO:0044839)	3	0	.04	-	 < 0.01	1.00E00
steroid metabolic process (GO:0008202)	26	0	.31	-	 < 0.01	1.00E00
left/right pattern formation (GO:0060972)	2	0	.02	-	 < 0.01	1.00E00
glucose transmembrane transport (GO:1904659)	5	0	.06	-	 < 0.01	1.00E00
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	4	0	.05	-	 < 0.01	1.00E00
glycosaminoglycan biosynthetic process (GO:0006024)	11	0	.13	-	 < 0.01	1.00E00
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	14	0	.17	-	 < 0.01	1.00E00
aminoglycan biosynthetic process (GO:0006023)	15	0	.18	-	 < 0.01	1.00E00
anaphase-promoting complex-dependent catabolic process (GO:0031145)	7	0	.08	-	 < 0.01	1.00E00
regulation of monoatomic ion transmembrane transport (GO:0034765)	57	0	.69	-	 < 0.01	1.00E00
aminoglycan metabolic process (GO:0006022)	22	0	.27	-	 < 0.01	1.00E00
transcription by RNA polymerase III (GO:0006383)	13	0	.16	-	 < 0.01	1.00E00
adenosine to inosine editing (GO:0006382)	4	0	.05	-	 < 0.01	1.00E00
regulation of transmembrane transport (GO:0034762)	67	0	.81	-	 < 0.01	1.00E00
negative regulation of DNA recombination (GO:0045910)	5	0	.06	-	 < 0.01	1.00E00
mitotic DNA replication checkpoint signaling (GO:0033314)	3	0	.04	-	 < 0.01	1.00E00
DNA synthesis involved in DNA repair (GO:0000731)	13	0	.16	-	 < 0.01	1.00E00
somatic cell DNA recombination (GO:0016444)	2	0	.02	-	 < 0.01	1.00E00
regulation of organelle assembly (GO:1902115)	21	0	.25	-	 < 0.01	1.00E00
chloride transmembrane transport (GO:1902476)	32	0	.39	-	 < 0.01	1.00E00
L-alpha-amino acid transmembrane transport (GO:1902475)	13	0	.16	-	 < 0.01	1.00E00
regulation of cellular response to growth factor stimulus (GO:0090287)	42	0	.51	-	 < 0.01	1.00E00
positive regulation of cytokine production (GO:0001819)	8	0	.10	-	 < 0.01	1.00E00
regulation of cytokine production (GO:0001817)	22	0	.27	-	 < 0.01	1.00E00
mRNA polyadenylation (GO:0006378)	5	0	.06	-	 < 0.01	1.00E00
response to toxic substance (GO:0009636)	8	0	.10	-	 < 0.01	1.00E00
cytokine production (GO:0001816)	5	0	.06	-	 < 0.01	1.00E00
mRNA splice site recognition (GO:0006376)	12	0	.14	-	 < 0.01	1.00E00
negative regulation of chromosome segregation (GO:0051985)	9	0	.11	-	 < 0.01	1.00E00
iron ion transmembrane transport (GO:0034755)	4	0	.05	-	 < 0.01	1.00E00
regulation of chromosome segregation (GO:0051983)	20	0	.24	-	 < 0.01	1.00E00
DNA double-strand break processing (GO:0000729)	4	0	.05	-	 < 0.01	1.00E00
double-strand break repair via break-induced replication (GO:0000727)	9	0	.11	-	 < 0.01	1.00E00
actin filament-based movement (GO:0030048)	13	0	.16	-	 < 0.01	1.00E00
recombinational repair (GO:0000725)	53	0	.64	-	 < 0.01	1.00E00
epidermis development (GO:0008544)	4	0	.05	-	 < 0.01	1.00E00
mitotic G2/M transition checkpoint (GO:0044818)	11	0	.13	-	 < 0.01	1.00E00
double-strand break repair via homologous recombination (GO:0000724)	53	0	.64	-	 < 0.01	1.00E00
fibroblast growth factor receptor signaling pathway (GO:0008543)	24	0	.29	-	 < 0.01	1.00E00
actin filament depolymerization (GO:0030042)	8	0	.10	-	 < 0.01	1.00E00
