PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(327)	(expected)	(over/under)	(fold Enrichment)	P-value
negative regulation of organelle organization (GO:0010639)	52	0	1.43	-	 < 0.01	4.05E-01
positive regulation of organelle organization (GO:0010638)	48	0	1.32	-	 < 0.01	6.44E-01
carbohydrate phosphorylation (GO:0046835)	6	0	.17	-	 < 0.01	1.00E00
nucleoside metabolic process (GO:0009116)	14	0	.39	-	 < 0.01	1.00E00
cellular response to oxidative stress (GO:0034599)	9	0	.25	-	 < 0.01	1.00E00
regulation of T cell proliferation (GO:0042129)	3	0	.08	-	 < 0.01	1.00E00
nucleobase metabolic process (GO:0009112)	19	0	.52	-	 < 0.01	1.00E00
eye development (GO:0001654)	31	0	.85	-	 < 0.01	1.00E00
calcium ion import (GO:0070509)	11	0	.30	-	 < 0.01	1.00E00
cytochrome complex assembly (GO:0017004)	2	0	.06	-	 < 0.01	1.00E00
nuclear chromosome segregation (GO:0098813)	54	0	1.49	-	 < 0.01	4.06E-01
negative regulation of Notch signaling pathway (GO:0045746)	3	0	.08	-	 < 0.01	1.00E00
regulation of microtubule cytoskeleton organization (GO:0070507)	32	0	.88	-	 < 0.01	1.00E00
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	4	0	.11	-	 < 0.01	1.00E00
sperm motility (GO:0097722)	1	0	.03	-	 < 0.01	1.00E00
calcineurin-mediated signaling (GO:0097720)	7	0	.19	-	 < 0.01	1.00E00
oligopeptide transmembrane transport (GO:0035672)	2	0	.06	-	 < 0.01	1.00E00
osteoblast differentiation (GO:0001649)	5	0	.14	-	 < 0.01	1.00E00
neutrophil activation (GO:0042119)	1	0	.03	-	 < 0.01	1.00E00
piRNA processing (GO:0034587)	6	0	.17	-	 < 0.01	1.00E00
intracellular pH reduction (GO:0051452)	9	0	.25	-	 < 0.01	1.00E00
macrophage activation (GO:0042116)	1	0	.03	-	 < 0.01	1.00E00
odontogenesis (GO:0042476)	2	0	.06	-	 < 0.01	1.00E00
odontogenesis of dentin-containing tooth (GO:0042475)	2	0	.06	-	 < 0.01	1.00E00
regulation of heart contraction (GO:0008016)	20	0	.55	-	 < 0.01	1.00E00
blood circulation (GO:0008015)	39	0	1.07	-	 < 0.01	6.28E-01
T cell activation (GO:0042110)	7	0	.19	-	 < 0.01	1.00E00
inner ear morphogenesis (GO:0042472)	2	0	.06	-	 < 0.01	1.00E00
chromosome localization (GO:0050000)	13	0	.36	-	 < 0.01	1.00E00
vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)	1	0	.03	-	 < 0.01	1.00E00
protein localization to cilium (GO:0061512)	15	0	.41	-	 < 0.01	1.00E00
centriole elongation (GO:0061511)	1	0	.03	-	 < 0.01	1.00E00
sperm axoneme assembly (GO:0007288)	1	0	.03	-	 < 0.01	1.00E00
cardiolipin biosynthetic process (GO:0032049)	2	0	.06	-	 < 0.01	1.00E00
epithelium development (GO:0060429)	35	0	.96	-	 < 0.01	1.00E00
spermatid development (GO:0007286)	4	0	.11	-	 < 0.01	1.00E00
spermatogenesis (GO:0007283)	17	0	.47	-	 < 0.01	1.00E00
germ cell development (GO:0007281)	16	0	.44	-	 < 0.01	1.00E00
mitochondrial DNA metabolic process (GO:0032042)	4	0	.11	-	 < 0.01	1.00E00
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	14	0	.39	-	 < 0.01	1.00E00
regulation of meiotic cell cycle (GO:0051445)	10	0	.28	-	 < 0.01	1.00E00
transport along microtubule (GO:0010970)	51	0	1.40	-	 < 0.01	4.05E-01
positive regulation of translation (GO:0045727)	18	0	.50	-	 < 0.01	1.00E00
positive regulation of T cell proliferation (GO:0042102)	2	0	.06	-	 < 0.01	1.00E00
eye photoreceptor cell development (GO:0042462)	1	0	.03	-	 < 0.01	1.00E00
regulation of cell size (GO:0008361)	13	0	.36	-	 < 0.01	1.00E00
regulation of natural killer cell mediated immunity (GO:0002715)	2	0	.06	-	 < 0.01	1.00E00
gamete generation (GO:0007276)	27	0	.74	-	 < 0.01	1.00E00
neuromuscular synaptic transmission (GO:0007274)	10	0	.28	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid separation (GO:0010965)	15	0	.41	-	 < 0.01	1.00E00
DNA geometric change (GO:0032392)	12	0	.33	-	 < 0.01	1.00E00
endothelial cell migration (GO:0043542)	4	0	.11	-	 < 0.01	1.00E00
IMP biosynthetic process (GO:0006188)	6	0	.17	-	 < 0.01	1.00E00
negative regulation of canonical Wnt signaling pathway (GO:0090090)	16	0	.44	-	 < 0.01	1.00E00
cGMP biosynthetic process (GO:0006182)	4	0	.11	-	 < 0.01	1.00E00
negative regulation of macroautophagy (GO:0016242)	4	0	.11	-	 < 0.01	1.00E00
Rho protein signal transduction (GO:0007266)	25	0	.69	-	 < 0.01	1.00E00
Ras protein signal transduction (GO:0007265)	27	0	.74	-	 < 0.01	1.00E00
regulation of response to endoplasmic reticulum stress (GO:1905897)	6	0	.17	-	 < 0.01	1.00E00
regulation of metal ion transport (GO:0010959)	52	0	1.43	-	 < 0.01	4.05E-01
regulation of chromatin organization (GO:1902275)	4	0	.11	-	 < 0.01	1.00E00
positive regulation of insulin secretion (GO:0032024)	1	0	.03	-	 < 0.01	1.00E00
regulation of peptide transport (GO:0090087)	5	0	.14	-	 < 0.01	1.00E00
tyrosine phosphorylation of STAT protein (GO:0007260)	1	0	.03	-	 < 0.01	1.00E00
positive regulation of peptidase activity (GO:0010952)	20	0	.55	-	 < 0.01	1.00E00
positive regulation of endopeptidase activity (GO:0010950)	19	0	.52	-	 < 0.01	1.00E00
negative regulation of nuclear division (GO:0051784)	13	0	.36	-	 < 0.01	1.00E00
replication fork processing (GO:0031297)	14	0	.39	-	 < 0.01	1.00E00
regulation of nuclear division (GO:0051783)	28	0	.77	-	 < 0.01	1.00E00
heterochromatin organization (GO:0070828)	24	0	.66	-	 < 0.01	1.00E00
regulation of ERBB signaling pathway (GO:1901184)	12	0	.33	-	 < 0.01	1.00E00
hormone biosynthetic process (GO:0042446)	1	0	.03	-	 < 0.01	1.00E00
positive regulation of cell division (GO:0051781)	2	0	.06	-	 < 0.01	1.00E00
hormone metabolic process (GO:0042445)	14	0	.39	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex III assembly (GO:0034551)	1	0	.03	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex assembly (GO:0033108)	10	0	.28	-	 < 0.01	1.00E00
pigment metabolic process (GO:0042440)	13	0	.36	-	 < 0.01	1.00E00
microautophagy (GO:0016237)	16	0	.44	-	 < 0.01	1.00E00
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1	0	.03	-	 < 0.01	1.00E00
telomere capping (GO:0016233)	3	0	.08	-	 < 0.01	1.00E00
receptor signaling pathway via JAK-STAT (GO:0007259)	8	0	.22	-	 < 0.01	1.00E00
JNK cascade (GO:0007254)	6	0	.17	-	 < 0.01	1.00E00
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	3	0	.08	-	 < 0.01	1.00E00
positive regulation of cyclase activity (GO:0031281)	9	0	.25	-	 < 0.01	1.00E00
snRNA transcription by RNA polymerase II (GO:0042795)	5	0	.14	-	 < 0.01	1.00E00
negative regulation of cyclase activity (GO:0031280)	2	0	.06	-	 < 0.01	1.00E00
collagen fibril organization (GO:0030199)	9	0	.25	-	 < 0.01	1.00E00
endosome to lysosome transport (GO:0008333)	14	0	.39	-	 < 0.01	1.00E00
regulation of mRNA processing (GO:0050684)	37	0	1.02	-	 < 0.01	6.27E-01
iron-sulfur cluster assembly (GO:0016226)	9	0	.25	-	 < 0.01	1.00E00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	5	0	.14	-	 < 0.01	1.00E00
negative regulation of blood coagulation (GO:0030195)	4	0	.11	-	 < 0.01	1.00E00
canonical NF-kappaB signal transduction (GO:0007249)	3	0	.08	-	 < 0.01	1.00E00
positive regulation of TOR signaling (GO:0032008)	15	0	.41	-	 < 0.01	1.00E00
non-motile cilium assembly (GO:1905515)	14	0	.39	-	 < 0.01	1.00E00
intracellular sterol transport (GO:0032366)	3	0	.08	-	 < 0.01	1.00E00
intracellular lipid transport (GO:0032365)	5	0	.14	-	 < 0.01	1.00E00
regulation of anatomical structure size (GO:0090066)	67	0	1.84	-	 < 0.01	2.66E-01
response to light stimulus (GO:0009416)	24	0	.66	-	 < 0.01	1.00E00
regulation of cyclase activity (GO:0031279)	12	0	.33	-	 < 0.01	1.00E00
neuron apoptotic process (GO:0051402)	4	0	.11	-	 < 0.01	1.00E00
response to UV (GO:0009411)	7	0	.19	-	 < 0.01	1.00E00
purine nucleoside catabolic process (GO:0006152)	3	0	.08	-	 < 0.01	1.00E00
regulation of cell-matrix adhesion (GO:0001952)	4	0	.11	-	 < 0.01	1.00E00
protein deubiquitination (GO:0016579)	55	0	1.51	-	 < 0.01	4.07E-01
tRNA 3'-end processing (GO:0042780)	1	0	.03	-	 < 0.01	1.00E00
epithelial cell proliferation (GO:0050673)	1	0	.03	-	 < 0.01	1.00E00
regulation of lymphocyte proliferation (GO:0050670)	5	0	.14	-	 < 0.01	1.00E00
cellular component assembly involved in morphogenesis (GO:0010927)	25	0	.69	-	 < 0.01	1.00E00
developmental pigmentation (GO:0048066)	6	0	.17	-	 < 0.01	1.00E00
response to cold (GO:0009409)	1	0	.03	-	 < 0.01	1.00E00
response to heat (GO:0009408)	11	0	.30	-	 < 0.01	1.00E00
purine nucleobase metabolic process (GO:0006144)	10	0	.28	-	 < 0.01	1.00E00
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6	0	.17	-	 < 0.01	1.00E00
ATP synthesis coupled electron transport (GO:0042773)	6	0	.17	-	 < 0.01	1.00E00
negative regulation of Wnt signaling pathway (GO:0030178)	29	0	.80	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	3	0	.08	-	 < 0.01	1.00E00
positive regulation of Wnt signaling pathway (GO:0030177)	23	0	.63	-	 < 0.01	1.00E00
integrin-mediated signaling pathway (GO:0007229)	25	0	.69	-	 < 0.01	1.00E00
smoothened signaling pathway (GO:0007224)	18	0	.50	-	 < 0.01	1.00E00
digestion (GO:0007586)	2	0	.06	-	 < 0.01	1.00E00
cellular response to topologically incorrect protein (GO:0035967)	26	0	.72	-	 < 0.01	1.00E00
response to topologically incorrect protein (GO:0035966)	26	0	.72	-	 < 0.01	1.00E00
hormone-mediated signaling pathway (GO:0009755)	24	0	.66	-	 < 0.01	1.00E00
endothelial cell proliferation (GO:0001935)	1	0	.03	-	 < 0.01	1.00E00
negative regulation of protein phosphorylation (GO:0001933)	33	0	.91	-	 < 0.01	1.00E00
protein O-linked glycosylation (GO:0006493)	40	0	1.10	-	 < 0.01	6.29E-01
RNA transport (GO:0050658)	37	0	1.02	-	 < 0.01	6.27E-01
nucleic acid transport (GO:0050657)	37	0	1.02	-	 < 0.01	6.27E-01
protein import into peroxisome matrix (GO:0016558)	11	0	.30	-	 < 0.01	1.00E00
isoprenoid catabolic process (GO:0008300)	4	0	.11	-	 < 0.01	1.00E00
mRNA modification (GO:0016556)	8	0	.22	-	 < 0.01	1.00E00
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	11	0	.30	-	 < 0.01	1.00E00
neuropeptide signaling pathway (GO:0007218)	31	0	.85	-	 < 0.01	1.00E00
dopamine receptor signaling pathway (GO:0007212)	6	0	.17	-	 < 0.01	1.00E00
response to glucose (GO:0009749)	4	0	.11	-	 < 0.01	1.00E00
protein N-linked glycosylation (GO:0006487)	35	0	.96	-	 < 0.01	1.00E00
protein glycosylation (GO:0006486)	88	0	2.42	-	 < 0.01	1.80E-01
protein localization to nucleus (GO:0034504)	42	0	1.16	-	 < 0.01	6.31E-01
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	1	0	.03	-	 < 0.01	1.00E00
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	3	0	.08	-	 < 0.01	1.00E00
protein localization to kinetochore (GO:0034501)	5	0	.14	-	 < 0.01	1.00E00
regulation of circadian rhythm (GO:0042752)	8	0	.22	-	 < 0.01	1.00E00
amino acid biosynthetic process (GO:0008652)	22	0	.61	-	 < 0.01	1.00E00
protein import into mitochondrial matrix (GO:0030150)	9	0	.25	-	 < 0.01	1.00E00
alanine transport (GO:0032328)	3	0	.08	-	 < 0.01	1.00E00
positive regulation of cytosolic calcium ion concentration (GO:0007204)	18	0	.50	-	 < 0.01	1.00E00
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	25	0	.69	-	 < 0.01	1.00E00
oxidative phosphorylation (GO:0006119)	6	0	.17	-	 < 0.01	1.00E00
energy reserve metabolic process (GO:0006112)	6	0	.17	-	 < 0.01	1.00E00
protein acetylation (GO:0006473)	6	0	.17	-	 < 0.01	1.00E00
regulation of leukocyte mediated cytotoxicity (GO:0001910)	2	0	.06	-	 < 0.01	1.00E00
protein dephosphorylation (GO:0006470)	50	0	1.38	-	 < 0.01	6.49E-01
sphingolipid catabolic process (GO:0030149)	11	0	.30	-	 < 0.01	1.00E00
defense response to bacterium (GO:0042742)	5	0	.14	-	 < 0.01	1.00E00
regulation of mRNA splicing, via spliceosome (GO:0048024)	32	0	.88	-	 < 0.01	1.00E00
negative regulation of protein kinase activity (GO:0006469)	31	0	.85	-	 < 0.01	1.00E00
response to hormone (GO:0009725)	78	0	2.15	-	 < 0.01	2.80E-01
cell-substrate adhesion (GO:0031589)	44	0	1.21	-	 < 0.01	6.35E-01
sister chromatid segregation (GO:0000819)	41	0	1.13	-	 < 0.01	6.30E-01
apoptotic mitochondrial changes (GO:0008637)	10	0	.28	-	 < 0.01	1.00E00
proteinogenic amino acid biosynthetic process (GO:0170038)	20	0	.55	-	 < 0.01	1.00E00
negative regulation of angiogenesis (GO:0016525)	8	0	.22	-	 < 0.01	1.00E00
detection of mechanical stimulus (GO:0050982)	8	0	.22	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	12	0	.33	-	 < 0.01	1.00E00
L-amino acid biosynthetic process (GO:0170034)	20	0	.55	-	 < 0.01	1.00E00
negative regulation of chromosome separation (GO:1905819)	9	0	.25	-	 < 0.01	1.00E00
sex differentiation (GO:0007548)	4	0	.11	-	 < 0.01	1.00E00
regulation of chromosome separation (GO:1905818)	15	0	.41	-	 < 0.01	1.00E00
maturation of SSU-rRNA (GO:0030490)	27	0	.74	-	 < 0.01	1.00E00
'de novo' protein folding (GO:0006458)	8	0	.22	-	 < 0.01	1.00E00
biological process involved in interaction with host (GO:0051701)	1	0	.03	-	 < 0.01	1.00E00
RNA decapping (GO:0110154)	8	0	.22	-	 < 0.01	1.00E00
biomineral tissue development (GO:0031214)	4	0	.11	-	 < 0.01	1.00E00
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	4	0	.11	-	 < 0.01	1.00E00
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	3	0	.08	-	 < 0.01	1.00E00
insulin-like growth factor receptor signaling pathway (GO:0048009)	5	0	.14	-	 < 0.01	1.00E00
regulation of translational initiation (GO:0006446)	10	0	.28	-	 < 0.01	1.00E00
nucleotide-sugar transmembrane transport (GO:0015780)	6	0	.17	-	 < 0.01	1.00E00
post-translational protein targeting to membrane, translocation (GO:0031204)	5	0	.14	-	 < 0.01	1.00E00
regulation of Wnt signaling pathway (GO:0030111)	57	0	1.57	-	 < 0.01	4.10E-01
neuromuscular junction development (GO:0007528)	9	0	.25	-	 < 0.01	1.00E00
attachment of spindle microtubules to kinetochore (GO:0008608)	7	0	.19	-	 < 0.01	1.00E00
lens development in camera-type eye (GO:0002088)	16	0	.44	-	 < 0.01	1.00E00
organelle transport along microtubule (GO:0072384)	25	0	.69	-	 < 0.01	1.00E00
sensory perception of mechanical stimulus (GO:0050954)	11	0	.30	-	 < 0.01	1.00E00
skeletal muscle tissue development (GO:0007519)	14	0	.39	-	 < 0.01	1.00E00
regulation of endocytosis (GO:0030100)	19	0	.52	-	 < 0.01	1.00E00
muscle organ development (GO:0007517)	20	0	.55	-	 < 0.01	1.00E00
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	17	0	.47	-	 < 0.01	1.00E00
negative regulation of proteasomal protein catabolic process (GO:1901799)	5	0	.14	-	 < 0.01	1.00E00
heme biosynthetic process (GO:0006783)	5	0	.14	-	 < 0.01	1.00E00
protein activation cascade (GO:0072376)	5	0	.14	-	 < 0.01	1.00E00
alcohol biosynthetic process (GO:0046165)	31	0	.85	-	 < 0.01	1.00E00
regulation of translation (GO:0006417)	46	0	1.27	-	 < 0.01	6.39E-01
mitochondrial respiratory chain complex I assembly (GO:0032981)	6	0	.17	-	 < 0.01	1.00E00
mesoderm morphogenesis (GO:0048332)	7	0	.19	-	 < 0.01	1.00E00
porphyrin-containing compound metabolic process (GO:0006778)	10	0	.28	-	 < 0.01	1.00E00
translational termination (GO:0006415)	3	0	.08	-	 < 0.01	1.00E00
translational elongation (GO:0006414)	20	0	.55	-	 < 0.01	1.00E00
translational initiation (GO:0006413)	28	0	.77	-	 < 0.01	1.00E00
translation (GO:0006412)	122	0	3.36	-	 < 0.01	8.39E-02
chromosome organization involved in meiotic cell cycle (GO:0070192)	11	0	.30	-	 < 0.01	1.00E00
citrate transport (GO:0015746)	4	0	.11	-	 < 0.01	1.00E00
succinate transport (GO:0015744)	3	0	.08	-	 < 0.01	1.00E00
regulation of actin filament-based process (GO:0032970)	82	0	2.26	-	 < 0.01	1.76E-01
mRNA export from nucleus (GO:0006406)	26	0	.72	-	 < 0.01	1.00E00
RNA export from nucleus (GO:0006405)	32	0	.88	-	 < 0.01	1.00E00
RNA localization (GO:0006403)	40	0	1.10	-	 < 0.01	6.29E-01
folic acid-containing compound metabolic process (GO:0006760)	10	0	.28	-	 < 0.01	1.00E00
pigment biosynthetic process (GO:0046148)	10	0	.28	-	 < 0.01	1.00E00
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	7	0	.19	-	 < 0.01	1.00E00
mitotic spindle assembly (GO:0090307)	13	0	.36	-	 < 0.01	1.00E00
axon extension (GO:0048675)	2	0	.06	-	 < 0.01	1.00E00
positive chemotaxis (GO:0050918)	2	0	.06	-	 < 0.01	1.00E00
regulation of transmembrane transporter activity (GO:0022898)	40	0	1.10	-	 < 0.01	6.29E-01
sensory perception of bitter taste (GO:0050913)	1	0	.03	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1	0	.03	-	 < 0.01	1.00E00
chemical synaptic transmission, postsynaptic (GO:0099565)	4	0	.11	-	 < 0.01	1.00E00
siRNA processing (GO:0030422)	1	0	.03	-	 < 0.01	1.00E00
nicotinamide nucleotide metabolic process (GO:0046496)	30	0	.83	-	 < 0.01	1.00E00
regulation of actin cytoskeleton organization (GO:0032956)	81	0	2.23	-	 < 0.01	1.76E-01
protein insertion into ER membrane (GO:0045048)	3	0	.08	-	 < 0.01	1.00E00
bile acid and bile salt transport (GO:0015721)	5	0	.14	-	 < 0.01	1.00E00
heterochromatin formation (GO:0031507)	20	0	.55	-	 < 0.01	1.00E00
sensory perception of taste (GO:0050909)	2	0	.06	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception (GO:0050907)	2	0	.06	-	 < 0.01	1.00E00
detection of stimulus involved in sensory perception (GO:0050906)	6	0	.17	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	4	0	.11	-	 < 0.01	1.00E00
signal transduction by p53 class mediator (GO:0072331)	5	0	.14	-	 < 0.01	1.00E00
leukocyte migration (GO:0050900)	9	0	.25	-	 < 0.01	1.00E00
protein insertion into mitochondrial inner membrane (GO:0045039)	3	0	.08	-	 < 0.01	1.00E00
regulation of mononuclear cell proliferation (GO:0032944)	5	0	.14	-	 < 0.01	1.00E00
mononuclear cell proliferation (GO:0032943)	1	0	.03	-	 < 0.01	1.00E00
NADP metabolic process (GO:0006739)	4	0	.11	-	 < 0.01	1.00E00
regulation of sodium ion transport (GO:0002028)	20	0	.55	-	 < 0.01	1.00E00
glycerophospholipid catabolic process (GO:0046475)	8	0	.22	-	 < 0.01	1.00E00
SREBP signaling pathway (GO:0032933)	6	0	.17	-	 < 0.01	1.00E00
early endosome to late endosome transport (GO:0045022)	4	0	.11	-	 < 0.01	1.00E00
terpenoid metabolic process (GO:0006721)	9	0	.25	-	 < 0.01	1.00E00
isoprenoid metabolic process (GO:0006720)	17	0	.47	-	 < 0.01	1.00E00
lymphocyte migration (GO:0072676)	3	0	.08	-	 < 0.01	1.00E00
monosaccharide metabolic process (GO:0005996)	27	0	.74	-	 < 0.01	1.00E00
regulation of postsynaptic membrane potential (GO:0060078)	11	0	.30	-	 < 0.01	1.00E00
acylglycerol catabolic process (GO:0046464)	9	0	.25	-	 < 0.01	1.00E00
cellular response to lipopolysaccharide (GO:0071222)	9	0	.25	-	 < 0.01	1.00E00
neutral lipid catabolic process (GO:0046461)	9	0	.25	-	 < 0.01	1.00E00
activin receptor signaling pathway (GO:0032924)	3	0	.08	-	 < 0.01	1.00E00
circadian regulation of gene expression (GO:0032922)	20	0	.55	-	 < 0.01	1.00E00
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	11	0	.30	-	 < 0.01	1.00E00
positive regulation of DNA-binding transcription factor activity (GO:0051091)	17	0	.47	-	 < 0.01	1.00E00
regulation of DNA-binding transcription factor activity (GO:0051090)	25	0	.69	-	 < 0.01	1.00E00
morphogenesis of an epithelium (GO:0002009)	13	0	.36	-	 < 0.01	1.00E00
establishment of protein localization to vacuole (GO:0072666)	24	0	.66	-	 < 0.01	1.00E00
autophagosome maturation (GO:0097352)	7	0	.19	-	 < 0.01	1.00E00
protein localization to vacuole (GO:0072665)	26	0	.72	-	 < 0.01	1.00E00
leukocyte activation involved in immune response (GO:0002366)	3	0	.08	-	 < 0.01	1.00E00
TORC2 signaling (GO:0038203)	4	0	.11	-	 < 0.01	1.00E00
cellular response to molecule of bacterial origin (GO:0071219)	9	0	.25	-	 < 0.01	1.00E00
TORC1 signaling (GO:0038202)	1	0	.03	-	 < 0.01	1.00E00
icosanoid biosynthetic process (GO:0046456)	7	0	.19	-	 < 0.01	1.00E00
cellular response to biotic stimulus (GO:0071216)	9	0	.25	-	 < 0.01	1.00E00
positive regulation of cell cycle G1/S phase transition (GO:1902808)	8	0	.22	-	 < 0.01	1.00E00
leucine biosynthetic process (GO:0009098)	1	0	.03	-	 < 0.01	1.00E00
regulation of cell cycle G1/S phase transition (GO:1902806)	18	0	.50	-	 < 0.01	1.00E00
chaperone cofactor-dependent protein refolding (GO:0051085)	6	0	.17	-	 < 0.01	1.00E00
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	12	0	.33	-	 < 0.01	1.00E00
establishment of protein localization to mitochondrion (GO:0072655)	19	0	.52	-	 < 0.01	1.00E00
sulfur compound catabolic process (GO:0044273)	7	0	.19	-	 < 0.01	1.00E00
glycogen biosynthetic process (GO:0005978)	2	0	.06	-	 < 0.01	1.00E00
vesicle cytoskeletal trafficking (GO:0099518)	16	0	.44	-	 < 0.01	1.00E00
glycogen metabolic process (GO:0005977)	6	0	.17	-	 < 0.01	1.00E00
lysine biosynthetic process (GO:0009085)	1	0	.03	-	 < 0.01	1.00E00
branched-chain amino acid biosynthetic process (GO:0009082)	2	0	.06	-	 < 0.01	1.00E00
branched-chain amino acid metabolic process (GO:0009081)	9	0	.25	-	 < 0.01	1.00E00
rRNA base methylation (GO:0070475)	5	0	.14	-	 < 0.01	1.00E00
ncRNA transcription (GO:0098781)	14	0	.39	-	 < 0.01	1.00E00
receptor signaling pathway via STAT (GO:0097696)	8	0	.22	-	 < 0.01	1.00E00
cardiac muscle contraction (GO:0060048)	15	0	.41	-	 < 0.01	1.00E00
heart contraction (GO:0060047)	19	0	.52	-	 < 0.01	1.00E00
vesicle fusion to plasma membrane (GO:0099500)	6	0	.17	-	 < 0.01	1.00E00
retina development in camera-type eye (GO:0060041)	1	0	.03	-	 < 0.01	1.00E00
multicellular organismal reproductive process (GO:0048609)	29	0	.80	-	 < 0.01	1.00E00
reproductive structure development (GO:0048608)	2	0	.06	-	 < 0.01	1.00E00
aromatic amino acid family catabolic process (GO:0009074)	9	0	.25	-	 < 0.01	1.00E00
aromatic amino acid metabolic process (GO:0009072)	12	0	.33	-	 < 0.01	1.00E00
MAPK cascade (GO:0000165)	19	0	.52	-	 < 0.01	1.00E00
negative regulation of leukocyte activation (GO:0002695)	6	0	.17	-	 < 0.01	1.00E00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	10	0	.28	-	 < 0.01	1.00E00
aspartate family amino acid biosynthetic process (GO:0009067)	8	0	.22	-	 < 0.01	1.00E00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	11	0	.30	-	 < 0.01	1.00E00
aerobic respiration (GO:0009060)	28	0	.77	-	 < 0.01	1.00E00
intraciliary transport (GO:0042073)	18	0	.50	-	 < 0.01	1.00E00
rRNA modification (GO:0000154)	17	0	.47	-	 < 0.01	1.00E00
protein O-linked mannosylation (GO:0035269)	5	0	.14	-	 < 0.01	1.00E00
protein mannosylation (GO:0035268)	8	0	.22	-	 < 0.01	1.00E00
cytoskeleton-dependent intracellular transport (GO:0030705)	57	0	1.57	-	 < 0.01	4.10E-01
positive regulation of secretion (GO:0051047)	7	0	.19	-	 < 0.01	1.00E00
regulation of monoatomic cation transmembrane transport (GO:1904062)	45	0	1.24	-	 < 0.01	6.37E-01
detoxification (GO:0098754)	6	0	.17	-	 < 0.01	1.00E00
late endosome to vacuole transport (GO:0045324)	27	0	.74	-	 < 0.01	1.00E00
protein localization to lysosome (GO:0061462)	6	0	.17	-	 < 0.01	1.00E00
stress fiber assembly (GO:0043149)	5	0	.14	-	 < 0.01	1.00E00
negative regulation of phosphorus metabolic process (GO:0010563)	37	0	1.02	-	 < 0.01	6.27E-01
neuron projection extension (GO:1990138)	5	0	.14	-	 < 0.01	1.00E00
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	11	0	.30	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1	0	.03	-	 < 0.01	1.00E00
reproductive system development (GO:0061458)	2	0	.06	-	 < 0.01	1.00E00
establishment of mitotic spindle orientation (GO:0000132)	9	0	.25	-	 < 0.01	1.00E00
mRNA transport (GO:0051028)	28	0	.77	-	 < 0.01	1.00E00
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	8	0	.22	-	 < 0.01	1.00E00
phospholipid catabolic process (GO:0009395)	12	0	.33	-	 < 0.01	1.00E00
kinetochore organization (GO:0051383)	8	0	.22	-	 < 0.01	1.00E00
kinetochore assembly (GO:0051382)	6	0	.17	-	 < 0.01	1.00E00
regulation of neuron differentiation (GO:0045664)	9	0	.25	-	 < 0.01	1.00E00
vasculogenesis (GO:0001570)	4	0	.11	-	 < 0.01	1.00E00
exocytic process (GO:0140029)	13	0	.36	-	 < 0.01	1.00E00
negative regulation of transcription by RNA polymerase II (GO:0000122)	112	0	3.08	-	 < 0.01	7.81E-02
establishment of protein localization to extracellular region (GO:0035592)	19	0	.52	-	 < 0.01	1.00E00
negative regulation of canonical NF-kappaB signal transduction (GO:0043124)	5	0	.14	-	 < 0.01	1.00E00
positive regulation of canonical NF-kappaB signal transduction (GO:0043123)	22	0	.61	-	 < 0.01	1.00E00
actin filament bundle assembly (GO:0051017)	21	0	.58	-	 < 0.01	1.00E00
regulation of canonical NF-kappaB signal transduction (GO:0043122)	31	0	.85	-	 < 0.01	1.00E00
barbed-end actin filament capping (GO:0051016)	17	0	.47	-	 < 0.01	1.00E00
