




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	for.delta_af.windows.1percent.genenames.txt (Gallus gallus)
Reference List:	background_genes.fst.txt (Gallus gallus)
Test Type:	FISHER
Correction:	NONE
PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	for.delta_af.windows.1percent.genenames.txt (262)	for.delta_af.windows.1percent.genenames.txt (expected)	for.delta_af.windows.1percent.genenames.txt (over/under)	for.delta_af.windows.1percent.genenames.txt (fold Enrichment)	for.delta_af.windows.1percent.genenames.txt (raw P-value)
iron-sulfur cluster assembly (GO:0016226)	9	0	.20	-	 < 0.01	1.00E00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	5	0	.11	-	 < 0.01	1.00E00
negative regulation of blood coagulation (GO:0030195)	4	0	.09	-	 < 0.01	1.00E00
canonical NF-kappaB signal transduction (GO:0007249)	3	0	.07	-	 < 0.01	1.00E00
positive regulation of TOR signaling (GO:0032008)	15	0	.33	-	 < 0.01	1.00E00
negative regulation of TOR signaling (GO:0032007)	10	0	.22	-	 < 0.01	1.00E00
non-motile cilium assembly (GO:1905515)	14	0	.31	-	 < 0.01	1.00E00
regulation of TOR signaling (GO:0032006)	28	0	.62	-	 < 0.01	1.00E00
intracellular sterol transport (GO:0032366)	3	0	.07	-	 < 0.01	1.00E00
intracellular lipid transport (GO:0032365)	5	0	.11	-	 < 0.01	1.00E00
positive regulation of cell cycle process (GO:0090068)	25	0	.55	-	 < 0.01	1.00E00
response to light stimulus (GO:0009416)	24	0	.53	-	 < 0.01	1.00E00
neuron apoptotic process (GO:0051402)	4	0	.09	-	 < 0.01	1.00E00
response to UV (GO:0009411)	7	0	.15	-	 < 0.01	1.00E00
purine nucleoside catabolic process (GO:0006152)	3	0	.07	-	 < 0.01	1.00E00
regulation of cell-matrix adhesion (GO:0001952)	4	0	.09	-	 < 0.01	1.00E00
positive regulation of epithelial cell proliferation (GO:0050679)	7	0	.15	-	 < 0.01	1.00E00
protein deubiquitination (GO:0016579)	55	0	1.21	-	 < 0.01	6.35E-01
tRNA 3'-end processing (GO:0042780)	1	0	.02	-	 < 0.01	1.00E00
epithelial cell proliferation (GO:0050673)	1	0	.02	-	 < 0.01	1.00E00
regulation of lymphocyte proliferation (GO:0050670)	5	0	.11	-	 < 0.01	1.00E00
B cell differentiation (GO:0030183)	4	0	.09	-	 < 0.01	1.00E00
cellular component assembly involved in morphogenesis (GO:0010927)	25	0	.55	-	 < 0.01	1.00E00
developmental pigmentation (GO:0048066)	6	0	.13	-	 < 0.01	1.00E00
response to cold (GO:0009409)	1	0	.02	-	 < 0.01	1.00E00
response to heat (GO:0009408)	11	0	.24	-	 < 0.01	1.00E00
regulation of phosphatase activity (GO:0010921)	6	0	.13	-	 < 0.01	1.00E00
neural crest cell differentiation (GO:0014033)	29	0	.64	-	 < 0.01	1.00E00
neural crest cell development (GO:0014032)	29	0	.64	-	 < 0.01	1.00E00
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6	0	.13	-	 < 0.01	1.00E00
ATP synthesis coupled electron transport (GO:0042773)	6	0	.13	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	3	0	.07	-	 < 0.01	1.00E00
signal transduction in response to DNA damage (GO:0042770)	20	0	.44	-	 < 0.01	1.00E00
smoothened signaling pathway (GO:0007224)	18	0	.40	-	 < 0.01	1.00E00
digestion (GO:0007586)	2	0	.04	-	 < 0.01	1.00E00
cellular response to topologically incorrect protein (GO:0035967)	26	0	.57	-	 < 0.01	1.00E00
response to topologically incorrect protein (GO:0035966)	26	0	.57	-	 < 0.01	1.00E00
endothelial cell proliferation (GO:0001935)	1	0	.02	-	 < 0.01	1.00E00
RNA transport (GO:0050658)	37	0	.82	-	 < 0.01	1.00E00
nucleic acid transport (GO:0050657)	37	0	.82	-	 < 0.01	1.00E00
platelet activation (GO:0030168)	6	0	.13	-	 < 0.01	1.00E00
protein import into peroxisome matrix (GO:0016558)	11	0	.24	-	 < 0.01	1.00E00
proteoglycan biosynthetic process (GO:0030166)	24	0	.53	-	 < 0.01	1.00E00
isoprenoid catabolic process (GO:0008300)	4	0	.09	-	 < 0.01	1.00E00
mRNA modification (GO:0016556)	8	0	.18	-	 < 0.01	1.00E00
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	11	0	.24	-	 < 0.01	1.00E00
neuropeptide signaling pathway (GO:0007218)	31	0	.68	-	 < 0.01	1.00E00
regulation of proteolysis (GO:0030162)	76	0	1.67	-	 < 0.01	4.18E-01
glutamate receptor signaling pathway (GO:0007215)	10	0	.22	-	 < 0.01	1.00E00
dopamine receptor signaling pathway (GO:0007212)	6	0	.13	-	 < 0.01	1.00E00
response to glucose (GO:0009749)	4	0	.09	-	 < 0.01	1.00E00
protein N-linked glycosylation (GO:0006487)	35	0	.77	-	 < 0.01	1.00E00
protein localization to nucleus (GO:0034504)	42	0	.93	-	 < 0.01	1.00E00
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	1	0	.02	-	 < 0.01	1.00E00
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	3	0	.07	-	 < 0.01	1.00E00
protein localization to kinetochore (GO:0034501)	5	0	.11	-	 < 0.01	1.00E00
regulation of circadian rhythm (GO:0042752)	8	0	.18	-	 < 0.01	1.00E00
amino acid biosynthetic process (GO:0008652)	22	0	.48	-	 < 0.01	1.00E00
protein import into mitochondrial matrix (GO:0030150)	9	0	.20	-	 < 0.01	1.00E00
alanine transport (GO:0032328)	3	0	.07	-	 < 0.01	1.00E00
positive regulation of cytosolic calcium ion concentration (GO:0007204)	18	0	.40	-	 < 0.01	1.00E00
oxidative phosphorylation (GO:0006119)	6	0	.13	-	 < 0.01	1.00E00
energy reserve metabolic process (GO:0006112)	6	0	.13	-	 < 0.01	1.00E00
protein acetylation (GO:0006473)	6	0	.13	-	 < 0.01	1.00E00
regulation of leukocyte mediated cytotoxicity (GO:0001910)	2	0	.04	-	 < 0.01	1.00E00
sphingolipid catabolic process (GO:0030149)	11	0	.24	-	 < 0.01	1.00E00
defense response to bacterium (GO:0042742)	5	0	.11	-	 < 0.01	1.00E00
sphingolipid biosynthetic process (GO:0030148)	39	0	.86	-	 < 0.01	1.00E00
carbohydrate transport (GO:0008643)	9	0	.20	-	 < 0.01	1.00E00
signal peptide processing (GO:0006465)	4	0	.09	-	 < 0.01	1.00E00
sister chromatid segregation (GO:0000819)	41	0	.90	-	 < 0.01	1.00E00
apoptotic mitochondrial changes (GO:0008637)	10	0	.22	-	 < 0.01	1.00E00
proteinogenic amino acid metabolic process (GO:0170039)	38	0	.84	-	 < 0.01	1.00E00
proteinogenic amino acid biosynthetic process (GO:0170038)	20	0	.44	-	 < 0.01	1.00E00
negative regulation of angiogenesis (GO:0016525)	8	0	.18	-	 < 0.01	1.00E00
detection of mechanical stimulus (GO:0050982)	8	0	.18	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	12	0	.26	-	 < 0.01	1.00E00
L-amino acid biosynthetic process (GO:0170034)	20	0	.44	-	 < 0.01	1.00E00
L-amino acid metabolic process (GO:0170033)	47	0	1.04	-	 < 0.01	6.28E-01
negative regulation of chromosome separation (GO:1905819)	9	0	.20	-	 < 0.01	1.00E00
sex differentiation (GO:0007548)	4	0	.09	-	 < 0.01	1.00E00
regulation of chromosome separation (GO:1905818)	15	0	.33	-	 < 0.01	1.00E00
maturation of SSU-rRNA (GO:0030490)	27	0	.59	-	 < 0.01	1.00E00
'de novo' protein folding (GO:0006458)	8	0	.18	-	 < 0.01	1.00E00
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	9	0	.20	-	 < 0.01	1.00E00
biological process involved in interaction with host (GO:0051701)	1	0	.02	-	 < 0.01	1.00E00
RNA decapping (GO:0110154)	8	0	.18	-	 < 0.01	1.00E00
biomineral tissue development (GO:0031214)	4	0	.09	-	 < 0.01	1.00E00
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	4	0	.09	-	 < 0.01	1.00E00
DNA integrity checkpoint signaling (GO:0031570)	23	0	.51	-	 < 0.01	1.00E00
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	3	0	.07	-	 < 0.01	1.00E00
tRNA methylation (GO:0030488)	18	0	.40	-	 < 0.01	1.00E00
insulin-like growth factor receptor signaling pathway (GO:0048009)	5	0	.11	-	 < 0.01	1.00E00
regulation of translational initiation (GO:0006446)	10	0	.22	-	 < 0.01	1.00E00
nucleotide-sugar transmembrane transport (GO:0015780)	6	0	.13	-	 < 0.01	1.00E00
post-translational protein targeting to membrane, translocation (GO:0031204)	5	0	.11	-	 < 0.01	1.00E00
tRNA wobble uridine modification (GO:0002098)	7	0	.15	-	 < 0.01	1.00E00
neuromuscular junction development (GO:0007528)	9	0	.20	-	 < 0.01	1.00E00
negative regulation of intracellular signal transduction (GO:1902532)	57	0	1.26	-	 < 0.01	6.39E-01
attachment of spindle microtubules to kinetochore (GO:0008608)	7	0	.15	-	 < 0.01	1.00E00
sulfur compound metabolic process (GO:0006790)	71	0	1.56	-	 < 0.01	4.10E-01
lens development in camera-type eye (GO:0002088)	16	0	.35	-	 < 0.01	1.00E00
organelle transport along microtubule (GO:0072384)	25	0	.55	-	 < 0.01	1.00E00
sensory perception of mechanical stimulus (GO:0050954)	11	0	.24	-	 < 0.01	1.00E00
regulation of endocytosis (GO:0030100)	19	0	.42	-	 < 0.01	1.00E00
positive regulation of innate immune response (GO:0045089)	19	0	.42	-	 < 0.01	1.00E00
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	17	0	.37	-	 < 0.01	1.00E00
negative regulation of proteasomal protein catabolic process (GO:1901799)	5	0	.11	-	 < 0.01	1.00E00
heme biosynthetic process (GO:0006783)	5	0	.11	-	 < 0.01	1.00E00
protein activation cascade (GO:0072376)	5	0	.11	-	 < 0.01	1.00E00
alcohol biosynthetic process (GO:0046165)	31	0	.68	-	 < 0.01	1.00E00
protein-containing complex disassembly (GO:0032984)	41	0	.90	-	 < 0.01	1.00E00
regulation of translation (GO:0006417)	46	0	1.01	-	 < 0.01	6.27E-01
mitochondrial respiratory chain complex I assembly (GO:0032981)	6	0	.13	-	 < 0.01	1.00E00
mesoderm morphogenesis (GO:0048332)	7	0	.15	-	 < 0.01	1.00E00
porphyrin-containing compound metabolic process (GO:0006778)	10	0	.22	-	 < 0.01	1.00E00
translational termination (GO:0006415)	3	0	.07	-	 < 0.01	1.00E00
translational elongation (GO:0006414)	20	0	.44	-	 < 0.01	1.00E00
chromosome organization involved in meiotic cell cycle (GO:0070192)	11	0	.24	-	 < 0.01	1.00E00
organophosphate ester transport (GO:0015748)	46	0	1.01	-	 < 0.01	6.27E-01
citrate transport (GO:0015746)	4	0	.09	-	 < 0.01	1.00E00
succinate transport (GO:0015744)	3	0	.07	-	 < 0.01	1.00E00
mRNA export from nucleus (GO:0006406)	26	0	.57	-	 < 0.01	1.00E00
RNA export from nucleus (GO:0006405)	32	0	.71	-	 < 0.01	1.00E00
RNA localization (GO:0006403)	40	0	.88	-	 < 0.01	1.00E00
tRNA modification (GO:0006400)	38	0	.84	-	 < 0.01	1.00E00
folic acid-containing compound metabolic process (GO:0006760)	10	0	.22	-	 < 0.01	1.00E00
pigment biosynthetic process (GO:0046148)	10	0	.22	-	 < 0.01	1.00E00
positive regulation of chemotaxis (GO:0050921)	8	0	.18	-	 < 0.01	1.00E00
regulation of chemotaxis (GO:0050920)	8	0	.18	-	 < 0.01	1.00E00
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	7	0	.15	-	 < 0.01	1.00E00
mitotic spindle assembly (GO:0090307)	13	0	.29	-	 < 0.01	1.00E00
regulated exocytosis (GO:0045055)	30	0	.66	-	 < 0.01	1.00E00
axon extension (GO:0048675)	2	0	.04	-	 < 0.01	1.00E00
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	37	0	.82	-	 < 0.01	1.00E00
regulation of membrane lipid distribution (GO:0097035)	25	0	.55	-	 < 0.01	1.00E00
positive chemotaxis (GO:0050918)	2	0	.04	-	 < 0.01	1.00E00
regulation of transmembrane transporter activity (GO:0022898)	40	0	.88	-	 < 0.01	1.00E00
sensory perception of bitter taste (GO:0050913)	1	0	.02	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1	0	.02	-	 < 0.01	1.00E00
chemical synaptic transmission, postsynaptic (GO:0099565)	4	0	.09	-	 < 0.01	1.00E00
siRNA processing (GO:0030422)	1	0	.02	-	 < 0.01	1.00E00
nicotinamide nucleotide metabolic process (GO:0046496)	30	0	.66	-	 < 0.01	1.00E00
sprouting angiogenesis (GO:0002040)	8	0	.18	-	 < 0.01	1.00E00
synaptic membrane adhesion (GO:0099560)	5	0	.11	-	 < 0.01	1.00E00
protein insertion into ER membrane (GO:0045048)	3	0	.07	-	 < 0.01	1.00E00
protein targeting to ER (GO:0045047)	12	0	.26	-	 < 0.01	1.00E00
glutathione metabolic process (GO:0006749)	14	0	.31	-	 < 0.01	1.00E00
bile acid and bile salt transport (GO:0015721)	5	0	.11	-	 < 0.01	1.00E00
ubiquinone biosynthetic process (GO:0006744)	5	0	.11	-	 < 0.01	1.00E00
sensory perception of taste (GO:0050909)	2	0	.04	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception (GO:0050907)	2	0	.04	-	 < 0.01	1.00E00
detection of stimulus involved in sensory perception (GO:0050906)	6	0	.13	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	4	0	.09	-	 < 0.01	1.00E00
signal transduction by p53 class mediator (GO:0072331)	5	0	.11	-	 < 0.01	1.00E00
monocarboxylic acid biosynthetic process (GO:0072330)	27	0	.59	-	 < 0.01	1.00E00
leukocyte migration (GO:0050900)	9	0	.20	-	 < 0.01	1.00E00
monocarboxylic acid transport (GO:0015718)	34	0	.75	-	 < 0.01	1.00E00
protein insertion into mitochondrial inner membrane (GO:0045039)	3	0	.07	-	 < 0.01	1.00E00
regulation of mononuclear cell proliferation (GO:0032944)	5	0	.11	-	 < 0.01	1.00E00
mononuclear cell proliferation (GO:0032943)	1	0	.02	-	 < 0.01	1.00E00
NADP metabolic process (GO:0006739)	4	0	.09	-	 < 0.01	1.00E00
monocarboxylic acid catabolic process (GO:0072329)	33	0	.73	-	 < 0.01	1.00E00
regulation of sodium ion transport (GO:0002028)	20	0	.44	-	 < 0.01	1.00E00
glycerophospholipid catabolic process (GO:0046475)	8	0	.18	-	 < 0.01	1.00E00
phosphatidylcholine metabolic process (GO:0046470)	7	0	.15	-	 < 0.01	1.00E00
SREBP signaling pathway (GO:0032933)	6	0	.13	-	 < 0.01	1.00E00
anatomical structure formation involved in morphogenesis (GO:0048646)	83	0	1.83	-	 < 0.01	2.67E-01
early endosome to late endosome transport (GO:0045022)	4	0	.09	-	 < 0.01	1.00E00
lymphocyte migration (GO:0072676)	3	0	.07	-	 < 0.01	1.00E00
monosaccharide metabolic process (GO:0005996)	27	0	.59	-	 < 0.01	1.00E00
regulation of postsynaptic membrane potential (GO:0060078)	11	0	.24	-	 < 0.01	1.00E00
acylglycerol catabolic process (GO:0046464)	9	0	.20	-	 < 0.01	1.00E00
cellular response to lipopolysaccharide (GO:0071222)	9	0	.20	-	 < 0.01	1.00E00
neutral lipid catabolic process (GO:0046461)	9	0	.20	-	 < 0.01	1.00E00
activin receptor signaling pathway (GO:0032924)	3	0	.07	-	 < 0.01	1.00E00
circadian regulation of gene expression (GO:0032922)	20	0	.44	-	 < 0.01	1.00E00
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	11	0	.24	-	 < 0.01	1.00E00
positive regulation of DNA-binding transcription factor activity (GO:0051091)	17	0	.37	-	 < 0.01	1.00E00
regulation of DNA-binding transcription factor activity (GO:0051090)	25	0	.55	-	 < 0.01	1.00E00
morphogenesis of an epithelium (GO:0002009)	13	0	.29	-	 < 0.01	1.00E00
autophagosome maturation (GO:0097352)	7	0	.15	-	 < 0.01	1.00E00
small molecule biosynthetic process (GO:0044283)	106	0	2.34	-	 < 0.01	1.78E-01
small molecule catabolic process (GO:0044282)	83	0	1.83	-	 < 0.01	2.67E-01
leukocyte activation involved in immune response (GO:0002366)	3	0	.07	-	 < 0.01	1.00E00
TORC2 signaling (GO:0038203)	4	0	.09	-	 < 0.01	1.00E00
cellular response to molecule of bacterial origin (GO:0071219)	9	0	.20	-	 < 0.01	1.00E00
TORC1 signaling (GO:0038202)	1	0	.02	-	 < 0.01	1.00E00
icosanoid biosynthetic process (GO:0046456)	7	0	.15	-	 < 0.01	1.00E00
cellular response to biotic stimulus (GO:0071216)	9	0	.20	-	 < 0.01	1.00E00
positive regulation of cell cycle G1/S phase transition (GO:1902808)	8	0	.18	-	 < 0.01	1.00E00
leucine biosynthetic process (GO:0009098)	1	0	.02	-	 < 0.01	1.00E00
chaperone cofactor-dependent protein refolding (GO:0051085)	6	0	.13	-	 < 0.01	1.00E00
response to oxygen levels (GO:0070482)	17	0	.37	-	 < 0.01	1.00E00
protein localization to plasma membrane (GO:0072659)	45	0	.99	-	 < 0.01	6.27E-01
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	12	0	.26	-	 < 0.01	1.00E00
establishment of protein localization to mitochondrion (GO:0072655)	19	0	.42	-	 < 0.01	1.00E00
sulfur compound catabolic process (GO:0044273)	7	0	.15	-	 < 0.01	1.00E00
glycogen biosynthetic process (GO:0005978)	2	0	.04	-	 < 0.01	1.00E00
vesicle cytoskeletal trafficking (GO:0099518)	16	0	.35	-	 < 0.01	1.00E00
glycogen metabolic process (GO:0005977)	6	0	.13	-	 < 0.01	1.00E00
polysaccharide metabolic process (GO:0005976)	13	0	.29	-	 < 0.01	1.00E00
carbohydrate metabolic process (GO:0005975)	78	0	1.72	-	 < 0.01	4.21E-01
tube development (GO:0035295)	40	0	.88	-	 < 0.01	1.00E00
response to organonitrogen compound (GO:0010243)	86	0	1.90	-	 < 0.01	2.68E-01
lysine biosynthetic process (GO:0009085)	1	0	.02	-	 < 0.01	1.00E00
cellular response to transforming growth factor beta stimulus (GO:0071560)	20	0	.44	-	 < 0.01	1.00E00
branched-chain amino acid biosynthetic process (GO:0009082)	2	0	.04	-	 < 0.01	1.00E00
branched-chain amino acid metabolic process (GO:0009081)	9	0	.20	-	 < 0.01	1.00E00
rRNA base methylation (GO:0070475)	5	0	.11	-	 < 0.01	1.00E00
ncRNA transcription (GO:0098781)	14	0	.31	-	 < 0.01	1.00E00
regulation of proteasomal protein catabolic process (GO:0061136)	30	0	.66	-	 < 0.01	1.00E00
receptor signaling pathway via STAT (GO:0097696)	8	0	.18	-	 < 0.01	1.00E00
cardiac muscle contraction (GO:0060048)	15	0	.33	-	 < 0.01	1.00E00
heart contraction (GO:0060047)	19	0	.42	-	 < 0.01	1.00E00
response to transforming growth factor beta (GO:0071559)	20	0	.44	-	 < 0.01	1.00E00
vesicle fusion to plasma membrane (GO:0099500)	6	0	.13	-	 < 0.01	1.00E00
retina development in camera-type eye (GO:0060041)	1	0	.02	-	 < 0.01	1.00E00
multicellular organismal reproductive process (GO:0048609)	29	0	.64	-	 < 0.01	1.00E00
cellular response to amino acid starvation (GO:0034198)	9	0	.20	-	 < 0.01	1.00E00
reproductive structure development (GO:0048608)	2	0	.04	-	 < 0.01	1.00E00
aromatic amino acid family catabolic process (GO:0009074)	9	0	.20	-	 < 0.01	1.00E00
aromatic amino acid metabolic process (GO:0009072)	12	0	.26	-	 < 0.01	1.00E00
MAPK cascade (GO:0000165)	19	0	.42	-	 < 0.01	1.00E00
positive regulation of leukocyte activation (GO:0002696)	5	0	.11	-	 < 0.01	1.00E00
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	2	0	.04	-	 < 0.01	1.00E00
negative regulation of leukocyte activation (GO:0002695)	6	0	.13	-	 < 0.01	1.00E00
regulation of leukocyte activation (GO:0002694)	11	0	.24	-	 < 0.01	1.00E00
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	6	0	.13	-	 < 0.01	1.00E00
microtubule polymerization (GO:0046785)	19	0	.42	-	 < 0.01	1.00E00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	10	0	.22	-	 < 0.01	1.00E00
positive regulation of leukocyte chemotaxis (GO:0002690)	8	0	.18	-	 < 0.01	1.00E00
aspartate family amino acid biosynthetic process (GO:0009067)	8	0	.18	-	 < 0.01	1.00E00
aspartate family amino acid metabolic process (GO:0009066)	12	0	.26	-	 < 0.01	1.00E00
negative regulation of DNA metabolic process (GO:0051053)	13	0	.29	-	 < 0.01	1.00E00
amino acid catabolic process (GO:0009063)	31	0	.68	-	 < 0.01	1.00E00
regulation of DNA metabolic process (GO:0051052)	34	0	.75	-	 < 0.01	1.00E00
fatty acid catabolic process (GO:0009062)	30	0	.66	-	 < 0.01	1.00E00
negative regulation of transport (GO:0051051)	30	0	.66	-	 < 0.01	1.00E00
positive regulation of transport (GO:0051050)	36	0	.79	-	 < 0.01	1.00E00
aerobic respiration (GO:0009060)	28	0	.62	-	 < 0.01	1.00E00
phospholipid translocation (GO:0045332)	21	0	.46	-	 < 0.01	1.00E00
rRNA modification (GO:0000154)	17	0	.37	-	 < 0.01	1.00E00
protein O-linked mannosylation (GO:0035269)	5	0	.11	-	 < 0.01	1.00E00
cellular lipid catabolic process (GO:0044242)	61	0	1.34	-	 < 0.01	6.46E-01
protein mannosylation (GO:0035268)	8	0	.18	-	 < 0.01	1.00E00
positive regulation of leukocyte migration (GO:0002687)	12	0	.26	-	 < 0.01	1.00E00
regulation of leukocyte migration (GO:0002685)	15	0	.33	-	 < 0.01	1.00E00
regulation of transport (GO:0051049)	160	0	3.53	-	 < 0.01	5.29E-02
DNA biosynthetic process (GO:0071897)	19	0	.42	-	 < 0.01	1.00E00
positive regulation of secretion (GO:0051047)	7	0	.15	-	 < 0.01	1.00E00
regulation of secretion (GO:0051046)	43	0	.95	-	 < 0.01	1.00E00
regulation of monoatomic cation transmembrane transport (GO:1904062)	45	0	.99	-	 < 0.01	6.27E-01
detoxification (GO:0098754)	6	0	.13	-	 < 0.01	1.00E00
late endosome to vacuole transport (GO:0045324)	27	0	.59	-	 < 0.01	1.00E00
gliogenesis (GO:0042063)	16	0	.35	-	 < 0.01	1.00E00
leukocyte activation (GO:0045321)	18	0	.40	-	 < 0.01	1.00E00
protein localization to lysosome (GO:0061462)	6	0	.13	-	 < 0.01	1.00E00
stress fiber assembly (GO:0043149)	5	0	.11	-	 < 0.01	1.00E00
regulation of double-strand break repair via homologous recombination (GO:0010569)	6	0	.13	-	 < 0.01	1.00E00
intracellular signaling cassette (GO:0141124)	152	0	3.35	-	 < 0.01	8.42E-02
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	11	0	.24	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1	0	.02	-	 < 0.01	1.00E00
reproductive system development (GO:0061458)	2	0	.04	-	 < 0.01	1.00E00
establishment of mitotic spindle orientation (GO:0000132)	9	0	.20	-	 < 0.01	1.00E00
synaptic transmission, glutamatergic (GO:0035249)	17	0	.37	-	 < 0.01	1.00E00
mRNA transport (GO:0051028)	28	0	.62	-	 < 0.01	1.00E00
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	8	0	.18	-	 < 0.01	1.00E00
phospholipid catabolic process (GO:0009395)	12	0	.26	-	 < 0.01	1.00E00
fluid transport (GO:0042044)	7	0	.15	-	 < 0.01	1.00E00
regulation of neuron differentiation (GO:0045664)	9	0	.20	-	 < 0.01	1.00E00
vasculogenesis (GO:0001570)	4	0	.09	-	 < 0.01	1.00E00
exocytic process (GO:0140029)	13	0	.29	-	 < 0.01	1.00E00
negative regulation of transcription by RNA polymerase II (GO:0000122)	112	0	2.47	-	 < 0.01	1.83E-01
endosomal transport (GO:0016197)	98	0	2.16	-	 < 0.01	2.82E-01
tube morphogenesis (GO:0035239)	38	0	.84	-	 < 0.01	1.00E00
RNA stabilization (GO:0043489)	14	0	.31	-	 < 0.01	1.00E00
negative regulation of canonical NF-kappaB signal transduction (GO:0043124)	5	0	.11	-	 < 0.01	1.00E00
actin filament bundle assembly (GO:0051017)	21	0	.46	-	 < 0.01	1.00E00
barbed-end actin filament capping (GO:0051016)	17	0	.37	-	 < 0.01	1.00E00
toll-like receptor 4 signaling pathway (GO:0034142)	5	0	.11	-	 < 0.01	1.00E00
isoprenoid biosynthetic process (GO:0008299)	11	0	.24	-	 < 0.01	1.00E00
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	4	0	.09	-	 < 0.01	1.00E00
mitotic nuclear division (GO:0140014)	41	0	.90	-	 < 0.01	1.00E00
maturation of LSU-rRNA (GO:0000470)	17	0	.37	-	 < 0.01	1.00E00
snRNA processing (GO:0016180)	19	0	.42	-	 < 0.01	1.00E00
bone development (GO:0060348)	7	0	.15	-	 < 0.01	1.00E00
regulation of protein localization to membrane (GO:1905475)	10	0	.22	-	 < 0.01	1.00E00
regulation of cellular localization (GO:0060341)	47	0	1.04	-	 < 0.01	6.28E-01
pigmentation (GO:0043473)	13	0	.29	-	 < 0.01	1.00E00
negative regulation of mitotic sister chromatid segregation (GO:0033048)	9	0	.20	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid segregation (GO:0033047)	10	0	.22	-	 < 0.01	1.00E00
insulin receptor signaling pathway (GO:0008286)	7	0	.15	-	 < 0.01	1.00E00
negative regulation of sister chromatid segregation (GO:0033046)	9	0	.20	-	 < 0.01	1.00E00
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	7	0	.15	-	 < 0.01	1.00E00
negative regulation of cell population proliferation (GO:0008285)	14	0	.31	-	 < 0.01	1.00E00
regulation of sister chromatid segregation (GO:0033045)	19	0	.42	-	 < 0.01	1.00E00
cell population proliferation (GO:0008283)	7	0	.15	-	 < 0.01	1.00E00
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	11	0	.24	-	 < 0.01	1.00E00
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	17	0	.37	-	 < 0.01	1.00E00
triglyceride catabolic process (GO:0019433)	3	0	.07	-	 < 0.01	1.00E00
triglyceride biosynthetic process (GO:0019432)	10	0	.22	-	 < 0.01	1.00E00
maturation of 5.8S rRNA (GO:0000460)	15	0	.33	-	 < 0.01	1.00E00
secondary metabolite biosynthetic process (GO:0044550)	4	0	.09	-	 < 0.01	1.00E00
type I interferon-mediated signaling pathway (GO:0060337)	2	0	.04	-	 < 0.01	1.00E00
negative regulation of adenylate cyclase activity (GO:0007194)	2	0	.04	-	 < 0.01	1.00E00
protein palmitoylation (GO:0018345)	20	0	.44	-	 < 0.01	1.00E00
positive regulation of myeloid cell differentiation (GO:0045639)	4	0	.09	-	 < 0.01	1.00E00
regulation of myeloid cell differentiation (GO:0045637)	6	0	.13	-	 < 0.01	1.00E00
negative regulation of lyase activity (GO:0051350)	2	0	.04	-	 < 0.01	1.00E00
cell chemotaxis (GO:0060326)	16	0	.35	-	 < 0.01	1.00E00
regulation of phospholipase activity (GO:0010517)	1	0	.02	-	 < 0.01	1.00E00
head development (GO:0060322)	44	0	.97	-	 < 0.01	1.00E00
tricarboxylic acid cycle (GO:0006099)	16	0	.35	-	 < 0.01	1.00E00
