PANTHER GO-Slim Biological Process	background_genes.thetas.txt - REFLIST (11894)	(457)	(expected)	(over/under)	(fold Enrichment)	P-value
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	15	0	.58	-	 < 0.01	1.00E00
positive regulation of proteasomal protein catabolic process (GO:1901800)	17	0	.65	-	 < 0.01	1.00E00
lymphocyte mediated immunity (GO:0002449)	2	0	.08	-	 < 0.01	1.00E00
leukocyte mediated immunity (GO:0002443)	2	0	.08	-	 < 0.01	1.00E00
apoptotic cell clearance (GO:0043277)	4	0	.15	-	 < 0.01	1.00E00
oligodendrocyte differentiation (GO:0048709)	5	0	.19	-	 < 0.01	1.00E00
regulation of lipid biosynthetic process (GO:0046890)	7	0	.27	-	 < 0.01	1.00E00
endothelial cell differentiation (GO:0045446)	4	0	.15	-	 < 0.01	1.00E00
neutrophil migration (GO:1990266)	3	0	.12	-	 < 0.01	1.00E00
fat cell differentiation (GO:0045444)	2	0	.08	-	 < 0.01	1.00E00
axo-dendritic transport (GO:0008088)	16	0	.61	-	 < 0.01	1.00E00
regulation of establishment of protein localization (GO:0070201)	15	0	.58	-	 < 0.01	1.00E00
mitochondrial fission (GO:0000266)	8	0	.31	-	 < 0.01	1.00E00
synaptic vesicle recycling (GO:0036465)	28	0	1.08	-	 < 0.01	6.26E-01
positive regulation of hormone secretion (GO:0046887)	2	0	.08	-	 < 0.01	1.00E00
membrane invagination (GO:0010324)	11	0	.42	-	 < 0.01	1.00E00
regulation of peptide secretion (GO:0002791)	5	0	.19	-	 < 0.01	1.00E00
peptide secretion (GO:0002790)	3	0	.12	-	 < 0.01	1.00E00
regulation of hormone secretion (GO:0046883)	7	0	.27	-	 < 0.01	1.00E00
purine ribonucleoside monophosphate metabolic process (GO:0009167)	13	0	.50	-	 < 0.01	1.00E00
glucose 6-phosphate metabolic process (GO:0051156)	10	0	.38	-	 < 0.01	1.00E00
nucleoside catabolic process (GO:0009164)	8	0	.31	-	 < 0.01	1.00E00
ribonucleoside monophosphate metabolic process (GO:0009161)	14	0	.54	-	 < 0.01	1.00E00
response to interleukin-1 (GO:0070555)	2	0	.08	-	 < 0.01	1.00E00
cytokine-mediated signaling pathway (GO:0019221)	41	0	1.58	-	 < 0.01	4.08E-01
hormone secretion (GO:0046879)	3	0	.12	-	 < 0.01	1.00E00
mesenchyme development (GO:0060485)	31	0	1.19	-	 < 0.01	6.32E-01
striated muscle cell differentiation (GO:0051146)	33	0	1.27	-	 < 0.01	6.38E-01
purine ribonucleotide catabolic process (GO:0009154)	18	0	.69	-	 < 0.01	1.00E00
heme metabolic process (GO:0042168)	8	0	.31	-	 < 0.01	1.00E00
negative regulation of cell cycle (GO:0045786)	58	0	2.23	-	 < 0.01	1.74E-01
response to fatty acid (GO:0070542)	1	0	.04	-	 < 0.01	1.00E00
spliceosomal complex assembly (GO:0000245)	18	0	.69	-	 < 0.01	1.00E00
regulation of actin polymerization or depolymerization (GO:0008064)	43	0	1.65	-	 < 0.01	4.13E-01
regulation of lipid metabolic process (GO:0019216)	12	0	.46	-	 < 0.01	1.00E00
respiratory electron transport chain (GO:0022904)	13	0	.50	-	 < 0.01	1.00E00
electron transport chain (GO:0022900)	16	0	.61	-	 < 0.01	1.00E00
glycerolipid catabolic process (GO:0046503)	14	0	.54	-	 < 0.01	1.00E00
regulation of protein-containing complex disassembly (GO:0043244)	36	0	1.38	-	 < 0.01	4.03E-01
negative regulation of protein-containing complex disassembly (GO:0043242)	26	0	1.00	-	 < 0.01	6.24E-01
multivesicular body sorting pathway (GO:0071985)	24	0	.92	-	 < 0.01	1.00E00
nucleoside triphosphate catabolic process (GO:0009143)	5	0	.19	-	 < 0.01	1.00E00
negative regulation of cytoskeleton organization (GO:0051494)	33	0	1.27	-	 < 0.01	6.38E-01
chaperone-mediated protein complex assembly (GO:0051131)	4	0	.15	-	 < 0.01	1.00E00
regulation of stress fiber assembly (GO:0051492)	5	0	.19	-	 < 0.01	1.00E00
negative regulation of blood pressure (GO:0045776)	6	0	.23	-	 < 0.01	1.00E00
protein K63-linked ubiquitination (GO:0070534)	5	0	.19	-	 < 0.01	1.00E00
mitochondrial fusion (GO:0008053)	9	0	.35	-	 < 0.01	1.00E00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	6	0	.23	-	 < 0.01	1.00E00
negative regulation of cellular component organization (GO:0051129)	63	0	2.42	-	 < 0.01	1.78E-01
intracellular glucose homeostasis (GO:0001678)	6	0	.23	-	 < 0.01	1.00E00
nucleoside diphosphate catabolic process (GO:0009134)	22	0	.85	-	 < 0.01	1.00E00
RNA polymerase II preinitiation complex assembly (GO:0051123)	6	0	.23	-	 < 0.01	1.00E00
long-chain fatty acid metabolic process (GO:0001676)	10	0	.38	-	 < 0.01	1.00E00
nucleoside diphosphate metabolic process (GO:0009132)	25	0	.96	-	 < 0.01	6.24E-01
platelet aggregation (GO:0070527)	5	0	.19	-	 < 0.01	1.00E00
regulation of angiogenesis (GO:0045765)	21	0	.81	-	 < 0.01	1.00E00
regulation of cytosolic calcium ion concentration (GO:0051480)	17	0	.65	-	 < 0.01	1.00E00
vacuole fusion, non-autophagic (GO:0042144)	1	0	.04	-	 < 0.01	1.00E00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of adenylate cyclase activity (GO:0045762)	5	0	.19	-	 < 0.01	1.00E00
regulation of adenylate cyclase activity (GO:0045761)	7	0	.27	-	 < 0.01	1.00E00
regulation of sodium ion transmembrane transporter activity (GO:2000649)	13	0	.50	-	 < 0.01	1.00E00
motor neuron axon guidance (GO:0008045)	6	0	.23	-	 < 0.01	1.00E00
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	17	0	.65	-	 < 0.01	1.00E00
innate immune response-activating signaling pathway (GO:0002758)	12	0	.46	-	 < 0.01	1.00E00
peptidyl-tyrosine phosphorylation (GO:0018108)	6	0	.23	-	 < 0.01	1.00E00
peptidyl-threonine phosphorylation (GO:0018107)	17	0	.65	-	 < 0.01	1.00E00
peptidyl-tyrosine dephosphorylation (GO:0035335)	15	0	.58	-	 < 0.01	1.00E00
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	4	0	.15	-	 < 0.01	1.00E00
skin development (GO:0043588)	3	0	.12	-	 < 0.01	1.00E00
purine nucleoside monophosphate metabolic process (GO:0009126)	13	0	.50	-	 < 0.01	1.00E00
ear development (GO:0043583)	2	0	.08	-	 < 0.01	1.00E00
ameboidal-type cell migration (GO:0001667)	36	0	1.38	-	 < 0.01	4.03E-01
nucleoside monophosphate metabolic process (GO:0009123)	16	0	.61	-	 < 0.01	1.00E00
meiotic DNA double-strand break formation (GO:0042138)	3	0	.12	-	 < 0.01	1.00E00
regulation of transcription elongation by RNA polymerase II (GO:0034243)	9	0	.35	-	 < 0.01	1.00E00
cell recognition (GO:0008037)	14	0	.54	-	 < 0.01	1.00E00
negative regulation of T cell proliferation (GO:0042130)	2	0	.08	-	 < 0.01	1.00E00
V(D)J recombination (GO:0033151)	2	0	.08	-	 < 0.01	1.00E00
negative regulation of organelle organization (GO:0010639)	52	0	2.00	-	 < 0.01	2.68E-01
positive regulation of organelle organization (GO:0010638)	48	0	1.84	-	 < 0.01	2.64E-01
carbohydrate phosphorylation (GO:0046835)	6	0	.23	-	 < 0.01	1.00E00
nucleoside metabolic process (GO:0009116)	14	0	.54	-	 < 0.01	1.00E00
regulation of T cell proliferation (GO:0042129)	3	0	.12	-	 < 0.01	1.00E00
eye development (GO:0001654)	31	0	1.19	-	 < 0.01	6.32E-01
calcium ion import (GO:0070509)	11	0	.42	-	 < 0.01	1.00E00
regulation of cell population proliferation (GO:0042127)	98	0	3.77	-	 < 0.01	3.41E-02
cytochrome complex assembly (GO:0017004)	2	0	.08	-	 < 0.01	1.00E00
negative regulation of Notch signaling pathway (GO:0045746)	3	0	.12	-	 < 0.01	1.00E00
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	3	0	.12	-	 < 0.01	1.00E00
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	4	0	.15	-	 < 0.01	1.00E00
regulation of leukocyte cell-cell adhesion (GO:1903037)	6	0	.23	-	 < 0.01	1.00E00
sperm motility (GO:0097722)	1	0	.04	-	 < 0.01	1.00E00
response to external biotic stimulus (GO:0043207)	43	0	1.65	-	 < 0.01	4.13E-01
oligopeptide transmembrane transport (GO:0035672)	2	0	.08	-	 < 0.01	1.00E00
osteoblast differentiation (GO:0001649)	5	0	.19	-	 < 0.01	1.00E00
neutrophil activation (GO:0042119)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of DNA repair (GO:0045739)	9	0	.35	-	 < 0.01	1.00E00
piRNA processing (GO:0034587)	6	0	.23	-	 < 0.01	1.00E00
negative regulation of DNA repair (GO:0045738)	5	0	.19	-	 < 0.01	1.00E00
macrophage activation (GO:0042116)	1	0	.04	-	 < 0.01	1.00E00
odontogenesis (GO:0042476)	2	0	.08	-	 < 0.01	1.00E00
B cell activation (GO:0042113)	7	0	.27	-	 < 0.01	1.00E00
odontogenesis of dentin-containing tooth (GO:0042475)	2	0	.08	-	 < 0.01	1.00E00
positive regulation of protein catabolic process (GO:0045732)	24	0	.92	-	 < 0.01	1.00E00
regulation of heart contraction (GO:0008016)	20	0	.77	-	 < 0.01	1.00E00
blood circulation (GO:0008015)	39	0	1.50	-	 < 0.01	4.04E-01
T cell activation (GO:0042110)	7	0	.27	-	 < 0.01	1.00E00
inner ear morphogenesis (GO:0042472)	2	0	.08	-	 < 0.01	1.00E00
vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)	1	0	.04	-	 < 0.01	1.00E00
centriole elongation (GO:0061511)	1	0	.04	-	 < 0.01	1.00E00
antigen processing and presentation (GO:0019882)	3	0	.12	-	 < 0.01	1.00E00
sperm axoneme assembly (GO:0007288)	1	0	.04	-	 < 0.01	1.00E00
cardiolipin biosynthetic process (GO:0032049)	2	0	.08	-	 < 0.01	1.00E00
spermatid development (GO:0007286)	4	0	.15	-	 < 0.01	1.00E00
germ cell development (GO:0007281)	16	0	.61	-	 < 0.01	1.00E00
mitochondrial DNA metabolic process (GO:0032042)	4	0	.15	-	 < 0.01	1.00E00
regulation of neuron projection development (GO:0010975)	40	0	1.54	-	 < 0.01	4.06E-01
carbohydrate transmembrane transport (GO:0034219)	9	0	.35	-	 < 0.01	1.00E00
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	14	0	.54	-	 < 0.01	1.00E00
regulation of meiotic cell cycle (GO:0051445)	10	0	.38	-	 < 0.01	1.00E00
purine nucleotide catabolic process (GO:0006195)	19	0	.73	-	 < 0.01	1.00E00
signal release (GO:0023061)	38	0	1.46	-	 < 0.01	4.03E-01
positive regulation of T cell proliferation (GO:0042102)	2	0	.08	-	 < 0.01	1.00E00
eye photoreceptor cell development (GO:0042462)	1	0	.04	-	 < 0.01	1.00E00
regulation of natural killer cell mediated immunity (GO:0002715)	2	0	.08	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid separation (GO:0010965)	15	0	.58	-	 < 0.01	1.00E00
endothelial cell migration (GO:0043542)	4	0	.15	-	 < 0.01	1.00E00
IMP biosynthetic process (GO:0006188)	6	0	.23	-	 < 0.01	1.00E00
negative regulation of canonical Wnt signaling pathway (GO:0090090)	16	0	.61	-	 < 0.01	1.00E00
neurotransmitter secretion (GO:0007269)	33	0	1.27	-	 < 0.01	6.38E-01
negative regulation of macroautophagy (GO:0016242)	4	0	.15	-	 < 0.01	1.00E00
regulation of macroautophagy (GO:0016241)	15	0	.58	-	 < 0.01	1.00E00
regulation of lymphocyte mediated immunity (GO:0002706)	4	0	.15	-	 < 0.01	1.00E00
Rho protein signal transduction (GO:0007266)	25	0	.96	-	 < 0.01	6.24E-01
Ras protein signal transduction (GO:0007265)	27	0	1.04	-	 < 0.01	6.25E-01
regulation of response to endoplasmic reticulum stress (GO:1905897)	6	0	.23	-	 < 0.01	1.00E00
regulation of leukocyte mediated immunity (GO:0002703)	4	0	.15	-	 < 0.01	1.00E00
regulation of chromatin organization (GO:1902275)	4	0	.15	-	 < 0.01	1.00E00
positive regulation of insulin secretion (GO:0032024)	1	0	.04	-	 < 0.01	1.00E00
regulation of peptide transport (GO:0090087)	5	0	.19	-	 < 0.01	1.00E00
tyrosine phosphorylation of STAT protein (GO:0007260)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of peptidase activity (GO:0010952)	20	0	.77	-	 < 0.01	1.00E00
positive regulation of endopeptidase activity (GO:0010950)	19	0	.73	-	 < 0.01	1.00E00
negative regulation of nuclear division (GO:0051784)	13	0	.50	-	 < 0.01	1.00E00
regulation of nuclear division (GO:0051783)	28	0	1.08	-	 < 0.01	6.26E-01
heterochromatin organization (GO:0070828)	24	0	.92	-	 < 0.01	1.00E00
hormone biosynthetic process (GO:0042446)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of cell division (GO:0051781)	2	0	.08	-	 < 0.01	1.00E00
hormone metabolic process (GO:0042445)	14	0	.54	-	 < 0.01	1.00E00
embryo development (GO:0009790)	70	0	2.69	-	 < 0.01	1.16E-01
mitochondrial respiratory chain complex III assembly (GO:0034551)	1	0	.04	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex assembly (GO:0033108)	10	0	.38	-	 < 0.01	1.00E00
positive regulation of macroautophagy (GO:0016239)	10	0	.38	-	 < 0.01	1.00E00
pigment metabolic process (GO:0042440)	13	0	.50	-	 < 0.01	1.00E00
microautophagy (GO:0016237)	16	0	.61	-	 < 0.01	1.00E00
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1	0	.04	-	 < 0.01	1.00E00
receptor signaling pathway via JAK-STAT (GO:0007259)	8	0	.31	-	 < 0.01	1.00E00
negative regulation of cell cycle process (GO:0010948)	49	0	1.88	-	 < 0.01	2.64E-01
positive regulation of protein serine/threonine kinase activity (GO:0071902)	12	0	.46	-	 < 0.01	1.00E00
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	3	0	.12	-	 < 0.01	1.00E00
positive regulation of cyclase activity (GO:0031281)	9	0	.35	-	 < 0.01	1.00E00
acetylcholine receptor signaling pathway (GO:0095500)	21	0	.81	-	 < 0.01	1.00E00
snRNA transcription by RNA polymerase II (GO:0042795)	5	0	.19	-	 < 0.01	1.00E00
negative regulation of cyclase activity (GO:0031280)	2	0	.08	-	 < 0.01	1.00E00
collagen fibril organization (GO:0030199)	9	0	.35	-	 < 0.01	1.00E00
iron-sulfur cluster assembly (GO:0016226)	9	0	.35	-	 < 0.01	1.00E00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	5	0	.19	-	 < 0.01	1.00E00
canonical NF-kappaB signal transduction (GO:0007249)	3	0	.12	-	 < 0.01	1.00E00
negative regulation of TOR signaling (GO:0032007)	10	0	.38	-	 < 0.01	1.00E00
intracellular sterol transport (GO:0032366)	3	0	.12	-	 < 0.01	1.00E00
intracellular lipid transport (GO:0032365)	5	0	.19	-	 < 0.01	1.00E00
regulation of cyclase activity (GO:0031279)	12	0	.46	-	 < 0.01	1.00E00
neuron apoptotic process (GO:0051402)	4	0	.15	-	 < 0.01	1.00E00
response to UV (GO:0009411)	7	0	.27	-	 < 0.01	1.00E00
purine nucleoside catabolic process (GO:0006152)	3	0	.12	-	 < 0.01	1.00E00
regulation of cell-matrix adhesion (GO:0001952)	4	0	.15	-	 < 0.01	1.00E00
positive regulation of epithelial cell proliferation (GO:0050679)	7	0	.27	-	 < 0.01	1.00E00
tRNA 3'-end processing (GO:0042780)	1	0	.04	-	 < 0.01	1.00E00
epithelial cell proliferation (GO:0050673)	1	0	.04	-	 < 0.01	1.00E00
regulation of lymphocyte proliferation (GO:0050670)	5	0	.19	-	 < 0.01	1.00E00
B cell differentiation (GO:0030183)	4	0	.15	-	 < 0.01	1.00E00
hemostasis (GO:0007599)	9	0	.35	-	 < 0.01	1.00E00
blood coagulation (GO:0007596)	9	0	.35	-	 < 0.01	1.00E00
cellular component assembly involved in morphogenesis (GO:0010927)	25	0	.96	-	 < 0.01	6.24E-01
developmental pigmentation (GO:0048066)	6	0	.23	-	 < 0.01	1.00E00
response to cold (GO:0009409)	1	0	.04	-	 < 0.01	1.00E00
response to heat (GO:0009408)	11	0	.42	-	 < 0.01	1.00E00
purine nucleobase metabolic process (GO:0006144)	10	0	.38	-	 < 0.01	1.00E00
neural crest cell differentiation (GO:0014033)	29	0	1.11	-	 < 0.01	6.28E-01
neural crest cell development (GO:0014032)	29	0	1.11	-	 < 0.01	6.28E-01
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6	0	.23	-	 < 0.01	1.00E00
ATP synthesis coupled electron transport (GO:0042773)	6	0	.23	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	3	0	.12	-	 < 0.01	1.00E00
positive regulation of Wnt signaling pathway (GO:0030177)	23	0	.88	-	 < 0.01	1.00E00
signal transduction in response to DNA damage (GO:0042770)	20	0	.77	-	 < 0.01	1.00E00
integrin-mediated signaling pathway (GO:0007229)	25	0	.96	-	 < 0.01	6.24E-01
smoothened signaling pathway (GO:0007224)	18	0	.69	-	 < 0.01	1.00E00
digestion (GO:0007586)	2	0	.08	-	 < 0.01	1.00E00
endothelial cell proliferation (GO:0001935)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of protein phosphorylation (GO:0001934)	67	0	2.57	-	 < 0.01	1.86E-01
platelet activation (GO:0030168)	6	0	.23	-	 < 0.01	1.00E00
protein import into peroxisome matrix (GO:0016558)	11	0	.42	-	 < 0.01	1.00E00
isoprenoid catabolic process (GO:0008300)	4	0	.15	-	 < 0.01	1.00E00
Notch signaling pathway (GO:0007219)	22	0	.85	-	 < 0.01	1.00E00
glutamate receptor signaling pathway (GO:0007215)	10	0	.38	-	 < 0.01	1.00E00
response to glucose (GO:0009749)	4	0	.15	-	 < 0.01	1.00E00
protein N-linked glycosylation (GO:0006487)	35	0	1.34	-	 < 0.01	6.45E-01
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	1	0	.04	-	 < 0.01	1.00E00
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	3	0	.12	-	 < 0.01	1.00E00
protein localization to kinetochore (GO:0034501)	5	0	.19	-	 < 0.01	1.00E00
regulation of circadian rhythm (GO:0042752)	8	0	.31	-	 < 0.01	1.00E00
amino acid biosynthetic process (GO:0008652)	22	0	.85	-	 < 0.01	1.00E00
alanine transport (GO:0032328)	3	0	.12	-	 < 0.01	1.00E00
oxidative phosphorylation (GO:0006119)	6	0	.23	-	 < 0.01	1.00E00
protein acetylation (GO:0006473)	6	0	.23	-	 < 0.01	1.00E00
regulation of leukocyte mediated cytotoxicity (GO:0001910)	2	0	.08	-	 < 0.01	1.00E00
defense response to bacterium (GO:0042742)	5	0	.19	-	 < 0.01	1.00E00
carbohydrate transport (GO:0008643)	9	0	.35	-	 < 0.01	1.00E00
signal peptide processing (GO:0006465)	4	0	.15	-	 < 0.01	1.00E00
apoptotic mitochondrial changes (GO:0008637)	10	0	.38	-	 < 0.01	1.00E00
proteinogenic amino acid biosynthetic process (GO:0170038)	20	0	.77	-	 < 0.01	1.00E00
negative regulation of angiogenesis (GO:0016525)	8	0	.31	-	 < 0.01	1.00E00
detection of mechanical stimulus (GO:0050982)	8	0	.31	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	12	0	.46	-	 < 0.01	1.00E00
L-amino acid biosynthetic process (GO:0170034)	20	0	.77	-	 < 0.01	1.00E00
negative regulation of chromosome separation (GO:1905819)	9	0	.35	-	 < 0.01	1.00E00
sex differentiation (GO:0007548)	4	0	.15	-	 < 0.01	1.00E00
regulation of chromosome separation (GO:1905818)	15	0	.58	-	 < 0.01	1.00E00
maturation of SSU-rRNA (GO:0030490)	27	0	1.04	-	 < 0.01	6.25E-01
response to other organism (GO:0051707)	43	0	1.65	-	 < 0.01	4.13E-01
'de novo' protein folding (GO:0006458)	8	0	.31	-	 < 0.01	1.00E00
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	9	0	.35	-	 < 0.01	1.00E00
biological process involved in interaction with host (GO:0051701)	1	0	.04	-	 < 0.01	1.00E00
RNA decapping (GO:0110154)	8	0	.31	-	 < 0.01	1.00E00
biomineral tissue development (GO:0031214)	4	0	.15	-	 < 0.01	1.00E00
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	4	0	.15	-	 < 0.01	1.00E00
DNA integrity checkpoint signaling (GO:0031570)	23	0	.88	-	 < 0.01	1.00E00
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	3	0	.12	-	 < 0.01	1.00E00
regulation of translational initiation (GO:0006446)	10	0	.38	-	 < 0.01	1.00E00
nucleotide-sugar transmembrane transport (GO:0015780)	6	0	.23	-	 < 0.01	1.00E00
tRNA wobble uridine modification (GO:0002098)	7	0	.27	-	 < 0.01	1.00E00
neuromuscular junction development (GO:0007528)	9	0	.35	-	 < 0.01	1.00E00
negative regulation of intracellular signal transduction (GO:1902532)	57	0	2.19	-	 < 0.01	1.74E-01
lens development in camera-type eye (GO:0002088)	16	0	.61	-	 < 0.01	1.00E00
skeletal muscle tissue development (GO:0007519)	14	0	.54	-	 < 0.01	1.00E00
regulation of endocytosis (GO:0030100)	19	0	.73	-	 < 0.01	1.00E00
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	17	0	.65	-	 < 0.01	1.00E00
innate immune response (GO:0045087)	26	0	1.00	-	 < 0.01	6.24E-01
heme biosynthetic process (GO:0006783)	5	0	.19	-	 < 0.01	1.00E00
protein activation cascade (GO:0072376)	5	0	.19	-	 < 0.01	1.00E00
heart development (GO:0007507)	51	0	1.96	-	 < 0.01	2.67E-01
mitochondrial respiratory chain complex I assembly (GO:0032981)	6	0	.23	-	 < 0.01	1.00E00
mesoderm morphogenesis (GO:0048332)	7	0	.27	-	 < 0.01	1.00E00
porphyrin-containing compound metabolic process (GO:0006778)	10	0	.38	-	 < 0.01	1.00E00
translational termination (GO:0006415)	3	0	.12	-	 < 0.01	1.00E00
translational elongation (GO:0006414)	20	0	.77	-	 < 0.01	1.00E00
chromosome organization involved in meiotic cell cycle (GO:0070192)	11	0	.42	-	 < 0.01	1.00E00
regulation of complement activation (GO:0030449)	1	0	.04	-	 < 0.01	1.00E00
citrate transport (GO:0015746)	4	0	.15	-	 < 0.01	1.00E00
succinate transport (GO:0015744)	3	0	.12	-	 < 0.01	1.00E00
C4-dicarboxylate transport (GO:0015740)	12	0	.46	-	 < 0.01	1.00E00
folic acid-containing compound metabolic process (GO:0006760)	10	0	.38	-	 < 0.01	1.00E00
pigment biosynthetic process (GO:0046148)	10	0	.38	-	 < 0.01	1.00E00
positive regulation of chemotaxis (GO:0050921)	8	0	.31	-	 < 0.01	1.00E00
regulation of chemotaxis (GO:0050920)	8	0	.31	-	 < 0.01	1.00E00
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	7	0	.27	-	 < 0.01	1.00E00
regulated exocytosis (GO:0045055)	30	0	1.15	-	 < 0.01	6.30E-01
axon extension (GO:0048675)	2	0	.08	-	 < 0.01	1.00E00
positive chemotaxis (GO:0050918)	2	0	.08	-	 < 0.01	1.00E00
sensory perception of bitter taste (GO:0050913)	1	0	.04	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1	0	.04	-	 < 0.01	1.00E00
chemical synaptic transmission, postsynaptic (GO:0099565)	4	0	.15	-	 < 0.01	1.00E00
siRNA processing (GO:0030422)	1	0	.04	-	 < 0.01	1.00E00
nicotinamide nucleotide metabolic process (GO:0046496)	30	0	1.15	-	 < 0.01	6.30E-01
sprouting angiogenesis (GO:0002040)	8	0	.31	-	 < 0.01	1.00E00
synaptic membrane adhesion (GO:0099560)	5	0	.19	-	 < 0.01	1.00E00
protein insertion into ER membrane (GO:0045048)	3	0	.12	-	 < 0.01	1.00E00
bile acid and bile salt transport (GO:0015721)	5	0	.19	-	 < 0.01	1.00E00
heterochromatin formation (GO:0031507)	20	0	.77	-	 < 0.01	1.00E00
ubiquinone biosynthetic process (GO:0006744)	5	0	.19	-	 < 0.01	1.00E00
sensory perception of taste (GO:0050909)	2	0	.08	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception (GO:0050907)	2	0	.08	-	 < 0.01	1.00E00
detection of stimulus involved in sensory perception (GO:0050906)	6	0	.23	-	 < 0.01	1.00E00
leukocyte migration (GO:0050900)	9	0	.35	-	 < 0.01	1.00E00
monocarboxylic acid transport (GO:0015718)	34	0	1.31	-	 < 0.01	6.41E-01
protein insertion into mitochondrial inner membrane (GO:0045039)	3	0	.12	-	 < 0.01	1.00E00
regulation of mononuclear cell proliferation (GO:0032944)	5	0	.19	-	 < 0.01	1.00E00
mononuclear cell proliferation (GO:0032943)	1	0	.04	-	 < 0.01	1.00E00
NADP metabolic process (GO:0006739)	4	0	.15	-	 < 0.01	1.00E00
glycerophospholipid catabolic process (GO:0046475)	8	0	.31	-	 < 0.01	1.00E00
SREBP signaling pathway (GO:0032933)	6	0	.23	-	 < 0.01	1.00E00
terpenoid metabolic process (GO:0006721)	9	0	.35	-	 < 0.01	1.00E00
isoprenoid metabolic process (GO:0006720)	17	0	.65	-	 < 0.01	1.00E00
lymphocyte migration (GO:0072676)	3	0	.12	-	 < 0.01	1.00E00
monosaccharide metabolic process (GO:0005996)	27	0	1.04	-	 < 0.01	6.25E-01
regulation of postsynaptic membrane potential (GO:0060078)	11	0	.42	-	 < 0.01	1.00E00
acylglycerol catabolic process (GO:0046464)	9	0	.35	-	 < 0.01	1.00E00
cellular response to lipopolysaccharide (GO:0071222)	9	0	.35	-	 < 0.01	1.00E00
neutral lipid catabolic process (GO:0046461)	9	0	.35	-	 < 0.01	1.00E00
activin receptor signaling pathway (GO:0032924)	3	0	.12	-	 < 0.01	1.00E00
circadian regulation of gene expression (GO:0032922)	20	0	.77	-	 < 0.01	1.00E00
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	11	0	.42	-	 < 0.01	1.00E00
positive regulation of DNA-binding transcription factor activity (GO:0051091)	17	0	.65	-	 < 0.01	1.00E00
regulation of DNA-binding transcription factor activity (GO:0051090)	25	0	.96	-	 < 0.01	6.24E-01
leukocyte activation involved in immune response (GO:0002366)	3	0	.12	-	 < 0.01	1.00E00
TORC2 signaling (GO:0038203)	4	0	.15	-	 < 0.01	1.00E00
cellular response to molecule of bacterial origin (GO:0071219)	9	0	.35	-	 < 0.01	1.00E00
TORC1 signaling (GO:0038202)	1	0	.04	-	 < 0.01	1.00E00
icosanoid biosynthetic process (GO:0046456)	7	0	.27	-	 < 0.01	1.00E00
cellular response to biotic stimulus (GO:0071216)	9	0	.35	-	 < 0.01	1.00E00
leucine biosynthetic process (GO:0009098)	1	0	.04	-	 < 0.01	1.00E00
chaperone cofactor-dependent protein refolding (GO:0051085)	6	0	.23	-	 < 0.01	1.00E00
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	12	0	.46	-	 < 0.01	1.00E00
sulfur compound catabolic process (GO:0044273)	7	0	.27	-	 < 0.01	1.00E00
vesicle cytoskeletal trafficking (GO:0099518)	16	0	.61	-	 < 0.01	1.00E00
lysine biosynthetic process (GO:0009085)	1	0	.04	-	 < 0.01	1.00E00
cellular response to transforming growth factor beta stimulus (GO:0071560)	20	0	.77	-	 < 0.01	1.00E00
branched-chain amino acid biosynthetic process (GO:0009082)	2	0	.08	-	 < 0.01	1.00E00
branched-chain amino acid metabolic process (GO:0009081)	9	0	.35	-	 < 0.01	1.00E00
rRNA base methylation (GO:0070475)	5	0	.19	-	 < 0.01	1.00E00
