PANTHER GO-Slim Biological Process	background_genes.par_all.raisd.txt - REFLIST (10833)	(146)	(expected)	(over/under)	(fold Enrichment)	P-value
chaperone cofactor-dependent protein refolding (GO:0051085)	5	0	.07	-	 < 0.01	1.00E00
response to oxygen levels (GO:0070482)	16	0	.22	-	 < 0.01	1.00E00
protein localization to plasma membrane (GO:0072659)	41	0	.55	-	 < 0.01	1.00E00
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	10	0	.13	-	 < 0.01	1.00E00
establishment of protein localization to mitochondrion (GO:0072655)	19	0	.26	-	 < 0.01	1.00E00
sulfur compound catabolic process (GO:0044273)	7	0	.09	-	 < 0.01	1.00E00
glycogen biosynthetic process (GO:0005978)	1	0	.01	-	 < 0.01	1.00E00
vesicle cytoskeletal trafficking (GO:0099518)	16	0	.22	-	 < 0.01	1.00E00
glycogen metabolic process (GO:0005977)	5	0	.07	-	 < 0.01	1.00E00
cellular nitrogen compound catabolic process (GO:0044270)	99	0	1.33	-	 < 0.01	6.46E-01
tube development (GO:0035295)	37	0	.50	-	 < 0.01	1.00E00
response to organonitrogen compound (GO:0010243)	74	0	1.00	-	 < 0.01	6.28E-01
lysine biosynthetic process (GO:0009085)	1	0	.01	-	 < 0.01	1.00E00
cellular response to transforming growth factor beta stimulus (GO:0071560)	18	0	.24	-	 < 0.01	1.00E00
branched-chain amino acid biosynthetic process (GO:0009082)	2	0	.03	-	 < 0.01	1.00E00
branched-chain amino acid metabolic process (GO:0009081)	9	0	.12	-	 < 0.01	1.00E00
rRNA base methylation (GO:0070475)	5	0	.07	-	 < 0.01	1.00E00
ncRNA transcription (GO:0098781)	12	0	.16	-	 < 0.01	1.00E00
regulation of proteasomal protein catabolic process (GO:0061136)	28	0	.38	-	 < 0.01	1.00E00
cellular response to oxygen-containing compound (GO:1901701)	76	0	1.02	-	 < 0.01	6.29E-01
receptor signaling pathway via STAT (GO:0097696)	5	0	.07	-	 < 0.01	1.00E00
response to oxygen-containing compound (GO:1901700)	94	0	1.27	-	 < 0.01	6.40E-01
cardiac muscle contraction (GO:0060048)	14	0	.19	-	 < 0.01	1.00E00
heart contraction (GO:0060047)	18	0	.24	-	 < 0.01	1.00E00
response to transforming growth factor beta (GO:0071559)	18	0	.24	-	 < 0.01	1.00E00
organophosphate catabolic process (GO:0046434)	40	0	.54	-	 < 0.01	1.00E00
vesicle fusion to plasma membrane (GO:0099500)	6	0	.08	-	 < 0.01	1.00E00
multicellular organismal reproductive process (GO:0048609)	26	0	.35	-	 < 0.01	1.00E00
cellular response to amino acid starvation (GO:0034198)	8	0	.11	-	 < 0.01	1.00E00
reproductive structure development (GO:0048608)	2	0	.03	-	 < 0.01	1.00E00
aromatic amino acid family catabolic process (GO:0009074)	9	0	.12	-	 < 0.01	1.00E00
aromatic amino acid metabolic process (GO:0009072)	12	0	.16	-	 < 0.01	1.00E00
inorganic ion homeostasis (GO:0098771)	86	0	1.16	-	 < 0.01	6.33E-01
MAPK cascade (GO:0000165)	18	0	.24	-	 < 0.01	1.00E00
cellular lipid metabolic process (GO:0044255)	267	0	3.60	-	 < 0.01	5.35E-02
regulation of immune effector process (GO:0002697)	4	0	.05	-	 < 0.01	1.00E00
positive regulation of leukocyte activation (GO:0002696)	5	0	.07	-	 < 0.01	1.00E00
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	2	0	.03	-	 < 0.01	1.00E00
negative regulation of leukocyte activation (GO:0002695)	6	0	.08	-	 < 0.01	1.00E00
regulation of leukocyte activation (GO:0002694)	11	0	.15	-	 < 0.01	1.00E00
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	6	0	.08	-	 < 0.01	1.00E00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	9	0	.12	-	 < 0.01	1.00E00
positive regulation of leukocyte chemotaxis (GO:0002690)	7	0	.09	-	 < 0.01	1.00E00
aspartate family amino acid biosynthetic process (GO:0009067)	8	0	.11	-	 < 0.01	1.00E00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	8	0	.11	-	 < 0.01	1.00E00
aspartate family amino acid metabolic process (GO:0009066)	12	0	.16	-	 < 0.01	1.00E00
negative regulation of DNA metabolic process (GO:0051053)	12	0	.16	-	 < 0.01	1.00E00
amino acid catabolic process (GO:0009063)	31	0	.42	-	 < 0.01	1.00E00
fatty acid catabolic process (GO:0009062)	28	0	.38	-	 < 0.01	1.00E00
positive regulation of transport (GO:0051050)	33	0	.44	-	 < 0.01	1.00E00
aerobic respiration (GO:0009060)	21	0	.28	-	 < 0.01	1.00E00
cellular respiration (GO:0045333)	26	0	.35	-	 < 0.01	1.00E00
phospholipid translocation (GO:0045332)	20	0	.27	-	 < 0.01	1.00E00
intraciliary transport (GO:0042073)	15	0	.20	-	 < 0.01	1.00E00
rRNA modification (GO:0000154)	17	0	.23	-	 < 0.01	1.00E00
mitochondrial gene expression (GO:0140053)	23	0	.31	-	 < 0.01	1.00E00
protein O-linked mannosylation (GO:0035269)	5	0	.07	-	 < 0.01	1.00E00
cellular lipid catabolic process (GO:0044242)	58	0	.78	-	 < 0.01	1.00E00
protein mannosylation (GO:0035268)	8	0	.11	-	 < 0.01	1.00E00
positive regulation of leukocyte migration (GO:0002687)	10	0	.13	-	 < 0.01	1.00E00
cytoskeleton-dependent intracellular transport (GO:0030705)	54	0	.73	-	 < 0.01	1.00E00
regulation of leukocyte migration (GO:0002685)	13	0	.18	-	 < 0.01	1.00E00
positive regulation of immune system process (GO:0002684)	61	0	.82	-	 < 0.01	1.00E00
negative regulation of immune system process (GO:0002683)	16	0	.22	-	 < 0.01	1.00E00
regulation of immune system process (GO:0002682)	90	0	1.21	-	 < 0.01	6.36E-01
DNA biosynthetic process (GO:0071897)	17	0	.23	-	 < 0.01	1.00E00
positive regulation of secretion (GO:0051047)	6	0	.08	-	 < 0.01	1.00E00
regulation of secretion (GO:0051046)	40	0	.54	-	 < 0.01	1.00E00
regulation of monoatomic cation transmembrane transport (GO:1904062)	43	0	.58	-	 < 0.01	1.00E00
detoxification (GO:0098754)	6	0	.08	-	 < 0.01	1.00E00
gliogenesis (GO:0042063)	11	0	.15	-	 < 0.01	1.00E00
leukocyte activation (GO:0045321)	14	0	.19	-	 < 0.01	1.00E00
protein localization to lysosome (GO:0061462)	6	0	.08	-	 < 0.01	1.00E00
stress fiber assembly (GO:0043149)	5	0	.07	-	 < 0.01	1.00E00
regulation of double-strand break repair via homologous recombination (GO:0010569)	6	0	.08	-	 < 0.01	1.00E00
regulation of cell cycle process (GO:0010564)	93	0	1.25	-	 < 0.01	6.39E-01
negative regulation of phosphorus metabolic process (GO:0010563)	35	0	.47	-	 < 0.01	1.00E00
neuron projection extension (GO:1990138)	5	0	.07	-	 < 0.01	1.00E00
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	10	0	.13	-	 < 0.01	1.00E00
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	60	0	.81	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1	0	.01	-	 < 0.01	1.00E00
reproductive system development (GO:0061458)	2	0	.03	-	 < 0.01	1.00E00
establishment of mitotic spindle orientation (GO:0000132)	9	0	.12	-	 < 0.01	1.00E00
mRNA transport (GO:0051028)	26	0	.35	-	 < 0.01	1.00E00
import across plasma membrane (GO:0098739)	64	0	.86	-	 < 0.01	1.00E00
microtubule bundle formation (GO:0001578)	18	0	.24	-	 < 0.01	1.00E00
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	7	0	.09	-	 < 0.01	1.00E00
phospholipid catabolic process (GO:0009395)	12	0	.16	-	 < 0.01	1.00E00
fluid transport (GO:0042044)	4	0	.05	-	 < 0.01	1.00E00
vasculogenesis (GO:0001570)	3	0	.04	-	 < 0.01	1.00E00
exocytic process (GO:0140029)	11	0	.15	-	 < 0.01	1.00E00
tube morphogenesis (GO:0035239)	35	0	.47	-	 < 0.01	1.00E00
RNA stabilization (GO:0043489)	11	0	.15	-	 < 0.01	1.00E00
regulation of mRNA stability (GO:0043488)	45	0	.61	-	 < 0.01	1.00E00
regulation of RNA stability (GO:0043487)	45	0	.61	-	 < 0.01	1.00E00
establishment of protein localization to extracellular region (GO:0035592)	15	0	.20	-	 < 0.01	1.00E00
negative regulation of canonical NF-kappaB signal transduction (GO:0043124)	5	0	.07	-	 < 0.01	1.00E00
positive regulation of canonical NF-kappaB signal transduction (GO:0043123)	21	0	.28	-	 < 0.01	1.00E00
actin filament bundle assembly (GO:0051017)	18	0	.24	-	 < 0.01	1.00E00
regulation of canonical NF-kappaB signal transduction (GO:0043122)	30	0	.40	-	 < 0.01	1.00E00
barbed-end actin filament capping (GO:0051016)	16	0	.22	-	 < 0.01	1.00E00
blood vessel development (GO:0001568)	35	0	.47	-	 < 0.01	1.00E00
toll-like receptor 4 signaling pathway (GO:0034142)	4	0	.05	-	 < 0.01	1.00E00
isoprenoid biosynthetic process (GO:0008299)	8	0	.11	-	 < 0.01	1.00E00
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	4	0	.05	-	 < 0.01	1.00E00
regulation of membrane potential (GO:0042391)	82	0	1.11	-	 < 0.01	6.31E-01
mitotic nuclear division (GO:0140014)	37	0	.50	-	 < 0.01	1.00E00
meiotic nuclear division (GO:0140013)	31	0	.42	-	 < 0.01	1.00E00
maturation of LSU-rRNA (GO:0000470)	16	0	.22	-	 < 0.01	1.00E00
bone development (GO:0060348)	4	0	.05	-	 < 0.01	1.00E00
regulation of protein localization to membrane (GO:1905475)	10	0	.13	-	 < 0.01	1.00E00
receptor clustering (GO:0043113)	7	0	.09	-	 < 0.01	1.00E00
pigmentation (GO:0043473)	10	0	.13	-	 < 0.01	1.00E00
regulation of cell growth (GO:0001558)	10	0	.13	-	 < 0.01	1.00E00
negative regulation of mitotic sister chromatid segregation (GO:0033048)	9	0	.12	-	 < 0.01	1.00E00
aromatic compound catabolic process (GO:0019439)	105	0	1.42	-	 < 0.01	4.07E-01
regulation of mitotic sister chromatid segregation (GO:0033047)	10	0	.13	-	 < 0.01	1.00E00
insulin receptor signaling pathway (GO:0008286)	7	0	.09	-	 < 0.01	1.00E00
aromatic compound biosynthetic process (GO:0019438)	174	0	2.35	-	 < 0.01	1.79E-01
negative regulation of sister chromatid segregation (GO:0033046)	9	0	.12	-	 < 0.01	1.00E00
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	7	0	.09	-	 < 0.01	1.00E00
negative regulation of cell population proliferation (GO:0008285)	14	0	.19	-	 < 0.01	1.00E00
regulation of sister chromatid segregation (GO:0033045)	19	0	.26	-	 < 0.01	1.00E00
positive regulation of cell population proliferation (GO:0008284)	52	0	.70	-	 < 0.01	1.00E00
cell population proliferation (GO:0008283)	7	0	.09	-	 < 0.01	1.00E00
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	11	0	.15	-	 < 0.01	1.00E00
triglyceride catabolic process (GO:0019433)	3	0	.04	-	 < 0.01	1.00E00
triglyceride biosynthetic process (GO:0019432)	9	0	.12	-	 < 0.01	1.00E00
maturation of 5.8S rRNA (GO:0000460)	14	0	.19	-	 < 0.01	1.00E00
secondary metabolite biosynthetic process (GO:0044550)	4	0	.05	-	 < 0.01	1.00E00
type I interferon-mediated signaling pathway (GO:0060337)	1	0	.01	-	 < 0.01	1.00E00
negative regulation of adenylate cyclase activity (GO:0007194)	2	0	.03	-	 < 0.01	1.00E00
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	16	0	.22	-	 < 0.01	1.00E00
protein palmitoylation (GO:0018345)	20	0	.27	-	 < 0.01	1.00E00
positive regulation of myeloid cell differentiation (GO:0045639)	4	0	.05	-	 < 0.01	1.00E00
regulation of myeloid cell differentiation (GO:0045637)	6	0	.08	-	 < 0.01	1.00E00
negative regulation of lyase activity (GO:0051350)	2	0	.03	-	 < 0.01	1.00E00
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	16	0	.22	-	 < 0.01	1.00E00
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	59	0	.80	-	 < 0.01	1.00E00
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	87	0	1.17	-	 < 0.01	6.34E-01
non-canonical Wnt signaling pathway (GO:0035567)	22	0	.30	-	 < 0.01	1.00E00
cell chemotaxis (GO:0060326)	14	0	.19	-	 < 0.01	1.00E00
regulation of phospholipase activity (GO:0010517)	1	0	.01	-	 < 0.01	1.00E00
lipid localization (GO:0010876)	76	0	1.02	-	 < 0.01	6.29E-01
positive regulation of lyase activity (GO:0051349)	9	0	.12	-	 < 0.01	1.00E00
head development (GO:0060322)	44	0	.59	-	 < 0.01	1.00E00
cilium or flagellum-dependent cell motility (GO:0001539)	11	0	.15	-	 < 0.01	1.00E00
tricarboxylic acid cycle (GO:0006099)	12	0	.16	-	 < 0.01	1.00E00
negative regulation of hydrolase activity (GO:0051346)	24	0	.32	-	 < 0.01	1.00E00
glycolytic process (GO:0006096)	14	0	.19	-	 < 0.01	1.00E00
retina homeostasis (GO:0001895)	2	0	.03	-	 < 0.01	1.00E00
tissue homeostasis (GO:0001894)	4	0	.05	-	 < 0.01	1.00E00
amino acid import across plasma membrane (GO:0089718)	9	0	.12	-	 < 0.01	1.00E00
generation of precursor metabolites and energy (GO:0006091)	54	0	.73	-	 < 0.01	1.00E00
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	2	0	.03	-	 < 0.01	1.00E00
transforming growth factor beta receptor signaling pathway (GO:0007179)	18	0	.24	-	 < 0.01	1.00E00
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	28	0	.38	-	 < 0.01	1.00E00
positive regulation of autophagy (GO:0010508)	15	0	.20	-	 < 0.01	1.00E00
negative regulation of autophagy (GO:0010507)	9	0	.12	-	 < 0.01	1.00E00
epidermal growth factor receptor signaling pathway (GO:0007173)	8	0	.11	-	 < 0.01	1.00E00
regulation of autophagy (GO:0010506)	34	0	.46	-	 < 0.01	1.00E00
regulation of lyase activity (GO:0051339)	12	0	.16	-	 < 0.01	1.00E00
homotypic cell-cell adhesion (GO:0034109)	7	0	.09	-	 < 0.01	1.00E00
heterocycle catabolic process (GO:0046700)	99	0	1.33	-	 < 0.01	6.46E-01
liver development (GO:0001889)	2	0	.03	-	 < 0.01	1.00E00
angiogenesis (GO:0001525)	31	0	.42	-	 < 0.01	1.00E00
regulation of tissue remodeling (GO:0034103)	3	0	.04	-	 < 0.01	1.00E00
retinoid metabolic process (GO:0001523)	4	0	.05	-	 < 0.01	1.00E00
regulation of autophagosome maturation (GO:1901096)	5	0	.07	-	 < 0.01	1.00E00
pseudouridine synthesis (GO:0001522)	10	0	.13	-	 < 0.01	1.00E00
organic acid metabolic process (GO:0006082)	186	0	2.51	-	 < 0.01	1.85E-01
tetrapyrrole metabolic process (GO:0033013)	11	0	.15	-	 < 0.01	1.00E00
negative regulation of cell adhesion (GO:0007162)	9	0	.12	-	 < 0.01	1.00E00
oxoacid metabolic process (GO:0043436)	186	0	2.51	-	 < 0.01	1.85E-01
cell-matrix adhesion (GO:0007160)	29	0	.39	-	 < 0.01	1.00E00
response to peptide hormone (GO:0043434)	24	0	.32	-	 < 0.01	1.00E00
negative regulation of DNA-binding transcription factor activity (GO:0043433)	7	0	.09	-	 < 0.01	1.00E00
meiotic cell cycle (GO:0051321)	47	0	.63	-	 < 0.01	1.00E00
glycerol-3-phosphate metabolic process (GO:0006072)	3	0	.04	-	 < 0.01	1.00E00
RNA methylation (GO:0001510)	36	0	.49	-	 < 0.01	1.00E00
secretory granule organization (GO:0033363)	2	0	.03	-	 < 0.01	1.00E00
leukocyte cell-cell adhesion (GO:0007159)	1	0	.01	-	 < 0.01	1.00E00
carboxylic acid metabolic process (GO:0019752)	184	0	2.48	-	 < 0.01	1.84E-01
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	13	0	.18	-	 < 0.01	1.00E00
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	19	0	.26	-	 < 0.01	1.00E00
positive regulation of protein polymerization (GO:0032273)	12	0	.16	-	 < 0.01	1.00E00
protein transmembrane transport (GO:0071806)	27	0	.36	-	 < 0.01	1.00E00
negative regulation of protein polymerization (GO:0032272)	21	0	.28	-	 < 0.01	1.00E00
regulation of protein polymerization (GO:0032271)	44	0	.59	-	 < 0.01	1.00E00
action potential (GO:0001508)	29	0	.39	-	 < 0.01	1.00E00
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	0	.07	-	 < 0.01	1.00E00
alcohol metabolic process (GO:0006066)	45	0	.61	-	 < 0.01	1.00E00
substrate adhesion-dependent cell spreading (GO:0034446)	13	0	.18	-	 < 0.01	1.00E00
ossification (GO:0001503)	9	0	.12	-	 < 0.01	1.00E00
metaphase chromosome alignment (GO:0051310)	9	0	.12	-	 < 0.01	1.00E00
skeletal system development (GO:0001501)	24	0	.32	-	 < 0.01	1.00E00
protein localization to cell periphery (GO:1990778)	48	0	.65	-	 < 0.01	1.00E00
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3	0	.04	-	 < 0.01	1.00E00
lipid oxidation (GO:0034440)	21	0	.28	-	 < 0.01	1.00E00
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	1	0	.01	-	 < 0.01	1.00E00
taxis (GO:0042330)	30	0	.40	-	 < 0.01	1.00E00
phytosteroid metabolic process (GO:0016128)	1	0	.01	-	 < 0.01	1.00E00
secondary metabolic process (GO:0019748)	5	0	.07	-	 < 0.01	1.00E00
lymphocyte differentiation (GO:0030098)	7	0	.09	-	 < 0.01	1.00E00
protein peptidyl-prolyl isomerization (GO:0000413)	12	0	.16	-	 < 0.01	1.00E00
sterol biosynthetic process (GO:0016126)	11	0	.15	-	 < 0.01	1.00E00
regulation of Notch signaling pathway (GO:0008593)	12	0	.16	-	 < 0.01	1.00E00
sterol metabolic process (GO:0016125)	16	0	.22	-	 < 0.01	1.00E00
cytosolic transport (GO:0016482)	35	0	.47	-	 < 0.01	1.00E00
male meiotic nuclear division (GO:0007140)	4	0	.05	-	 < 0.01	1.00E00
macromolecule methylation (GO:0043414)	48	0	.65	-	 < 0.01	1.00E00
telomere maintenance via telomere lengthening (GO:0010833)	5	0	.07	-	 < 0.01	1.00E00
chromosome separation (GO:0051304)	1	0	.01	-	 < 0.01	1.00E00
establishment of chromosome localization (GO:0051303)	12	0	.16	-	 < 0.01	1.00E00
regulation of cell division (GO:0051302)	6	0	.08	-	 < 0.01	1.00E00
oligosaccharide biosynthetic process (GO:0009312)	2	0	.03	-	 < 0.01	1.00E00
neuron projection development (GO:0031175)	172	0	2.32	-	 < 0.01	1.78E-01
negative regulation of phosphorylation (GO:0042326)	32	0	.43	-	 < 0.01	1.00E00
positive regulation of transcription by RNA polymerase I (GO:0045943)	3	0	.04	-	 < 0.01	1.00E00
syncytium formation by plasma membrane fusion (GO:0000768)	3	0	.04	-	 < 0.01	1.00E00
carotenoid biosynthetic process (GO:0016117)	1	0	.01	-	 < 0.01	1.00E00
male gonad development (GO:0008584)	1	0	.01	-	 < 0.01	1.00E00
cholesterol efflux (GO:0033344)	5	0	.07	-	 < 0.01	1.00E00
cell migration (GO:0016477)	153	0	2.06	-	 < 0.01	2.75E-01
terpenoid biosynthetic process (GO:0016114)	2	0	.03	-	 < 0.01	1.00E00
antimicrobial humoral response (GO:0019730)	1	0	.01	-	 < 0.01	1.00E00
methylation (GO:0032259)	48	0	.65	-	 < 0.01	1.00E00
mesoderm development (GO:0007498)	7	0	.09	-	 < 0.01	1.00E00
reciprocal meiotic recombination (GO:0007131)	20	0	.27	-	 < 0.01	1.00E00
amine metabolic process (GO:0009308)	17	0	.23	-	 < 0.01	1.00E00
regulation of centrosome duplication (GO:0010824)	5	0	.07	-	 < 0.01	1.00E00
protein secretion (GO:0009306)	15	0	.20	-	 < 0.01	1.00E00
steroid hormone mediated signaling pathway (GO:0043401)	3	0	.04	-	 < 0.01	1.00E00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	3	0	.04	-	 < 0.01	1.00E00
regulation of mitochondrion organization (GO:0010821)	8	0	.11	-	 < 0.01	1.00E00
rRNA transcription (GO:0009303)	6	0	.08	-	 < 0.01	1.00E00
rRNA methylation (GO:0031167)	10	0	.13	-	 < 0.01	1.00E00
phagolysosome assembly (GO:0001845)	9	0	.12	-	 < 0.01	1.00E00
spindle localization (GO:0051653)	17	0	.23	-	 < 0.01	1.00E00
negative regulation of phosphate metabolic process (GO:0045936)	35	0	.47	-	 < 0.01	1.00E00
maintenance of location in cell (GO:0051651)	18	0	.24	-	 < 0.01	1.00E00
amino sugar metabolic process (GO:0006040)	12	0	.16	-	 < 0.01	1.00E00
cell death (GO:0008219)	55	0	.74	-	 < 0.01	1.00E00
regulation of blood pressure (GO:0008217)	11	0	.15	-	 < 0.01	1.00E00
positive regulation of mitotic cell cycle (GO:0045931)	15	0	.20	-	 < 0.01	1.00E00
negative regulation of mitotic cell cycle (GO:0045930)	36	0	.49	-	 < 0.01	1.00E00
negative regulation of mitotic sister chromatid separation (GO:2000816)	9	0	.12	-	 < 0.01	1.00E00
insulin secretion (GO:0030073)	2	0	.03	-	 < 0.01	1.00E00
homologous chromosome pairing at meiosis (GO:0007129)	5	0	.07	-	 < 0.01	1.00E00
peptide hormone secretion (GO:0030072)	3	0	.04	-	 < 0.01	1.00E00
diterpenoid metabolic process (GO:0016101)	4	0	.05	-	 < 0.01	1.00E00
regulation of mitotic metaphase/anaphase transition (GO:0030071)	16	0	.22	-	 < 0.01	1.00E00
cell cycle G1/S phase transition (GO:0044843)	17	0	.23	-	 < 0.01	1.00E00
meiosis I (GO:0007127)	24	0	.32	-	 < 0.01	1.00E00
regulation of hormone levels (GO:0010817)	19	0	.26	-	 < 0.01	1.00E00
tRNA metabolic process (GO:0006399)	77	0	1.04	-	 < 0.01	6.29E-01
positive regulation of cell-substrate adhesion (GO:0010811)	10	0	.13	-	 < 0.01	1.00E00
regulation of cell-substrate adhesion (GO:0010810)	12	0	.16	-	 < 0.01	1.00E00
release of cytochrome c from mitochondria (GO:0001836)	4	0	.05	-	 < 0.01	1.00E00
positive regulation of growth (GO:0045927)	3	0	.04	-	 < 0.01	1.00E00
centrosome localization (GO:0051642)	8	0	.11	-	 < 0.01	1.00E00
mitochondrial transcription (GO:0006390)	6	0	.08	-	 < 0.01	1.00E00
reticulophagy (GO:0061709)	8	0	.11	-	 < 0.01	1.00E00
cholesterol metabolic process (GO:0008203)	10	0	.13	-	 < 0.01	1.00E00
cell cycle G2/M phase transition (GO:0044839)	3	0	.04	-	 < 0.01	1.00E00
steroid metabolic process (GO:0008202)	22	0	.30	-	 < 0.01	1.00E00
left/right pattern formation (GO:0060972)	2	0	.03	-	 < 0.01	1.00E00
glucose transmembrane transport (GO:1904659)	5	0	.07	-	 < 0.01	1.00E00
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	4	0	.05	-	 < 0.01	1.00E00
glycosaminoglycan biosynthetic process (GO:0006024)	13	0	.18	-	 < 0.01	1.00E00
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	13	0	.18	-	 < 0.01	1.00E00
aminoglycan biosynthetic process (GO:0006023)	17	0	.23	-	 < 0.01	1.00E00
anaphase-promoting complex-dependent catabolic process (GO:0031145)	8	0	.11	-	 < 0.01	1.00E00
aminoglycan metabolic process (GO:0006022)	24	0	.32	-	 < 0.01	1.00E00
kidney development (GO:0001822)	8	0	.11	-	 < 0.01	1.00E00
transcription by RNA polymerase III (GO:0006383)	13	0	.18	-	 < 0.01	1.00E00
adenosine to inosine editing (GO:0006382)	3	0	.04	-	 < 0.01	1.00E00
negative regulation of DNA recombination (GO:0045910)	5	0	.07	-	 < 0.01	1.00E00
mitotic DNA replication checkpoint signaling (GO:0033314)	3	0	.04	-	 < 0.01	1.00E00
DNA synthesis involved in DNA repair (GO:0000731)	13	0	.18	-	 < 0.01	1.00E00
somatic cell DNA recombination (GO:0016444)	2	0	.03	-	 < 0.01	1.00E00
regulation of organelle assembly (GO:1902115)	20	0	.27	-	 < 0.01	1.00E00
chloride transmembrane transport (GO:1902476)	32	0	.43	-	 < 0.01	1.00E00
L-alpha-amino acid transmembrane transport (GO:1902475)	13	0	.18	-	 < 0.01	1.00E00
regulation of cellular response to growth factor stimulus (GO:0090287)	43	0	.58	-	 < 0.01	1.00E00
positive regulation of cytokine production (GO:0001819)	9	0	.12	-	 < 0.01	1.00E00
regulation of cytokine production (GO:0001817)	23	0	.31	-	 < 0.01	1.00E00
mRNA polyadenylation (GO:0006378)	5	0	.07	-	 < 0.01	1.00E00
response to toxic substance (GO:0009636)	8	0	.11	-	 < 0.01	1.00E00
negative regulation of chromosome segregation (GO:0051985)	9	0	.12	-	 < 0.01	1.00E00
iron ion transmembrane transport (GO:0034755)	4	0	.05	-	 < 0.01	1.00E00
regulation of chromosome segregation (GO:0051983)	21	0	.28	-	 < 0.01	1.00E00
response to extracellular stimulus (GO:0009991)	31	0	.42	-	 < 0.01	1.00E00
DNA double-strand break processing (GO:0000729)	4	0	.05	-	 < 0.01	1.00E00
double-strand break repair via break-induced replication (GO:0000727)	9	0	.12	-	 < 0.01	1.00E00
actin filament-based movement (GO:0030048)	13	0	.18	-	 < 0.01	1.00E00
recombinational repair (GO:0000725)	49	0	.66	-	 < 0.01	1.00E00
epidermis development (GO:0008544)	3	0	.04	-	 < 0.01	1.00E00
mitotic G2/M transition checkpoint (GO:0044818)	11	0	.15	-	 < 0.01	1.00E00
double-strand break repair via homologous recombination (GO:0000724)	49	0	.66	-	 < 0.01	1.00E00
fibroblast growth factor receptor signaling pathway (GO:0008543)	24	0	.32	-	 < 0.01	1.00E00
telomere maintenance (GO:0000723)	23	0	.31	-	 < 0.01	1.00E00
actin filament depolymerization (GO:0030042)	8	0	.11	-	 < 0.01	1.00E00
actin filament polymerization (GO:0030041)	10	0	.13	-	 < 0.01	1.00E00
regulation of peptide hormone secretion (GO:0090276)	3	0	.04	-	 < 0.01	1.00E00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	9	0	.12	-	 < 0.01	1.00E00
organelle fission (GO:0048285)	75	0	1.01	-	 < 0.01	6.28E-01
organelle fusion (GO:0048284)	49	0	.66	-	 < 0.01	1.00E00
glucose metabolic process (GO:0006006)	14	0	.19	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase II (GO:0006368)	9	0	.12	-	 < 0.01	1.00E00
cell-cell recognition (GO:0009988)	1	0	.01	-	 < 0.01	1.00E00
transcription initiation at RNA polymerase II promoter (GO:0006367)	19	0	.26	-	 < 0.01	1.00E00
regulation of potassium ion transmembrane transport (GO:1901379)	13	0	.18	-	 < 0.01	1.00E00
transcription by RNA polymerase II (GO:0006366)	44	0	.59	-	 < 0.01	1.00E00
mRNA 3'-end processing (GO:0031124)	15	0	.20	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase I (GO:0006362)	2	0	.03	-	 < 0.01	1.00E00
cytoplasmic microtubule organization (GO:0031122)	20	0	.27	-	 < 0.01	1.00E00
transcription by RNA polymerase I (GO:0006360)	10	0	.13	-	 < 0.01	1.00E00
lipid homeostasis (GO:0055088)	19	0	.26	-	 < 0.01	1.00E00
cholesterol homeostasis (GO:0042632)	7	0	.09	-	 < 0.01	1.00E00
