PANTHER GO-Slim Biological Process	background_genes.for_all.raisd.txt - REFLIST (10898)	(91)	(expected)	(over/under)	(fold Enrichment)	P-value
negative regulation of canonical NF-kappaB signal transduction (GO:0043124)	5	0	.04	-	 < 0.01	1.00E00
positive regulation of canonical NF-kappaB signal transduction (GO:0043123)	21	0	.18	-	 < 0.01	1.00E00
actin filament bundle assembly (GO:0051017)	18	0	.15	-	 < 0.01	1.00E00
regulation of canonical NF-kappaB signal transduction (GO:0043122)	30	0	.25	-	 < 0.01	1.00E00
regulation of RNA splicing (GO:0043484)	51	0	.43	-	 < 0.01	1.00E00
barbed-end actin filament capping (GO:0051016)	16	0	.13	-	 < 0.01	1.00E00
blood vessel development (GO:0001568)	35	0	.29	-	 < 0.01	1.00E00
toll-like receptor 4 signaling pathway (GO:0034142)	4	0	.03	-	 < 0.01	1.00E00
isoprenoid biosynthetic process (GO:0008299)	8	0	.07	-	 < 0.01	1.00E00
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	4	0	.03	-	 < 0.01	1.00E00
regulation of membrane potential (GO:0042391)	85	0	.71	-	 < 0.01	1.00E00
mitotic nuclear division (GO:0140014)	38	0	.32	-	 < 0.01	1.00E00
meiotic nuclear division (GO:0140013)	32	0	.27	-	 < 0.01	1.00E00
maturation of LSU-rRNA (GO:0000470)	16	0	.13	-	 < 0.01	1.00E00
snRNA processing (GO:0016180)	19	0	.16	-	 < 0.01	1.00E00
bone development (GO:0060348)	4	0	.03	-	 < 0.01	1.00E00
regulation of protein localization to membrane (GO:1905475)	10	0	.08	-	 < 0.01	1.00E00
receptor clustering (GO:0043113)	7	0	.06	-	 < 0.01	1.00E00
regulation of cellular localization (GO:0060341)	42	0	.35	-	 < 0.01	1.00E00
pigmentation (GO:0043473)	12	0	.10	-	 < 0.01	1.00E00
regulation of cell growth (GO:0001558)	9	0	.08	-	 < 0.01	1.00E00
negative regulation of mitotic sister chromatid segregation (GO:0033048)	9	0	.08	-	 < 0.01	1.00E00
aromatic compound catabolic process (GO:0019439)	107	0	.89	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid segregation (GO:0033047)	10	0	.08	-	 < 0.01	1.00E00
insulin receptor signaling pathway (GO:0008286)	7	0	.06	-	 < 0.01	1.00E00
aromatic compound biosynthetic process (GO:0019438)	176	0	1.47	-	 < 0.01	4.08E-01
negative regulation of sister chromatid segregation (GO:0033046)	9	0	.08	-	 < 0.01	1.00E00
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	7	0	.06	-	 < 0.01	1.00E00
negative regulation of cell population proliferation (GO:0008285)	14	0	.12	-	 < 0.01	1.00E00
regulation of sister chromatid segregation (GO:0033045)	19	0	.16	-	 < 0.01	1.00E00
positive regulation of cell population proliferation (GO:0008284)	52	0	.43	-	 < 0.01	1.00E00
regulation of chromosome organization (GO:0033044)	29	0	.24	-	 < 0.01	1.00E00
cell population proliferation (GO:0008283)	7	0	.06	-	 < 0.01	1.00E00
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	11	0	.09	-	 < 0.01	1.00E00
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	17	0	.14	-	 < 0.01	1.00E00
triglyceride catabolic process (GO:0019433)	3	0	.03	-	 < 0.01	1.00E00
triglyceride biosynthetic process (GO:0019432)	9	0	.08	-	 < 0.01	1.00E00
maturation of 5.8S rRNA (GO:0000460)	14	0	.12	-	 < 0.01	1.00E00
secondary metabolite biosynthetic process (GO:0044550)	4	0	.03	-	 < 0.01	1.00E00
type I interferon-mediated signaling pathway (GO:0060337)	1	0	.01	-	 < 0.01	1.00E00
negative regulation of adenylate cyclase activity (GO:0007194)	2	0	.02	-	 < 0.01	1.00E00
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	16	0	.13	-	 < 0.01	1.00E00
protein palmitoylation (GO:0018345)	19	0	.16	-	 < 0.01	1.00E00
positive regulation of myeloid cell differentiation (GO:0045639)	4	0	.03	-	 < 0.01	1.00E00
regulation of myeloid cell differentiation (GO:0045637)	6	0	.05	-	 < 0.01	1.00E00
negative regulation of lyase activity (GO:0051350)	2	0	.02	-	 < 0.01	1.00E00
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	16	0	.13	-	 < 0.01	1.00E00
export from cell (GO:0140352)	95	0	.79	-	 < 0.01	1.00E00
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	61	0	.51	-	 < 0.01	1.00E00
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	88	0	.73	-	 < 0.01	1.00E00
non-canonical Wnt signaling pathway (GO:0035567)	22	0	.18	-	 < 0.01	1.00E00
G protein-coupled receptor signaling pathway (GO:0007186)	224	0	1.87	-	 < 0.01	2.67E-01
cell chemotaxis (GO:0060326)	15	0	.13	-	 < 0.01	1.00E00
regulation of phospholipase activity (GO:0010517)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of lyase activity (GO:0051349)	9	0	.08	-	 < 0.01	1.00E00
head development (GO:0060322)	42	0	.35	-	 < 0.01	1.00E00
tricarboxylic acid cycle (GO:0006099)	12	0	.10	-	 < 0.01	1.00E00
negative regulation of hydrolase activity (GO:0051346)	24	0	.20	-	 < 0.01	1.00E00
glycolytic process (GO:0006096)	14	0	.12	-	 < 0.01	1.00E00
retina homeostasis (GO:0001895)	2	0	.02	-	 < 0.01	1.00E00
tissue homeostasis (GO:0001894)	4	0	.03	-	 < 0.01	1.00E00
snRNA 3'-end processing (GO:0034472)	17	0	.14	-	 < 0.01	1.00E00
amino acid import across plasma membrane (GO:0089718)	9	0	.08	-	 < 0.01	1.00E00
generation of precursor metabolites and energy (GO:0006091)	55	0	.46	-	 < 0.01	1.00E00
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	2	0	.02	-	 < 0.01	1.00E00
positive regulation of autophagy (GO:0010508)	15	0	.13	-	 < 0.01	1.00E00
negative regulation of autophagy (GO:0010507)	9	0	.08	-	 < 0.01	1.00E00
epidermal growth factor receptor signaling pathway (GO:0007173)	8	0	.07	-	 < 0.01	1.00E00
regulation of autophagy (GO:0010506)	33	0	.28	-	 < 0.01	1.00E00
protein-RNA complex organization (GO:0071826)	64	0	.53	-	 < 0.01	1.00E00
regulation of lyase activity (GO:0051339)	12	0	.10	-	 < 0.01	1.00E00
homotypic cell-cell adhesion (GO:0034109)	7	0	.06	-	 < 0.01	1.00E00
protein-DNA complex organization (GO:0071824)	105	0	.88	-	 < 0.01	1.00E00
heterocycle catabolic process (GO:0046700)	101	0	.84	-	 < 0.01	1.00E00
liver development (GO:0001889)	2	0	.02	-	 < 0.01	1.00E00
angiogenesis (GO:0001525)	31	0	.26	-	 < 0.01	1.00E00
regulation of tissue remodeling (GO:0034103)	3	0	.03	-	 < 0.01	1.00E00
retinoid metabolic process (GO:0001523)	5	0	.04	-	 < 0.01	1.00E00
regulation of autophagosome maturation (GO:1901096)	5	0	.04	-	 < 0.01	1.00E00
pseudouridine synthesis (GO:0001522)	10	0	.08	-	 < 0.01	1.00E00
tetrapyrrole metabolic process (GO:0033013)	11	0	.09	-	 < 0.01	1.00E00
establishment or maintenance of cell polarity (GO:0007163)	45	0	.38	-	 < 0.01	1.00E00
negative regulation of cell adhesion (GO:0007162)	10	0	.08	-	 < 0.01	1.00E00
cell-matrix adhesion (GO:0007160)	30	0	.25	-	 < 0.01	1.00E00
response to peptide hormone (GO:0043434)	25	0	.21	-	 < 0.01	1.00E00
negative regulation of DNA-binding transcription factor activity (GO:0043433)	7	0	.06	-	 < 0.01	1.00E00
meiotic cell cycle (GO:0051321)	48	0	.40	-	 < 0.01	1.00E00
glycerol-3-phosphate metabolic process (GO:0006072)	4	0	.03	-	 < 0.01	1.00E00
cellular macromolecule localization (GO:0070727)	393	0	3.28	-	 < 0.01	8.07E-02
protein localization to organelle (GO:0033365)	167	0	1.39	-	 < 0.01	4.07E-01
mitophagy (GO:0000423)	11	0	.09	-	 < 0.01	1.00E00
autophagy of mitochondrion (GO:0000422)	34	0	.28	-	 < 0.01	1.00E00
secretory granule organization (GO:0033363)	2	0	.02	-	 < 0.01	1.00E00
leukocyte cell-cell adhesion (GO:0007159)	1	0	.01	-	 < 0.01	1.00E00
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	13	0	.11	-	 < 0.01	1.00E00
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	22	0	.18	-	 < 0.01	1.00E00
positive regulation of protein polymerization (GO:0032273)	11	0	.09	-	 < 0.01	1.00E00
protein transmembrane transport (GO:0071806)	27	0	.23	-	 < 0.01	1.00E00
negative regulation of protein polymerization (GO:0032272)	21	0	.18	-	 < 0.01	1.00E00
potassium ion transmembrane transport (GO:0071805)	85	0	.71	-	 < 0.01	1.00E00
regulation of protein polymerization (GO:0032271)	43	0	.36	-	 < 0.01	1.00E00
action potential (GO:0001508)	31	0	.26	-	 < 0.01	1.00E00
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	0	.04	-	 < 0.01	1.00E00
alcohol metabolic process (GO:0006066)	48	0	.40	-	 < 0.01	1.00E00
substrate adhesion-dependent cell spreading (GO:0034446)	12	0	.10	-	 < 0.01	1.00E00
ossification (GO:0001503)	9	0	.08	-	 < 0.01	1.00E00
metaphase chromosome alignment (GO:0051310)	9	0	.08	-	 < 0.01	1.00E00
skeletal system development (GO:0001501)	25	0	.21	-	 < 0.01	1.00E00
protein localization to cell periphery (GO:1990778)	48	0	.40	-	 < 0.01	1.00E00
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3	0	.03	-	 < 0.01	1.00E00
lipid oxidation (GO:0034440)	21	0	.18	-	 < 0.01	1.00E00
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	2	0	.02	-	 < 0.01	1.00E00
myeloid cell differentiation (GO:0030099)	10	0	.08	-	 < 0.01	1.00E00
taxis (GO:0042330)	31	0	.26	-	 < 0.01	1.00E00
phytosteroid metabolic process (GO:0016128)	1	0	.01	-	 < 0.01	1.00E00
secondary metabolic process (GO:0019748)	5	0	.04	-	 < 0.01	1.00E00
lymphocyte differentiation (GO:0030098)	9	0	.08	-	 < 0.01	1.00E00
hemopoiesis (GO:0030097)	25	0	.21	-	 < 0.01	1.00E00
protein peptidyl-prolyl isomerization (GO:0000413)	12	0	.10	-	 < 0.01	1.00E00
sterol biosynthetic process (GO:0016126)	11	0	.09	-	 < 0.01	1.00E00
regulation of Notch signaling pathway (GO:0008593)	12	0	.10	-	 < 0.01	1.00E00
sterol metabolic process (GO:0016125)	19	0	.16	-	 < 0.01	1.00E00
male meiotic nuclear division (GO:0007140)	4	0	.03	-	 < 0.01	1.00E00
telomere maintenance via telomere lengthening (GO:0010833)	6	0	.05	-	 < 0.01	1.00E00
localization within membrane (GO:0051668)	134	0	1.12	-	 < 0.01	6.31E-01
protein transport (GO:0015031)	192	0	1.60	-	 < 0.01	4.13E-01
chromosome separation (GO:0051304)	2	0	.02	-	 < 0.01	1.00E00
response to radiation (GO:0009314)	28	0	.23	-	 < 0.01	1.00E00
establishment of chromosome localization (GO:0051303)	12	0	.10	-	 < 0.01	1.00E00
regulation of cell division (GO:0051302)	6	0	.05	-	 < 0.01	1.00E00
oligosaccharide biosynthetic process (GO:0009312)	2	0	.02	-	 < 0.01	1.00E00
cell division (GO:0051301)	35	0	.29	-	 < 0.01	1.00E00
neuron projection development (GO:0031175)	175	0	1.46	-	 < 0.01	4.08E-01
positive regulation of transcription by RNA polymerase I (GO:0045943)	3	0	.03	-	 < 0.01	1.00E00
syncytium formation by plasma membrane fusion (GO:0000768)	3	0	.03	-	 < 0.01	1.00E00
carotenoid biosynthetic process (GO:0016117)	1	0	.01	-	 < 0.01	1.00E00
male gonad development (GO:0008584)	1	0	.01	-	 < 0.01	1.00E00
cholesterol efflux (GO:0033344)	8	0	.07	-	 < 0.01	1.00E00
cell migration (GO:0016477)	156	0	1.30	-	 < 0.01	6.43E-01
terpenoid biosynthetic process (GO:0016114)	2	0	.02	-	 < 0.01	1.00E00
antimicrobial humoral response (GO:0019730)	1	0	.01	-	 < 0.01	1.00E00
mesoderm development (GO:0007498)	7	0	.06	-	 < 0.01	1.00E00
reciprocal meiotic recombination (GO:0007131)	20	0	.17	-	 < 0.01	1.00E00
endoderm development (GO:0007492)	7	0	.06	-	 < 0.01	1.00E00
amine metabolic process (GO:0009308)	17	0	.14	-	 < 0.01	1.00E00
regulation of centrosome duplication (GO:0010824)	5	0	.04	-	 < 0.01	1.00E00
protein secretion (GO:0009306)	15	0	.13	-	 < 0.01	1.00E00
steroid hormone mediated signaling pathway (GO:0043401)	3	0	.03	-	 < 0.01	1.00E00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	4	0	.03	-	 < 0.01	1.00E00
regulation of mitochondrion organization (GO:0010821)	8	0	.07	-	 < 0.01	1.00E00
rRNA transcription (GO:0009303)	6	0	.05	-	 < 0.01	1.00E00
rRNA methylation (GO:0031167)	10	0	.08	-	 < 0.01	1.00E00
phagolysosome assembly (GO:0001845)	9	0	.08	-	 < 0.01	1.00E00
spindle localization (GO:0051653)	17	0	.14	-	 < 0.01	1.00E00
maintenance of location in cell (GO:0051651)	18	0	.15	-	 < 0.01	1.00E00
amino sugar metabolic process (GO:0006040)	13	0	.11	-	 < 0.01	1.00E00
cell death (GO:0008219)	55	0	.46	-	 < 0.01	1.00E00
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	164	0	1.37	-	 < 0.01	6.49E-01
regulation of blood pressure (GO:0008217)	12	0	.10	-	 < 0.01	1.00E00
positive regulation of mitotic cell cycle (GO:0045931)	15	0	.13	-	 < 0.01	1.00E00
negative regulation of mitotic cell cycle (GO:0045930)	36	0	.30	-	 < 0.01	1.00E00
negative regulation of mitotic sister chromatid separation (GO:2000816)	9	0	.08	-	 < 0.01	1.00E00
cellular homeostasis (GO:0019725)	127	0	1.06	-	 < 0.01	6.29E-01
insulin secretion (GO:0030073)	2	0	.02	-	 < 0.01	1.00E00
homologous chromosome pairing at meiosis (GO:0007129)	5	0	.04	-	 < 0.01	1.00E00
calcium-mediated signaling (GO:0019722)	29	0	.24	-	 < 0.01	1.00E00
peptide hormone secretion (GO:0030072)	3	0	.03	-	 < 0.01	1.00E00
diterpenoid metabolic process (GO:0016101)	5	0	.04	-	 < 0.01	1.00E00
regulation of mitotic metaphase/anaphase transition (GO:0030071)	16	0	.13	-	 < 0.01	1.00E00
cell cycle G1/S phase transition (GO:0044843)	18	0	.15	-	 < 0.01	1.00E00
meiosis I (GO:0007127)	24	0	.20	-	 < 0.01	1.00E00
regulation of vesicle-mediated transport (GO:0060627)	57	0	.48	-	 < 0.01	1.00E00
regulation of hormone levels (GO:0010817)	19	0	.16	-	 < 0.01	1.00E00
release of cytochrome c from mitochondria (GO:0001836)	4	0	.03	-	 < 0.01	1.00E00
positive regulation of growth (GO:0045927)	2	0	.02	-	 < 0.01	1.00E00
centrosome localization (GO:0051642)	8	0	.07	-	 < 0.01	1.00E00
mitochondrial transcription (GO:0006390)	6	0	.05	-	 < 0.01	1.00E00
reticulophagy (GO:0061709)	8	0	.07	-	 < 0.01	1.00E00
cholesterol metabolic process (GO:0008203)	13	0	.11	-	 < 0.01	1.00E00
cell cycle G2/M phase transition (GO:0044839)	3	0	.03	-	 < 0.01	1.00E00
steroid metabolic process (GO:0008202)	26	0	.22	-	 < 0.01	1.00E00
positive regulation of actin filament bundle assembly (GO:0032233)	7	0	.06	-	 < 0.01	1.00E00
regulation of actin filament bundle assembly (GO:0032231)	10	0	.08	-	 < 0.01	1.00E00
proteoglycan metabolic process (GO:0006029)	27	0	.23	-	 < 0.01	1.00E00
left/right pattern formation (GO:0060972)	2	0	.02	-	 < 0.01	1.00E00
glucose transmembrane transport (GO:1904659)	5	0	.04	-	 < 0.01	1.00E00
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	3	0	.03	-	 < 0.01	1.00E00
glycosaminoglycan biosynthetic process (GO:0006024)	13	0	.11	-	 < 0.01	1.00E00
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	13	0	.11	-	 < 0.01	1.00E00
aminoglycan biosynthetic process (GO:0006023)	17	0	.14	-	 < 0.01	1.00E00
anaphase-promoting complex-dependent catabolic process (GO:0031145)	8	0	.07	-	 < 0.01	1.00E00
regulation of monoatomic ion transmembrane transport (GO:0034765)	56	0	.47	-	 < 0.01	1.00E00
aminoglycan metabolic process (GO:0006022)	24	0	.20	-	 < 0.01	1.00E00
kidney development (GO:0001822)	7	0	.06	-	 < 0.01	1.00E00
transcription by RNA polymerase III (GO:0006383)	13	0	.11	-	 < 0.01	1.00E00
adenosine to inosine editing (GO:0006382)	3	0	.03	-	 < 0.01	1.00E00
regulation of transmembrane transport (GO:0034762)	66	0	.55	-	 < 0.01	1.00E00
negative regulation of DNA recombination (GO:0045910)	5	0	.04	-	 < 0.01	1.00E00
mitotic DNA replication checkpoint signaling (GO:0033314)	3	0	.03	-	 < 0.01	1.00E00
DNA synthesis involved in DNA repair (GO:0000731)	13	0	.11	-	 < 0.01	1.00E00
somatic cell DNA recombination (GO:0016444)	2	0	.02	-	 < 0.01	1.00E00
chloride transmembrane transport (GO:1902476)	31	0	.26	-	 < 0.01	1.00E00
L-alpha-amino acid transmembrane transport (GO:1902475)	13	0	.11	-	 < 0.01	1.00E00
regulation of cellular response to growth factor stimulus (GO:0090287)	43	0	.36	-	 < 0.01	1.00E00
positive regulation of cytokine production (GO:0001819)	8	0	.07	-	 < 0.01	1.00E00
regulation of cytokine production (GO:0001817)	20	0	.17	-	 < 0.01	1.00E00
mRNA polyadenylation (GO:0006378)	4	0	.03	-	 < 0.01	1.00E00
response to toxic substance (GO:0009636)	8	0	.07	-	 < 0.01	1.00E00
cytokine production (GO:0001816)	5	0	.04	-	 < 0.01	1.00E00
mRNA splice site recognition (GO:0006376)	10	0	.08	-	 < 0.01	1.00E00
negative regulation of chromosome segregation (GO:0051985)	9	0	.08	-	 < 0.01	1.00E00
iron ion transmembrane transport (GO:0034755)	4	0	.03	-	 < 0.01	1.00E00
regulation of chromosome segregation (GO:0051983)	21	0	.18	-	 < 0.01	1.00E00
response to extracellular stimulus (GO:0009991)	31	0	.26	-	 < 0.01	1.00E00
DNA double-strand break processing (GO:0000729)	4	0	.03	-	 < 0.01	1.00E00
double-strand break repair via break-induced replication (GO:0000727)	9	0	.08	-	 < 0.01	1.00E00
actin filament-based movement (GO:0030048)	13	0	.11	-	 < 0.01	1.00E00
epidermis development (GO:0008544)	3	0	.03	-	 < 0.01	1.00E00
mitotic G2/M transition checkpoint (GO:0044818)	11	0	.09	-	 < 0.01	1.00E00
fibroblast growth factor receptor signaling pathway (GO:0008543)	24	0	.20	-	 < 0.01	1.00E00
telomere maintenance (GO:0000723)	24	0	.20	-	 < 0.01	1.00E00
actin filament depolymerization (GO:0030042)	8	0	.07	-	 < 0.01	1.00E00
actin filament polymerization (GO:0030041)	10	0	.08	-	 < 0.01	1.00E00
regulation of peptide hormone secretion (GO:0090276)	3	0	.03	-	 < 0.01	1.00E00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	9	0	.08	-	 < 0.01	1.00E00
organelle fission (GO:0048285)	77	0	.64	-	 < 0.01	1.00E00
response to abiotic stimulus (GO:0009628)	69	0	.58	-	 < 0.01	1.00E00
organelle fusion (GO:0048284)	49	0	.41	-	 < 0.01	1.00E00
glucose metabolic process (GO:0006006)	14	0	.12	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase II (GO:0006368)	9	0	.08	-	 < 0.01	1.00E00
cell-cell recognition (GO:0009988)	1	0	.01	-	 < 0.01	1.00E00
transcription initiation at RNA polymerase II promoter (GO:0006367)	19	0	.16	-	 < 0.01	1.00E00
regulation of potassium ion transmembrane transport (GO:1901379)	13	0	.11	-	 < 0.01	1.00E00
transcription by RNA polymerase II (GO:0006366)	44	0	.37	-	 < 0.01	1.00E00
rRNA processing (GO:0006364)	79	0	.66	-	 < 0.01	1.00E00
mRNA 3'-end processing (GO:0031124)	14	0	.12	-	 < 0.01	1.00E00
RNA 3'-end processing (GO:0031123)	38	0	.32	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase I (GO:0006362)	2	0	.02	-	 < 0.01	1.00E00
transcription by RNA polymerase I (GO:0006360)	10	0	.08	-	 < 0.01	1.00E00
lipid homeostasis (GO:0055088)	22	0	.18	-	 < 0.01	1.00E00
cholesterol homeostasis (GO:0042632)	7	0	.06	-	 < 0.01	1.00E00
contractile actin filament bundle assembly (GO:0030038)	5	0	.04	-	 < 0.01	1.00E00
nucleobase-containing small molecule metabolic process (GO:0055086)	133	0	1.11	-	 < 0.01	6.31E-01
respiratory chain complex IV assembly (GO:0008535)	1	0	.01	-	 < 0.01	1.00E00
regulation of trans-synaptic signaling (GO:0099177)	76	0	.63	-	 < 0.01	1.00E00
resolution of meiotic recombination intermediates (GO:0000712)	11	0	.09	-	 < 0.01	1.00E00
intracellular chemical homeostasis (GO:0055082)	105	0	.88	-	 < 0.01	1.00E00
regulation of postsynapse organization (GO:0099175)	7	0	.06	-	 < 0.01	1.00E00
postsynapse organization (GO:0099173)	4	0	.03	-	 < 0.01	1.00E00
homologous recombination (GO:0035825)	20	0	.17	-	 < 0.01	1.00E00
regulation of telomere maintenance (GO:0032204)	6	0	.05	-	 < 0.01	1.00E00
inorganic anion transport (GO:0015698)	46	0	.38	-	 < 0.01	1.00E00
quaternary ammonium group transport (GO:0015697)	5	0	.04	-	 < 0.01	1.00E00
telomere organization (GO:0032200)	24	0	.20	-	 < 0.01	1.00E00
organic cation transport (GO:0015695)	6	0	.05	-	 < 0.01	1.00E00
defense response to virus (GO:0051607)	4	0	.03	-	 < 0.01	1.00E00
response to bacterium (GO:0009617)	13	0	.11	-	 < 0.01	1.00E00
positive regulation of canonical Wnt signaling pathway (GO:0090263)	20	0	.17	-	 < 0.01	1.00E00
detection of stimulus (GO:0051606)	24	0	.20	-	 < 0.01	1.00E00
response to virus (GO:0009615)	4	0	.03	-	 < 0.01	1.00E00
regulation of synaptic transmission, glutamatergic (GO:0051966)	13	0	.11	-	 < 0.01	1.00E00
regulation of transcription by RNA polymerase I (GO:0006356)	4	0	.03	-	 < 0.01	1.00E00
positive regulation of synapse assembly (GO:0051965)	9	0	.08	-	 < 0.01	1.00E00
DNA-templated transcription elongation (GO:0006354)	11	0	.09	-	 < 0.01	1.00E00
response to mechanical stimulus (GO:0009612)	9	0	.08	-	 < 0.01	1.00E00
DNA-templated transcription initiation (GO:0006352)	30	0	.25	-	 < 0.01	1.00E00
regulation of actin filament organization (GO:0110053)	53	0	.44	-	 < 0.01	1.00E00
DNA-templated transcription (GO:0006351)	73	0	.61	-	 < 0.01	1.00E00
organic cyclic compound biosynthetic process (GO:1901362)	194	0	1.62	-	 < 0.01	4.14E-01
regulation of microtubule polymerization or depolymerization (GO:0031110)	17	0	.14	-	 < 0.01	1.00E00
organic cyclic compound catabolic process (GO:1901361)	112	0	.94	-	 < 0.01	1.00E00
sodium ion homeostasis (GO:0055078)	11	0	.09	-	 < 0.01	1.00E00
nervous system process (GO:0050877)	57	0	.48	-	 < 0.01	1.00E00
regulation of apoptotic process (GO:0042981)	84	0	.70	-	 < 0.01	1.00E00
positive regulation of secretion by cell (GO:1903532)	6	0	.05	-	 < 0.01	1.00E00
positive regulation of T cell activation (GO:0050870)	3	0	.03	-	 < 0.01	1.00E00
regulation of secretion by cell (GO:1903530)	40	0	.33	-	 < 0.01	1.00E00
regulation of muscle system process (GO:0090257)	9	0	.08	-	 < 0.01	1.00E00
response to biotic stimulus (GO:0009607)	40	0	.33	-	 < 0.01	1.00E00
microtubule polymerization or depolymerization (GO:0031109)	27	0	.23	-	 < 0.01	1.00E00
nucleosome organization (GO:0034728)	9	0	.08	-	 < 0.01	1.00E00
response to external stimulus (GO:0009605)	127	0	1.06	-	 < 0.01	6.29E-01
piecemeal microautophagy of the nucleus (GO:0034727)	16	0	.13	-	 < 0.01	1.00E00
DNA methylation-dependent heterochromatin formation (GO:0006346)	2	0	.02	-	 < 0.01	1.00E00
negative regulation of T cell activation (GO:0050868)	4	0	.03	-	 < 0.01	1.00E00
positive regulation of cell activation (GO:0050867)	5	0	.04	-	 < 0.01	1.00E00
negative regulation of cell activation (GO:0050866)	6	0	.05	-	 < 0.01	1.00E00
regulation of cell activation (GO:0050865)	13	0	.11	-	 < 0.01	1.00E00
regulation of T cell activation (GO:0050863)	6	0	.05	-	 < 0.01	1.00E00
response to lipid (GO:0033993)	32	0	.27	-	 < 0.01	1.00E00
adenosine metabolic process (GO:0046085)	4	0	.03	-	 < 0.01	1.00E00
establishment of cell polarity (GO:0030010)	22	0	.18	-	 < 0.01	1.00E00
regulation of receptor-mediated endocytosis (GO:0048259)	6	0	.05	-	 < 0.01	1.00E00
sensory organ development (GO:0007423)	42	0	.35	-	 < 0.01	1.00E00
peripheral nervous system development (GO:0007422)	2	0	.02	-	 < 0.01	1.00E00
brain development (GO:0007420)	42	0	.35	-	 < 0.01	1.00E00
mRNA stabilization (GO:0048255)	11	0	.09	-	 < 0.01	1.00E00
chromatin remodeling (GO:0006338)	81	0	.68	-	 < 0.01	1.00E00
nucleosome assembly (GO:0006334)	7	0	.06	-	 < 0.01	1.00E00
cholesterol biosynthetic process (GO:0006695)	6	0	.05	-	 < 0.01	1.00E00
dorsal/ventral pattern formation (GO:0009953)	7	0	.06	-	 < 0.01	1.00E00
steroid biosynthetic process (GO:0006694)	14	0	.12	-	 < 0.01	1.00E00
anterior/posterior pattern specification (GO:0009952)	27	0	.23	-	 < 0.01	1.00E00
regulation of systemic arterial blood pressure (GO:0003073)	8	0	.07	-	 < 0.01	1.00E00
prostaglandin metabolic process (GO:0006693)	3	0	.03	-	 < 0.01	1.00E00
regulation of vasculature development (GO:1901342)	21	0	.18	-	 < 0.01	1.00E00
icosanoid metabolic process (GO:0006690)	8	0	.07	-	 < 0.01	1.00E00
regulation of cell adhesion mediated by integrin (GO:0033628)	5	0	.04	-	 < 0.01	1.00E00
cell adhesion mediated by integrin (GO:0033627)	21	0	.18	-	 < 0.01	1.00E00
B cell receptor signaling pathway (GO:0050853)	8	0	.07	-	 < 0.01	1.00E00
T cell receptor signaling pathway (GO:0050852)	17	0	.14	-	 < 0.01	1.00E00
intracellular monoatomic cation homeostasis (GO:0030003)	95	0	.79	-	 < 0.01	1.00E00
antigen receptor-mediated signaling pathway (GO:0050851)	21	0	.18	-	 < 0.01	1.00E00
metal ion transport (GO:0030001)	220	0	1.84	-	 < 0.01	2.67E-01
lytic vacuole organization (GO:0080171)	14	0	.12	-	 < 0.01	1.00E00
central nervous system development (GO:0007417)	67	0	.56	-	 < 0.01	1.00E00
synapse assembly (GO:0007416)	20	0	.17	-	 < 0.01	1.00E00
regulation of cellular component size (GO:0032535)	50	0	.42	-	 < 0.01	1.00E00
axon guidance (GO:0007411)	94	0	.78	-	 < 0.01	1.00E00
macrophage chemotaxis (GO:0048246)	1	0	.01	-	 < 0.01	1.00E00
sensory organ morphogenesis (GO:0090596)	6	0	.05	-	 < 0.01	1.00E00
glycosphingolipid biosynthetic process (GO:0006688)	10	0	.08	-	 < 0.01	1.00E00
chromatin organization (GO:0006325)	88	0	.73	-	 < 0.01	1.00E00
